STATION_NAME,STN_ID,LAT,LON,ENSEMBLE,RCP,MODEL,CLIMATOLOGY,Annual,DJF,MAM,JJA,SON,NDJFMA,MJJASO,January,February,March,April,May,June,July,August,September,October,November,December
ADELAIDE-KENT-TOWN,23090,-34.92,138.62,r1i1p1,rcp26,CESM1-CAM5,2020-2039,62.44,53.02,64.36,74.95,57.41,55.54,69.35,52.19,54.09,59.33,61.47,72.29,78.2,76.77,69.87,62.53,56.44,53.26,52.9
ALBANY-AIRPORT-COMPARISON,9741,-34.94,117.8,r1i1p1,rcp26,CESM1-CAM5,2020-2039,73.1,63.75,75.3,82.13,71.28,67.34,78.92,63.73,64.55,68.97,77.01,79.91,83.85,82.64,79.89,76.26,70.98,66.58,62.78
ALICE-SPRINGS-AIRPORT,15590,-23.8,133.89,r1i1p1,rcp26,CESM1-CAM5,2020-2039,40.83,36.02,44.8,53.56,29.15,36.04,45.72,31.81,39.09,35.22,44.73,54.44,59.55,57.25,43.87,30.24,28.95,28.27,36.6
AMBERLEY-AMO,40004,-27.63,152.71,r1i1p1,rcp26,CESM1-CAM5,2020-2039,67.4,65.9,72.78,73.15,57.77,66.26,68.57,65.64,69.34,69.21,72.34,76.8,78.58,73.35,67.53,58.17,56.98,58.14,62.68
BRISBANE-AERO,40842,-27.39,153.13,r1i1p1,rcp26,CESM1-CAM5,2020-2039,65.53,65.85,70.59,66.77,58.89,66.44,64.6,65.43,68.94,69.55,70.94,71.29,70.56,66.98,62.77,57.4,58.6,60.65,63.29
BROOME-AIRPORT,3003,-17.95,122.23,r1i1p1,rcp26,CESM1-CAM5,2020-2039,54.73,68.79,54.77,42.71,52.67,63.7,45.78,68.61,73.75,67.28,52.73,44.29,39.76,43.92,44.45,48.67,53.61,55.74,63.99
CAIRNS-AERO,31011,-16.87,145.75,r1i1p1,rcp26,CESM1-CAM5,2020-2039,72.47,75.2,76.55,71.98,66.08,74.7,70.25,74.55,78.83,76.85,77.59,75.22,73.57,71.8,70.57,65.32,65.01,67.91,72.35
CANBERRA-AIRPORT-COMPARISON,70014,-35.3,149.2,r1i1p1,rcp26,CESM1-CAM5,2020-2039,72.08,66.13,75.75,80.93,65.37,68.21,75.9,64.63,72.92,72.32,74.35,80.57,83.56,83.53,75.71,69.31,62.71,64.08,61.21
CARNARVON-AIRPORT,6011,-24.89,113.67,r1i1p1,rcp26,CESM1-CAM5,2020-2039,57.12,56.81,55.82,63.95,51.88,55.36,58.87,58.14,56.99,55.63,53.9,57.93,64.61,66.83,60.41,53.2,50.25,52.2,55.3
CEDUNA-AMO,18012,-32.13,133.7,r1i1p1,rcp26,CESM1-CAM5,2020-2039,63.26,58.55,65.81,73.45,55.32,59.31,67.34,56.19,63.72,63.96,62.66,70.81,74.82,74.87,70.65,61.11,51.76,53.09,55.49
CHARLEVILLE-AERO,44021,-26.42,146.25,r1i1p1,rcp26,CESM1-CAM5,2020-2039,47.83,45.02,51.78,57.32,37.04,45.11,50.44,42.72,52.38,46.65,52.15,56.55,63.94,59.01,49.01,37.91,36.24,36.96,40.43
COBAR-MO,48027,-31.49,145.83,r1i1p1,rcp26,CESM1-CAM5,2020-2039,56.76,46.41,62.05,71.15,47.32,49.84,63.7,44.92,54.67,55.85,60.17,70.13,75.56,74.11,63.78,53.22,45.42,43.31,39.99
COFFS-HARBOUR-MO,59040,-30.31,153.12,r1i1p1,rcp26,CESM1-CAM5,2020-2039,66.65,70.99,71.88,65.32,58.42,70.41,62.9,70.68,75.21,74.64,70.33,70.65,70.6,66.25,59.11,53.78,57.01,64.49,67.03
DARWIN-AIRPORT,14015,-12.42,130.89,r1i1p1,rcp26,CESM1-CAM5,2020-2039,70.4,80.32,72.15,59.96,69.24,77.09,63.75,81.18,82.79,80.08,72.13,64.25,55.22,61.47,63.18,69.03,69.33,69.35,76.84
DUBBO-AIRPORT-AWS,65070,-32.22,148.58,r1i1p1,rcp26,CESM1-CAM5,2020-2039,69.29,60.28,71.48,83.43,61.73,62.12,76.54,59.31,68.32,66.42,69.2,78.82,85.01,86.81,78.09,70.39,58.83,55.54,53.54
EAST-SALE-AIRPORT,85072,-38.12,147.13,r1i1p1,rcp26,CESM1-CAM5,2020-2039,77.67,72.9,82.5,82.9,72.32,75.48,79.84,72.03,78.63,81.64,80.96,84.89,84.27,84.37,80.05,75.3,70.17,71.47,68.21
ESPERANCE,9789,-33.83,121.89,r1i1p1,rcp26,CESM1-CAM5,2020-2039,64.99,58.03,66.75,73.62,61.76,59.81,70.3,57.13,59.6,61.45,66.59,72.2,74.97,74.44,71.46,67.58,61.14,56.55,56.77
GERALDTON-AIRPORT-COMPARISON,8051,-28.8,114.7,r1i1p1,rcp26,CESM1-CAM5,2020-2039,58.3,47.47,56.75,74.32,54.78,49.08,67.63,48.63,46.44,50.43,55.32,64.49,72.05,75.63,75.28,66.1,52.21,46.02,47.06
HOBART-ELLERSLIE-ROAD,94029,-42.89,147.33,r1i1p1,rcp26,CESM1-CAM5,2020-2039,68.2,62.29,71.43,75.75,63.34,64.52,71.92,62.64,64.39,68.59,70.2,75.51,77.76,77.5,72,65.47,63.28,61.27,59.76
KALGOORLIE-BOULDER-AIRPORT,12038,-30.78,121.45,r1i1p1,rcp26,CESM1-CAM5,2020-2039,52.26,43.45,55.66,65.87,44.05,44.94,59.43,41.67,48.78,49.12,51.82,65.08,68.46,67.62,61.54,51.75,42.14,38.25,39.54
LAUNCESTON-AIRPORT-COMPARISON,91104,-41.54,147.2,r1i1p1,rcp26,CESM1-CAM5,2020-2039,77.62,68.23,80.43,87.99,73.91,71.27,84.02,68.69,71.55,74.66,79,87.63,88.63,90.25,85.11,77.66,74.82,69.24,64.26
LAVERTON-RAAF,87031,-37.86,144.76,r1i1p1,rcp26,CESM1-CAM5,2020-2039,72.72,66.36,75.78,80.58,68.1,68.51,76.89,65.63,70.1,72.48,73.72,81.13,81.64,82.6,77.48,72.21,66.25,65.84,63.56
MACKAY-M.O,33119,-21.12,149.22,r1i1p1,rcp26,CESM1-CAM5,2020-2039,73.06,73.96,77.41,74.4,66.53,74.05,72.11,72.97,78.23,74.98,79.61,77.62,76.17,73.03,74.01,65.12,66.71,67.75,70.57
MEEKATHARRA-AIRPORT,7045,-26.61,118.54,r1i1p1,rcp26,CESM1-CAM5,2020-2039,38.8,29.96,41.51,53.8,29.64,31.79,45.67,26.39,37,36,41.21,47.32,55.73,57.55,48.1,37.28,28.03,23.61,26.64
MELBOURNE-AIRPORT,86282,-37.68,144.84,r1i1p1,rcp26,CESM1-CAM5,2020-2039,71.02,65.01,73.83,78.19,66.98,67.18,74.83,64.32,69.07,71.53,71.28,78.67,79.75,79.99,74.83,70.62,65.13,65.19,61.9
MILDURA-AIRPORT,76031,-34.23,142.08,r1i1p1,rcp26,CESM1-CAM5,2020-2039,64.31,52.31,69.28,79.13,56.46,56.1,72.55,52.61,57.71,61.8,66.01,80.03,82.43,81.37,73.58,64.46,53.42,51.49,46.76
MOREE-AERO,53115,-29.49,149.85,r1i1p1,rcp26,CESM1-CAM5,2020-2039,60.88,59.3,62.08,70.19,51.8,58.09,63.68,58.24,65.49,60.18,59.9,66.17,73.13,72.87,64.58,55.56,49.77,50.07,54.58
MOUNT-GAMBIER-AERO,26021,-37.75,140.77,r1i1p1,rcp26,CESM1-CAM5,2020-2039,74.64,65.47,77.68,85.18,70.29,68.44,80.89,63.9,67.58,72.36,75.19,85.48,87.27,87.07,81.19,75.2,69.1,66.57,64.73
MOUNT-ISA-AERO,29127,-20.68,139.49,r1i1p1,rcp26,CESM1-CAM5,2020-2039,41.16,50.31,43.89,39.76,30.52,45.46,36.75,49.68,57.06,46.34,42.23,43.1,44.02,39.5,35.76,28.66,29.48,33.42,44.73
NOWRA-RAN-AIR-STATION-AWS,68072,-34.95,150.54,r1i1p1,rcp26,CESM1-CAM5,2020-2039,70.51,73.92,74.28,70.64,62.95,73.13,67.92,73.44,80.12,75.79,72.68,74.38,72.73,72.88,66.31,60.68,59.93,68.08,68.4
PERTH-AIRPORT,9021,-31.93,115.98,r1i1p1,rcp26,CESM1-CAM5,2020-2039,61.33,46.21,62.03,78.26,58.98,50.6,72.2,46.06,45.51,54.35,60.79,70.96,77.88,79.51,77.38,68.14,59.33,49.47,46.59
PORT-HEDLAND-AIRPORT,4032,-20.37,118.63,r1i1p1,rcp26,CESM1-CAM5,2020-2039,40.48,53,39.88,35.76,33.42,46.06,35.02,54.47,58.15,46.9,35.28,37.45,37.21,37.2,32.87,32.29,33.12,34.84,45.96
RICHMOND-RAAF,67105,-33.6,150.78,r1i1p1,rcp26,CESM1-CAM5,2020-2039,74.31,74.95,80.25,78.5,63.54,75.19,73.55,74.45,81.13,79.76,78.8,82.19,82.65,80.92,71.95,63.62,59.95,67.05,69.23
