days online,duration,tags in title,title length,description length,tag count,comment count/days online,times viewed/days online,title emoji count,description emoji count,VADER sentiment,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,December,June,October,January,February,March,April,May,July,August,September,November,times liked
19,49.0,1,35,1129,4,3.1052631578947367,142.05263157894737,0,36,-0.7622,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,374
37,399.0,0,64,1278,6,2.5135135135135136,147.8918918918919,3,44,-0.8948,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,661
46,53.0,2,28,1111,6,2.108695652173913,118.08695652173913,0,36,-0.7989,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,629
74,277.0,1,23,1184,6,0.0,91.72972972972973,0,38,0.7236,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,1051
85,54.0,3,36,1444,9,1.2705882352941176,99.96470588235294,0,44,-0.8637,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,823
184,182.0,1,32,1117,8,1.6630434782608696,225.0163043478261,0,36,-0.8898,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,2892
213,40.0,1,17,1089,9,0.30985915492957744,31.12676056338028,0,36,-0.9054,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,1,539
220,273.0,1,18,1087,8,0.41818181818181815,55.46818181818182,0,36,-0.7622,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,1,948
230,308.0,2,31,1156,6,1.1434782608695653,49.65652173913043,1,40,-0.7815,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,1030
237,323.0,3,44,1031,13,0.8227848101265823,62.31645569620253,0,33,-0.7622,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,1154
244,317.0,2,24,1206,7,0.29918032786885246,26.225409836065573,0,42,-0.6544,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,628
257,26.0,1,41,1209,7,0.5447470817120622,53.01556420233463,1,40,-0.7815,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,1176
266,492.0,2,40,992,6,0.5263157894736842,29.24436090225564,0,34,-0.7622,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,650
277,41.0,2,20,1271,8,0.3140794223826715,26.32129963898917,0,41,0.4106,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,818
285,136.0,2,32,1131,6,1.6666666666666667,73.01754385964912,0,36,-0.7622,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,1890
306,39.0,1,57,1329,7,0.6372549019607843,45.970588235294116,0,36,-0.8577,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,1225
311,423.0,4,25,1252,24,0.909967845659164,39.41800643086817,0,38,-0.8736,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,1,0,0,1154
340,29.0,1,53,235,12,0.6205882352941177,21.591176470588234,0,1,0.5267,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,1045
369,334.0,3,15,1140,9,0.14905149051490515,13.010840108401084,0,40,-0.6544,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,341
383,31.0,1,20,1258,11,0.21409921671018275,26.652741514360315,0,38,-0.7622,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,743
397,421.0,2,35,1297,10,1.380352644836272,70.3425692695214,0,37,0.7059,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,2983
404,216.0,3,33,1224,12,0.6683168316831684,57.82920792079208,0,43,0.8796,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,2892
421,400.0,2,31,1239,8,2.5914489311163895,167.82660332541568,0,38,-0.7622,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,4899
431,1113.0,3,26,1172,12,1.060324825986079,52.60092807424594,0,35,-0.7622,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,1825
439,53.0,1,23,1384,13,0.0,28.485193621867882,0,39,0.8249,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,1541
467,1298.0,3,39,1186,14,0.5438972162740899,19.734475374732334,0,38,-0.7815,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,1054
488,1618.0,1,52,1057,10,1.8647540983606556,119.88934426229508,0,35,-0.7622,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,5276
495,54.0,1,66,1139,11,0.2787878787878788,21.046464646464646,0,35,-0.7622,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,966
523,1848.0,5,33,1418,15,0.11089866156787763,13.233269598470363,0,43,-0.3839,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,680
544,61.0,4,51,1253,13,0.6121323529411765,47.424632352941174,0,37,-0.7622,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,2155
565,252.0,3,38,1240,14,5.067256637168142,698.2300884955753,0,40,-0.4682,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,24919
586,408.0,3,17,1140,11,0.09556313993174062,5.578498293515358,0,38,-0.264,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,248
592,395.0,2,23,1058,12,1.3141891891891893,111.14020270270271,0,36,-0.7622,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,4847
606,476.0,2,19,1110,18,0.22112211221122113,31.752475247524753,0,38,-0.7622,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,1374
613,27.0,1,67,1234,10,0.12234910277324633,12.841761827079935,1,38,0.7319,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,679
619,16.0,3,26,1158,20,0.19224555735056542,38.1470113085622,0,39,-0.7989,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,1328
634,275.0,2,35,1133,14,0.1829652996845426,13.738170347003155,1,37,-0.8875,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,941
642,275.0,1,44,1155,13,0.05451713395638629,3.3551401869158877,0,36,-0.7622,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,224
653,281.0,3,32,1169,13,0.17457886676875958,19.238897396630936,0,37,0.8152,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,911
663,359.0,4,44,1075,11,0.43137254901960786,26.60633484162896,0,36,-0.7622,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,1455
