,video ids,publish date,tags,comment count,title,description,times_viewed,times_liked,times_faved,duration in seconds,caption,privacy_status,thumbnail,localizations.en-GB.title,localizations.en-GB.description,localizations.fr.title,localizations.fr.description,localizations.pt.title,localizations.pt.description,title length,description length,tag count,days live,comment count/days live,times liked/days live,times viewed/days live,likes per view,Publish Day,Publish Month,tags in title,title emoji count,description emoji count,VADER sentiment - title,VADER sentiment - description
0,7M-PRPFR-Y4,2023-01-12 20:26:11+00:00,,12,“Autism and Music”; Autism Social Group Event January 2023,"“Autism & Music” event; I was invited by the Autism Social Group to deliver my first speech since December 2019, at their “music & autism awareness night”.

It was beautiful to see so many autistic people at the event, enjoying & dancing to the music. As a community we are too often deprived of the opportunities to connect. 

Just before I went on stage, I learnt that ASG’s founder Jaqueline had attended the Chester Autistic Pride 2018 event, where they heard my speech. She told me that they were motivated to create a community setting and at the age of 21 they have done just that. 

I couldn’t be prouder of their journey & have faith that autistic & disabled inclusive activities, will continue to be established in the years to come. 

It gives me so much hope, as I return to advocacy after 3 years away, to see all of the work being achieved by the autistic community. 

I look forward to continuing to reconnect with people who I have so sorely missed, over the coming year - let’s make it happen 2023 ✨

#autismawareness #autism #autistic #neurodivergent #neurodiversity #neurodiverse #autismspectrum #autisticspectrum #publicspeaking #speech #autisticadvocacy #autisticadvocate #autismadvocate #ptsd #traumarecovery #backtowork #musicevent #disability #disabilityinclusion #disabilityrights",776,51,0,347,false,public,"[array([[[ 8,  2,  2],
        [ 8,  2,  2],
        [ 8,  2,  2],
        ...,
        [33, 19, 19],
        [33, 21, 21],
        [13,  1,  1]],

       [[ 8,  2,  2],
        [ 8,  2,  2],
        [ 8,  2,  2],
        ...,
        [34, 20, 20],
        [38, 26, 26],
        [19,  7,  7]],

       [[ 8,  2,  2],
        [ 8,  2,  2],
        [ 8,  2,  2],
        ...,
        [34, 20, 20],
        [41, 29, 29],
        [24, 12, 12]],

       ...,

       [[17, 11, 11],
        [15,  9,  9],
        [12,  6,  6],
        ...,
        [58, 49, 44],
        [34, 25, 20],
        [34, 25, 18]],

       [[13,  7,  7],
        [12,  6,  6],
        [ 7,  1,  1],
        ...,
        [72, 65, 59],
        [59, 50, 45],
        [29, 20, 13]],

       [[13,  7,  7],
        [12,  6,  6],
        [ 7,  1,  1],
        ...,
        [53, 46, 40],
        [69, 62, 56],
        [33, 24, 17]]], dtype=uint8)]",,,,,,,9,205,0,204,0.058823529411764705,0.25,3.803921568627451,0.06572164948453608,Thursday,January,0,4,36,0.0,0.9638
1,Fvix0T6WJ6A,2023-01-10 14:05:45+00:00,,15,Tics; normalise involuntarily movement. #autism #tic #tics #tourettessyndrome #neurodivergent,,2657,131,0,53,false,public,"[array([[[24, 20, 21],
        [24, 20, 21],
        [21, 17, 18],
        ...,
        [36, 32, 31],
        [36, 32, 31],
        [36, 32, 31]],

       [[25, 21, 22],
        [24, 20, 21],
        [20, 16, 17],
        ...,
        [36, 32, 31],
        [36, 32, 31],
        [36, 32, 31]],

       [[25, 21, 22],
        [23, 19, 20],
        [19, 14, 18],
        ...,
        [36, 32, 31],
        [36, 32, 31],
        [36, 32, 31]],

       ...,

       [[ 3,  4,  9],
        [ 3,  3, 11],
        [ 3,  3, 11],
        ...,
        [43, 41, 42],
        [59, 55, 54],
        [65, 60, 56]],

       [[ 4,  5, 10],
        [ 4,  4, 12],
        [ 4,  4, 12],
        ...,
        [42, 40, 41],
        [62, 58, 55],
        [71, 66, 62]],

       [[ 4,  5, 10],
        [ 4,  4, 12],
        [ 4,  4, 12],
        ...,
        [42, 40, 41],
        [62, 58, 55],
        [71, 66, 62]]], dtype=uint8)]",,,,,,,9,0,0,206,0.07281553398058252,0.6359223300970874,12.898058252427184,0.04930372600677456,Tuesday,January,0,5,0,0.0,0.0
2,RkcZ_oD0Esg,2022-12-25 23:03:05+00:00,,7,25 December 2022,,788,85,0,26,false,public,"[array([[[ 4,  2,  5],
        [ 3,  1,  4],
        [ 3,  1,  4],
        ...,
        [10, 15, 11],
        [11, 16, 12],
        [12, 17, 13]],

       [[ 4,  2,  5],
        [ 4,  2,  5],
        [ 3,  1,  4],
        ...,
        [ 9, 14, 10],
        [10, 15, 11],
        [11, 16, 12]],

       [[ 4,  2,  3],
        [ 4,  2,  3],
        [ 4,  2,  3],
        ...,
        [ 8, 13,  9],
        [ 9, 14, 10],
        [ 9, 14, 10]],

       ...,

       [[34, 29, 26],
        [46, 38, 36],
        [40, 32, 30],
        ...,
        [50, 46, 47],
        [44, 38, 40],
        [45, 36, 37]],

       [[33, 28, 25],
        [35, 27, 25],
        [35, 27, 25],
        ...,
        [54, 54, 54],
        [ 4,  2,  3],
        [ 1,  0,  0]],

       [[33, 28, 25],
        [35, 27, 25],
        [35, 27, 25],
        ...,
        [44, 44, 44],
        [ 6,  6,  6],
        [17, 16, 14]]], dtype=uint8)]",,,,,,,3,0,0,222,0.03153153153153153,0.38288288288288286,3.5495495495495497,0.10786802030456853,Sunday,December,0,6,0,0.0,0.0
3,C02lpdP14Y0,2022-12-24 21:22:55+00:00,,22,Hello & a merry Christmas to you,,606,95,0,381,false,public,"[array([[[1, 0, 0],
        [1, 0, 0],
        [1, 0, 0],
        ...,
        [0, 1, 0],
        [0, 2, 0],
        [0, 2, 0]],

       [[1, 0, 0],
        [1, 0, 0],
        [1, 0, 0],
        ...,
        [0, 1, 0],
        [0, 1, 0],
        [0, 1, 0]],

       [[0, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [0, 0, 0],
        [0, 1, 0],
        [0, 1, 0]],

       ...,

       [[0, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]],

       [[0, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]],

       [[0, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]]], dtype=uint8)]",,,,,,,7,0,0,223,0.09865470852017937,0.4260089686098655,2.717488789237668,0.15676567656765678,Saturday,December,0,0,0,0.5423,0.5423
4,7yx-UAGFngk,2022-12-24 15:24:16+00:00,,0,“Six Autism friendly reminders for Christmas “🎄2022,"“Six Autism friendly reminders for Christmas “🎄2022 
1) touch aversions 
2) Sensory sensitivities 
3) Food aversions
4) Overload 
5) Sound 
6) Processing 

Have a very merry Christmas, take it easy & at your own pace. Please share this video if you found it useful ✨🎅🎄💗

Thank you for donating to my Go Fund Me (link in bio) - by donating, you helped me to produce this video 🙏✨

Music: Christmas Waltz
Musician: SoundGalleryBy
Site: https://pixabay.com/music/-cinematic-christmas-orchestral-waltz-in-style-home-alone-125674/

#autism #autistic #mentalhealth #mentalhealthmatters #autismawareness #autismacceptance #autisticadult #autisticmentalhealth #neurodivergent #neuroscience #neurodiverse #neurodiversity #actuallyautistic #actuallyautistictiktoks #autisticperspective #christmas #autisticchristmas #sensory #sensoryprocessing #sensoryprofile #afrid #fooddisorderrecovery",885,104,0,163,false,public,"[array([[[0, 1, 0],
        [0, 1, 0],
        [0, 1, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]],

       [[0, 1, 0],
        [0, 1, 0],
        [0, 1, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]],

       [[0, 1, 0],
        [0, 1, 0],
        [0, 1, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]],

       ...,

       [[0, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]],

       [[0, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]],

       [[0, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]]], dtype=uint8)]",,,,,,,7,97,0,223,0.0,0.4663677130044843,3.968609865470852,0.11751412429378531,Saturday,December,0,5,45,0.4939,0.92
5,YEVplHHc8TA,2022-12-21 21:49:17+00:00,,5,What happens to the psyche (mental health) when you’re hard on yourself?” impact of negative chatter,,633,79,0,61,false,public,"[array([[[34, 29, 26],
        [34, 29, 26],
        [35, 30, 27],
        ...,
        [36, 32, 31],
        [36, 32, 31],
        [36, 32, 31]],

       [[35, 30, 27],
        [35, 30, 27],
        [35, 30, 27],
        ...,
        [36, 32, 31],
        [36, 32, 31],
        [36, 32, 31]],

       [[36, 31, 28],
        [36, 31, 28],
        [37, 32, 29],
        ...,
        [36, 32, 31],
        [36, 32, 31],
        [36, 32, 31]],

       ...,

       [[66, 57, 48],
        [66, 57, 48],
        [67, 58, 49],
        ...,
        [52, 51, 46],
        [42, 37, 31],
        [45, 38, 32]],

       [[64, 55, 46],
        [64, 55, 46],
        [64, 55, 46],
        ...,
        [55, 54, 49],
        [46, 41, 35],
        [42, 35, 29]],

       [[64, 55, 46],
        [64, 55, 46],
        [64, 55, 46],
        ...,
        [57, 54, 49],
        [46, 41, 35],
        [42, 35, 29]]], dtype=uint8)]",,,,,,,16,0,0,226,0.022123893805309734,0.3495575221238938,2.8008849557522124,0.12480252764612954,Wednesday,December,0,0,0,-0.6249,-0.6249
6,fNOz096tSFI,2022-12-18 14:58:42+00:00,,19,An example of a Cognitive Overload cycle 🔁 #autistic #neurodivergent #neurodiversity #anxiety,,1791,265,0,60,false,public,"[array([[[32, 34, 31],
        [32, 34, 31],
        [32, 34, 31],
        ...,
        [34, 35, 30],
        [34, 35, 30],
        [34, 35, 30]],

       [[32, 34, 31],
        [32, 34, 31],
        [32, 34, 31],
        ...,
        [34, 35, 30],
        [34, 35, 30],
        [34, 35, 30]],

       [[32, 34, 31],
        [32, 34, 31],
        [32, 34, 31],
        ...,
        [34, 35, 30],
        [34, 35, 30],
        [34, 35, 30]],

       ...,

       [[52, 52, 76],
        [55, 55, 79],
        [19, 20, 41],
        ...,
        [39, 40, 61],
        [ 9, 10, 31],
        [17, 18, 39]],

       [[52, 52, 76],
        [39, 39, 63],
        [14, 15, 36],
        ...,
        [26, 27, 47],
        [11, 12, 32],
        [36, 37, 57]],

       [[51, 51, 75],
        [43, 44, 65],
        [ 8,  9, 30],
        ...,
        [15, 16, 34],
        [17, 18, 36],
        [44, 45, 63]]], dtype=uint8)]",,,,,,,12,0,0,229,0.08296943231441048,1.1572052401746724,7.820960698689956,0.14796203238414293,Sunday,December,0,5,0,-0.3612,-0.3612
7,pD3mtu-1IN4,2022-12-17 11:26:15+00:00,,1,17 December 2022,,495,32,0,12,false,public,"[array([[[61, 57, 54],
        [60, 56, 53],
        [53, 49, 46],
        ...,
        [63, 59, 60],
        [65, 61, 60],
        [69, 65, 64]],

       [[56, 52, 49],
        [55, 51, 48],
        [49, 45, 42],
        ...,
        [61, 57, 56],
        [65, 61, 60],
        [63, 59, 58]],

       [[33, 29, 28],
        [35, 31, 30],
        [33, 29, 28],
        ...,
        [62, 58, 57],
        [65, 61, 60],
        [57, 56, 54]],

       ...,

       [[ 0,  0,  0],
        [ 0,  0,  0],
        [ 0,  1,  0],
        ...,
        [ 1,  0,  0],
        [ 1,  0,  0],
        [ 1,  0,  0]],

       [[ 0,  0,  2],
        [ 1,  1,  3],
        [ 0,  1,  0],
        ...,
        [ 1,  0,  0],
        [ 1,  0,  0],
        [ 1,  0,  0]],

       [[ 0,  0,  2],
        [ 1,  1,  3],
        [ 0,  1,  0],
        ...,
        [ 1,  0,  0],
        [ 1,  0,  0],
        [ 1,  0,  0]]], dtype=uint8)]",,,,,,,3,0,0,230,0.004347826086956522,0.1391304347826087,2.152173913043478,0.06464646464646465,Saturday,December,0,6,0,0.0,0.0
8,LuYjnbCkbAI,2022-12-01 19:13:21+00:00,,2,The SEN Crisis,"Children’s and Families Act 2014 is the legislative part to start when advocating for your disabled & neurodivergent Children. 

If your child’s ECHP is being denied, if your child is out of school with no SEN placement in sight, please read up on how the local authority are legally obliged to provided education 

The SEN school & health crisis is well and truly upon us; it is a human rights issue that affects the most vulnerable members of our society. 

I encourage you to find a disability advocate to help you communicate with the local authority & will be compiling a list to signpost you to. 

I’ll be creating an information video on how to advocate for educational access in the coming weeks. 

Please share this video as a resource if you found it of use 

#sen #specialeducation #autism #autisticrights #autisticrightsarehumanrights #autistic #actuallyautistic #autisticadvocacy #autisticactivist #neurodivergent #neurodiversity #neurodiverse #school #schoolaccess #disability",750,54,0,72,false,public,"[array([[[26, 22, 19],
        [37, 33, 30],
        [39, 35, 32],
        ...,
        [47, 41, 27],
        [46, 40, 26],
        [46, 40, 28]],

       [[25, 21, 18],
        [37, 33, 30],
        [39, 35, 32],
        ...,
        [47, 41, 27],
        [46, 40, 26],
        [46, 40, 28]],

       [[25, 21, 18],
        [36, 32, 29],
        [38, 34, 31],
        ...,
        [47, 41, 27],
        [47, 41, 27],
        [46, 40, 28]],

       ...,

       [[ 3,  4,  9],
        [ 2,  3,  8],
        [ 2,  3,  8],
        ...,
        [ 7,  7,  9],
        [ 7,  7,  9],
        [ 7,  7,  9]],

       [[ 2,  3,  8],
        [ 2,  3,  8],
        [ 2,  3,  8],
        ...,
        [ 7,  7,  9],
        [ 7,  7,  9],
        [ 7,  7,  9]],

       [[ 2,  3,  8],
        [ 2,  3,  8],
        [ 2,  3,  8],
        ...,
        [ 7,  7,  9],
        [ 7,  7,  9],
        [ 7,  7,  9]]], dtype=uint8)]",,,,,,,3,151,0,246,0.008130081300813009,0.21951219512195122,3.048780487804878,0.072,Thursday,December,0,0,19,-0.6249,0.8228
9,SvdkpOUVwLk,2022-12-01 13:28:14+00:00,,14,“Introducing Periods to Autistic Teens”,"a period health care advisory video for younger autistics who are starting Menstruation. 

In this visual guide, I introduce what Menstruation is, what to expect & introduce 4 types of period sanitation care. 

Please always read the instructions on products - this video is not in place of professional healthcare & acts as a visual guide to navigating period sanitation products 

Please always ask an adult in the form of parent, carer or school nurse for advice on application & use 

You can also visit your chosen products website @thinx @always @mooncupltd @tampaxofficial 

#autisticwellbeing #autism #autismawareness #period #periodhealth #periodhealthcare #periodtips #menstrualcup #menstruationtips #neurodivergent #sensorysensitivity #visualguide",990,81,0,272,false,public,"[array([[[1, 0, 0],
        [1, 0, 0],
        [1, 0, 0],
        ...,
        [3, 0, 0],
        [3, 0, 0],
        [3, 0, 0]],

       [[1, 0, 0],
        [1, 0, 0],
        [1, 0, 0],
        ...,
        [1, 0, 0],
        [1, 0, 0],
        [1, 0, 0]],

       [[0, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [1, 0, 2],
        [1, 0, 2],
        [1, 0, 2]],

       ...,

       [[0, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]],

       [[0, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]],

       [[0, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]]], dtype=uint8)]",,,,,,,5,105,0,246,0.056910569105691054,0.32926829268292684,4.024390243902439,0.08181818181818182,Thursday,December,0,0,13,0.0,0.875
