,video ids,publish date,tags,comment count,title,description,times_viewed,times_liked,times_faved,duration in seconds,caption,privacy_status,thumbnail,localizations.en.title,localizations.en.description,title length,description length,tag count,days live,comment count/days live,times liked/days live,times viewed/days live,likes per view,Publish Day,Publish Month,tags in title,title emoji count,description emoji count,VADER sentiment - title,VADER sentiment - description
0,pDGSxPFE_8Q,2023-07-25 18:46:57+00:00,"['youtube', 'channel update', 'autism family', 'autistic', 'asd']",183,This will change our channel...,"I hate to give bad news, but things are just not working out on YouTube like we hoped. Please watch for details and let me know your thoughts in the comments.
#youtube #autism #channel #update #news",6412,666,0,298,false,public,"[array([[[11,  0,  0],
        [ 8,  0,  0],
        [ 4,  0,  0],
        ...,
        [ 1,  0,  0],
        [ 1,  0,  0],
        [ 1,  0,  0]],

       [[ 3,  0,  0],
        [ 1,  0,  0],
        [ 0,  0,  0],
        ...,
        [ 0,  0,  0],
        [ 0,  0,  0],
        [ 0,  0,  0]],

       [[ 0,  4,  0],
        [ 0,  4,  0],
        [ 0,  3,  0],
        ...,
        [ 0,  0,  0],
        [ 0,  0,  0],
        [ 0,  0,  0]],

       ...,

       [[ 0,  0,  0],
        [ 0,  0,  0],
        [ 0,  0,  0],
        ...,
        [ 0,  0,  0],
        [ 0,  0,  0],
        [ 0,  0,  0]],

       [[ 0,  0,  0],
        [ 0,  0,  0],
        [ 0,  0,  0],
        ...,
        [ 0,  0,  0],
        [ 0,  0,  0],
        [ 0,  0,  0]],

       [[ 0,  0,  0],
        [ 0,  0,  0],
        [ 0,  0,  0],
        ...,
        [ 0,  0,  0],
        [ 0,  0,  0],
        [ 0,  0,  0]]], dtype=uint8)]",,,5,36,5,6,30.5,111.0,1068.6666666666667,0.10386774797255147,Tuesday,July,0,0,5,0.0,0.7184
1,W8C8hPsTH6w,2023-07-20 18:14:14+00:00,"['autistic', 'stop motion', 'he-man', 'animating', 'asd', 'film', 'tv', 'back to the future']",57,Autism Helps Him Animate Videos,"Can autism help with formulating movie scripts and animation? Connor explains how it helps him and shows how he animates as well. This is a fun behind-the-scenes look at one of his favorite hobbies.
#youtube #autism #fun #movie #animation 
Autism Family Merchandise:
https://autismfamily.myspreadshop.com/
Other links:
https://www.patreon.com/autismfamily
https://www.facebook.com/Autism-Family-Youtube-107318891102628?view_public_for=107318891102628
Autism non-profit we are a part of: https://theautismalliance.org/
Our other channel (Nostalgia Fix): https://www.youtube.com/@NostalgiaFix81",2962,230,0,518,false,public,"[array([[[ 0,  4,  0],
        [ 0,  1,  2],
        [ 0,  0, 12],
        ...,
        [ 1,  0,  0],
        [ 1,  0,  0],
        [ 1,  0,  0]],

       [[ 1,  4,  0],
        [ 0,  1,  0],
        [ 0,  0,  5],
        ...,
        [ 1,  0,  0],
        [ 1,  0,  0],
        [ 1,  0,  0]],

       [[ 6,  2,  0],
        [ 1,  2,  0],
        [ 0,  1,  0],
        ...,
        [ 0,  0,  0],
        [ 0,  0,  0],
        [ 0,  0,  0]],

       ...,

       [[ 0,  0,  0],
        [ 0,  0,  0],
        [ 0,  0,  0],
        ...,
        [ 0,  0,  0],
        [ 0,  0,  0],
        [ 0,  0,  0]],

       [[ 0,  0,  0],
        [ 0,  0,  0],
        [ 0,  0,  0],
        ...,
        [ 0,  0,  0],
        [ 0,  0,  0],
        [ 0,  0,  0]],

       [[ 0,  0,  0],
        [ 0,  0,  0],
        [ 0,  0,  0],
        ...,
        [ 0,  0,  0],
        [ 0,  0,  0],
        [ 0,  0,  0]]], dtype=uint8)]",,,5,61,8,11,5.181818181818182,20.90909090909091,269.27272727272725,0.07765023632680622,Thursday,July,0,0,37,0.3818,0.9195
2,V88m6xmampg,2023-07-14 19:40:58+00:00,"['ASD', 'mall', 'what is autism', 'learning', 'spectrum']",112,"Asking Strangers ""What is Autism?""","What is autism exactly? We decided to go out and ask strangers what they think. We didn't expect to find so many people on the autism spectrum on our visit either, that was an unexpected treat. Please leave a comment and let us know what you think autism is!
#youtube #education #autism #autistic #help #sensory 
Autism Family Merchandise:
https://autismfamily.myspreadshop.com/
Other links:
https://www.patreon.com/autismfamily
https://www.facebook.com/Autism-Family-Youtube-107318891102628?view_public_for=107318891102628
Autism non-profit we are a part of: https://theautismalliance.org/
Our other channel (Nostalgia Fix): https://www.youtube.com/@NostalgiaFix81",4222,326,0,311,false,public,"[array([[[ 0,  4,  0],
        [ 0,  2,  0],
        [ 0,  0,  9],
        ...,
        [ 0,  0,  2],
        [ 0,  0,  2],
        [ 0,  0,  2]],

       [[ 4,  1,  0],
        [ 3,  1,  0],
        [ 3,  0,  0],
        ...,
        [ 0,  0,  2],
        [ 0,  0,  2],
        [ 0,  0,  2]],

       [[11,  0,  0],
        [10,  0,  0],
        [ 7,  0,  0],
        ...,
        [ 0,  0,  0],
        [ 0,  0,  0],
        [ 0,  0,  0]],

       ...,

       [[ 0,  0,  0],
        [ 0,  0,  0],
        [ 0,  0,  0],
        ...,
        [ 0,  0,  0],
        [ 0,  0,  0],
        [ 0,  0,  0]],

       [[ 0,  0,  0],
        [ 0,  0,  0],
        [ 0,  0,  0],
        ...,
        [ 0,  0,  0],
        [ 0,  0,  0],
        [ 0,  0,  0]],

       [[ 0,  0,  0],
        [ 0,  0,  0],
        [ 0,  0,  0],
        ...,
        [ 0,  0,  0],
        [ 0,  0,  0],
        [ 0,  0,  0]]], dtype=uint8)]",,,5,77,5,17,6.588235294117647,19.176470588235293,248.35294117647058,0.07721459024159166,Friday,July,0,0,38,0.0,0.6654
3,a48ZZBlkZZE,2023-07-10 18:46:05+00:00,"['ASD', 'sensory', 'autistic', 'zion', 'national park', 'hike', 'sand']",27,Autism Sensory Play at Zion National Park,"This was from a couple of weeks ago, but I thought it was fun to see our son make Autism sensory play possible even when we were miles from civilization. Please leave a comment!
#shorts #youtube #fun #autism #play #sensory #autistic 
Autism Family Merchandise:
https://autismfamily.myspreadshop.com/
Other links:
https://www.patreon.com/autismfamily
https://www.facebook.com/Autism-Family-Youtube-107318891102628?view_public_for=107318891102628
Autism non-profit we are a part of: https://theautismalliance.org/
Our other channel (Nostalgia Fix): https://www.youtube.com/@NostalgiaFix81",5029,319,0,33,false,public,"[array([[[14, 15, 19],
        [13, 14, 19],
        [14, 15, 20],
        ...,
        [19, 14,  8],
        [20, 15,  9],
        [23, 16, 10]],

       [[45, 46, 50],
        [18, 19, 23],
        [11, 12, 16],
        ...,
        [19, 14,  8],
        [20, 15,  9],
        [23, 16, 10]],

       [[56, 58, 57],
        [55, 56, 58],
        [18, 19, 21],
        ...,
        [20, 15,  9],
        [21, 16, 10],
        [23, 16, 10]],

       ...,

       [[41, 28, 20],
        [34, 21, 13],
        [32, 19, 11],
        ...,
        [57, 41, 28],
        [56, 40, 27],
        [56, 40, 27]],

       [[39, 26, 18],
        [39, 26, 18],
        [38, 25, 17],
        ...,
        [52, 36, 23],
        [53, 37, 24],
        [56, 40, 27]],

       [[39, 26, 18],
        [39, 26, 18],
        [38, 25, 16],
        ...,
        [52, 35, 25],
        [53, 36, 26],
        [56, 39, 29]]], dtype=uint8)]",,,7,63,7,21,1.2857142857142858,15.19047619047619,239.47619047619048,0.0634320938556373,Monday,July,0,0,39,0.34,0.8883
4,odEZdy8P1hk,2023-07-08 19:10:57+00:00,"['dinos', 'garden', 'utah', 'lehi', 'thanksgiving point', 'asd', 'sensory', 'play']",60,Autism Family Visits Dino Island,"This was quite a trip! The kids got to see animatronic dinosaurs. We got to see beautiful gardens and waterfalls. There were also some beautiful statues of the Savior. So please join us on this adventure and leave a comment!
#youtube #adventure #autism #fun #autistic #dinosaur",3204,211,0,751,false,public,"[array([[[ 0,  8,  0],
        [ 0,  4,  2],
        [ 0,  0, 12],
        ...,
        [ 0,  0,  5],
        [ 0,  0,  5],
        [ 0,  0,  5]],

       [[ 0,  5,  0],
        [ 0,  2,  0],
        [ 0,  0, 11],
        ...,
        [ 0,  0,  0],
        [ 0,  0,  0],
        [ 0,  0,  0]],

       [[ 6,  0,  0],
        [ 1,  0,  0],
        [ 0,  0,  9],
        ...,
        [ 0,  1,  0],
        [ 0,  1,  0],
        [ 0,  1,  0]],

       ...,

       [[ 0,  0,  0],
        [ 0,  0,  0],
        [ 0,  0,  0],
        ...,
        [ 0,  0,  0],
        [ 0,  0,  0],
        [ 0,  0,  0]],

       [[ 0,  0,  0],
        [ 0,  0,  0],
        [ 0,  0,  0],
        ...,
        [ 0,  0,  0],
        [ 0,  0,  0],
        [ 0,  0,  0]],

       [[ 0,  0,  0],
        [ 0,  0,  0],
        [ 0,  0,  0],
        ...,
        [ 0,  0,  0],
        [ 0,  0,  0],
        [ 0,  0,  0]]], dtype=uint8)]",,,5,46,8,23,2.608695652173913,9.173913043478262,139.30434782608697,0.06585518102372034,Saturday,July,0,0,6,0.0,0.9458
5,GikIkTHDtbc,2023-07-07 16:05:42+00:00,"['ASD', 'bird', 'funny', 'cute', 'happy', 'dance', 'dancing', 'movies', 'moves']",0,Parrot Dances with Autistic Boy,"This Parrot was loving my son's dancing and decided to, well...parrot him. We found it to be pretty adorable. Let us know what you think in the comments!
#shorts #youtube #fun #autism #autistic #parrot 
Autism Family Merchandise:
https://autismfamily.myspreadshop.com/
Other links:
https://www.patreon.com/autismfamily
https://www.facebook.com/Autism-Family-Youtube-107318891102628?view_public_for=107318891102628
Autism non-profit we are a part of: https://theautismalliance.org/
Our other channel (Nostalgia Fix): https://www.youtube.com/@NostalgiaFix81",4496,339,0,32,false,public,"[array([[[56, 47, 40],
        [54, 45, 38],
        [53, 42, 36],
        ...,
        [55, 41, 32],
        [66, 53, 44],
        [76, 63, 54]],

       [[55, 46, 39],
        [54, 45, 38],
        [53, 42, 36],
        ...,
        [53, 39, 30],
        [64, 51, 42],
        [74, 61, 52]],

       [[55, 46, 39],
        [54, 45, 38],
        [54, 43, 37],
        ...,
        [53, 40, 31],
        [64, 51, 42],
        [70, 60, 50]],

       ...,

       [[ 0,  0,  2],
        [ 0,  0,  2],
        [ 0,  0,  2],
        ...,
        [24, 13,  9],
        [32, 21, 17],
        [33, 22, 18]],

       [[ 1,  1,  3],
        [ 1,  1,  3],
        [ 1,  1,  3],
        ...,
        [22, 11,  7],
        [26, 15, 11],
        [33, 22, 18]],

       [[ 1,  1,  3],
        [ 1,  1,  3],
        [ 1,  1,  3],
        ...,
        [22, 11,  7],
        [26, 15, 11],
        [33, 22, 18]]], dtype=uint8)]",,,5,56,9,24,0.0,14.125,187.33333333333334,0.07540035587188612,Friday,July,0,0,38,0.0,0.8908
6,1eLLJZ_RsZs,2023-07-05 21:52:07+00:00,"['ASD', 'stimming', 'stim', 'fireworks', 'loud noises', 'sensory input']",59,Autism Reactions to Fireworks,"Do our autistic boys actually enjoy fireworks? Sometimes yes, sometimes no. This video explores that a bit. Let us know how your loved ones respond to fireworks and thanks for watching!
#youtube #autism #4thofjuly #independenceday #fireworks #autistic 
Autism Family Merchandise:
https://autismfamily.myspreadshop.com/
Other links:
https://www.patreon.com/autismfamily
https://www.facebook.com/Autism-Family-Youtube-107318891102628?view_public_for=107318891102628
Autism non-profit we are a part of: https://theautismalliance.org/
Our other channel (Nostalgia Fix): https://www.youtube.com/@NostalgiaFix81",4577,279,0,181,false,public,"[array([[[ 0,  0,  5],
        [ 7,  0,  5],
        [10,  0,  4],
        ...,
        [ 1,  0,  0],
        [ 1,  0,  0],
        [ 1,  0,  0]],

       [[ 0,  0,  2],
        [ 3,  0,  2],
        [ 3,  0,  0],
        ...,
        [ 1,  0,  0],
        [ 1,  0,  0],
        [ 1,  0,  0]],

       [[ 3,  0,  0],
        [ 0,  2,  0],
        [ 0,  3,  0],
        ...,
        [ 1,  0,  0],
        [ 1,  0,  0],
        [ 1,  0,  0]],

       ...,

       [[ 0,  0,  0],
        [ 0,  0,  0],
        [ 0,  0,  0],
        ...,
        [ 0,  0,  0],
        [ 0,  0,  0],
        [ 0,  0,  0]],

       [[ 0,  0,  0],
        [ 0,  0,  0],
        [ 0,  0,  0],
        ...,
        [ 0,  0,  0],
        [ 0,  0,  0],
        [ 0,  0,  0]],

       [[ 0,  0,  0],
        [ 0,  0,  0],
        [ 0,  0,  0],
        ...,
        [ 0,  0,  0],
        [ 0,  0,  0],
        [ 0,  0,  0]]], dtype=uint8)]",,,4,59,6,26,2.269230769230769,10.73076923076923,176.03846153846155,0.06095695870657636,Wednesday,July,0,0,39,0.0,0.9032
7,NULrNKooQ0s,2023-07-03 18:19:43+00:00,"['autism', 'freedom', 'free speech', 'help', 'autistic']",105,Why Autism Needs Free Speech (July 4th message),"Why is free speech so important to support those in the autism community? History has a thing or two to teach us about how the marginalized are treated. Let us know your thoughts in the comments and thank you!
#youtube #autism #independence #america #4thofjuly #autistic 
Autism Family Merchandise:
https://autismfamily.myspreadshop.com/
Other links:
https://www.patreon.com/autismfamily
https://www.facebook.com/Autism-Family-Youtube-107318891102628?view_public_for=107318891102628
Autism non-profit we are a part of: https://theautismalliance.org/
Our other channel (Nostalgia Fix): https://www.youtube.com/@NostalgiaFix81",3997,315,0,908,false,public,"[array([[[6, 0, 0],
        [0, 2, 0],
        [0, 3, 0],
        ...,
        [1, 0, 0],
        [1, 0, 0],
        [1, 0, 0]],

       [[7, 0, 0],
        [3, 0, 0],
        [1, 0, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]],

       [[7, 0, 0],
        [7, 0, 0],
        [7, 0, 2],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]],

       ...,

       [[0, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]],

       [[0, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]],

       [[0, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]]], dtype=uint8)]",,,8,67,5,28,3.75,11.25,142.75,0.07880910683012259,Monday,July,0,1,39,0.5106,0.8887
8,Js35W46jDMc,2023-06-29 20:46:53+00:00,"['porsche', 'asd', '911', 'gt', 'rs', 'cayman', 'tacan', 'carrera']",95,Can Autistic Kid Become a Good Car Salesman?,"Car Salespeople are generally extroverted and have a lot of people skills. But can an obsession with car knowledge overcome the odds and actually make for a better salesperson? Let us know your thoughts!
#youtube #car #autism #porsche #education #autistic 
Autism Family Merchandise:
https://autismfamily.myspreadshop.com/
Other links:
https://www.patreon.com/autismfamily
https://www.facebook.com/Autism-Family-Youtube-107318891102628?view_public_for=107318891102628
Autism non-profit we are a part of: https://theautismalliance.org/
Our other channel (Nostalgia Fix): https://www.youtube.com/@NostalgiaFix81",3185,204,0,673,false,public,"[array([[[ 0,  4, 11],
        [ 0,  5,  7],
        [ 0,  2,  4],
        ...,
        [ 0,  4,  2],
        [ 0,  4,  2],
        [ 0,  4,  2]],

       [[ 0,  2,  5],
        [ 0,  4,  4],
        [ 0,  2,  2],
        ...,
        [ 0,  1,  0],
        [ 0,  1,  0],
        [ 0,  1,  0]],

       [[ 3,  0,  0],
        [ 0,  0,  0],
        [ 0,  1,  0],
        ...,
        [ 4,  0,  0],
        [ 4,  0,  0],
        [ 4,  0,  0]],

       ...,

       [[ 0,  0,  0],
        [ 0,  0,  0],
        [ 0,  0,  0],
        ...,
        [ 0,  0,  0],
        [ 0,  0,  0],
        [ 0,  0,  0]],

       [[ 0,  0,  0],
        [ 0,  0,  0],
        [ 0,  0,  0],
        ...,
        [ 0,  0,  0],
        [ 0,  0,  0],
        [ 0,  0,  0]],

       [[ 0,  0,  0],
        [ 0,  0,  0],
        [ 0,  0,  0],
        ...,
        [ 0,  0,  0],
        [ 0,  0,  0],
        [ 0,  0,  0]]], dtype=uint8)]",,,8,62,8,32,2.96875,6.375,99.53125,0.06405023547880691,Thursday,June,0,0,38,0.4404,0.3404
9,4fOWnVRVkcQ,2023-06-26 18:12:10+00:00,"['treats', 'frosting', 'donuts', 'pinkbox', 'asd', 'autistic', 'trip']",85,Rewarding Autistic Kids for Good Behavior,"Sometimes trying to get good behavior out of autistic kids is not complicated. Who doesn't like sweet treats? Well our kids are no different. Join us on our first time to Pinkbox donuts in St. George Utah!
#youtube #autism #education #fun #donuts #utah 
Autism Family Merchandise:
https://autismfamily.myspreadshop.com/
Other links:
https://www.patreon.com/autismfamily
https://www.facebook.com/Autism-Family-Youtube-107318891102628?view_public_for=107318891102628
Autism non-profit we are a part of: https://theautismalliance.org/
Our other channel (Nostalgia Fix): https://www.youtube.com/@NostalgiaFix81",5279,318,0,202,false,public,"[array([[[1, 3, 0],
        [0, 4, 0],
        [0, 4, 0],
        ...,
        [0, 1, 0],
        [0, 2, 0],
        [0, 3, 0]],

       [[3, 3, 0],
        [0, 3, 0],
        [0, 1, 0],
        ...,
        [0, 0, 2],
        [0, 1, 0],
        [0, 2, 0]],

       [[0, 3, 0],
        [1, 2, 0],
        [6, 0, 0],
        ...,
        [0, 0, 2],
        [0, 0, 2],
        [0, 2, 2]],

       ...,

       [[0, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]],

       [[0, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]],

       [[0, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]]], dtype=uint8)]",,,6,65,7,35,2.4285714285714284,9.085714285714285,150.82857142857142,0.06023868156847888,Monday,June,0,0,38,0.743,0.2644
