,video ids,publish date,tags,comment count,title,description,times_viewed,times_liked,times_faved,duration in seconds,caption,privacy_status,thumbnail,title length,description length,tag count,days live,comment count/days live,times liked/days live,times viewed/days live,likes per view,Publish Day,Publish Month,tags in title,title emoji count,description emoji count,VADER sentiment - title,VADER sentiment - description
0,mIEEK8uHOAk,2023-07-19 23:41:20+00:00,,31,Vote for me at the Logies!,VOTE HERE: https://www.tvweeklogies.com.au,904,216,0,88,false,public,"[array([[[57, 52, 48],
        [57, 52, 48],
        [57, 52, 48],
        ...,
        [57, 53, 50],
        [57, 53, 50],
        [57, 53, 50]],

       [[57, 52, 48],
        [57, 52, 48],
        [57, 52, 48],
        ...,
        [57, 53, 50],
        [57, 53, 50],
        [57, 53, 50]],

       [[57, 52, 48],
        [57, 52, 48],
        [57, 52, 48],
        ...,
        [57, 53, 50],
        [57, 53, 50],
        [57, 53, 50]],

       ...,

       [[62, 59, 54],
        [62, 59, 54],
        [62, 59, 54],
        ...,
        [57, 53, 50],
        [57, 53, 50],
        [57, 53, 50]],

       [[62, 59, 54],
        [62, 59, 54],
        [62, 59, 54],
        ...,
        [57, 53, 50],
        [57, 53, 50],
        [57, 53, 50]],

       [[62, 59, 54],
        [62, 59, 54],
        [62, 59, 54],
        ...,
        [57, 53, 50],
        [57, 53, 50],
        [57, 53, 50]]], dtype=uint8)]",6,3,0,0,inf,inf,inf,0.23893805309734514,Wednesday,July,0,0,0,0.0,0.0
1,pSgIX_8sy50,2023-06-19 21:00:20+00:00,,127,haha so relatable,,78467,6415,0,6,false,public,"[array([[[18, 10,  7],
        [18, 10,  7],
        [19, 11,  8],
        ...,
        [34, 20, 17],
        [35, 21, 18],
        [35, 21, 18]],

       [[18, 10,  7],
        [18, 10,  7],
        [18, 10,  7],
        ...,
        [30, 16, 13],
        [31, 17, 14],
        [31, 17, 14]],

       [[17,  9,  6],
        [18, 10,  7],
        [18, 10,  7],
        ...,
        [26, 12,  9],
        [27, 13, 10],
        [27, 13, 10]],

       ...,

       [[77, 70, 64],
        [78, 69, 64],
        [78, 69, 64],
        ...,
        [ 8,  3,  0],
        [ 7,  2,  0],
        [ 5,  1,  0]],

       [[74, 65, 60],
        [74, 65, 60],
        [73, 64, 59],
        ...,
        [ 7,  2,  0],
        [ 8,  3,  0],
        [ 8,  4,  3]],

       [[74, 65, 60],
        [74, 65, 60],
        [73, 64, 59],
        ...,
        [ 7,  2,  0],
        [ 8,  3,  0],
        [ 8,  4,  3]]], dtype=uint8)]",3,0,0,30,4.233333333333333,213.83333333333334,2615.5666666666666,0.08175411319408159,Monday,June,0,0,0,0.4588,0.4588
2,4jkgJErRoV0,2023-06-15 23:15:00+00:00,,28,BTS for shooting Vogue!,,3769,405,0,109,false,public,"[array([[[63, 62, 67],
        [62, 61, 66],
        [70, 69, 74],
        ...,
        [60, 56, 57],
        [65, 59, 61],
        [60, 54, 56]],

       [[49, 48, 53],
        [52, 51, 56],
        [54, 53, 58],
        ...,
        [69, 65, 66],
        [65, 59, 61],
        [57, 51, 53]],

       [[51, 50, 55],
        [66, 65, 70],
        [66, 65, 70],
        ...,
        [53, 47, 49],
        [53, 47, 49],
        [55, 49, 51]],

       ...,

       [[27, 36, 51],
        [25, 35, 47],
        [20, 28, 41],
        ...,
        [76, 71, 68],
        [71, 66, 63],
        [68, 63, 60]],

       [[29, 36, 46],
        [35, 42, 52],
        [39, 43, 52],
        ...,
        [71, 66, 63],
        [66, 61, 58],
        [57, 52, 49]],

       [[32, 35, 42],
        [38, 41, 48],
        [42, 43, 48],
        ...,
        [71, 66, 63],
        [66, 61, 58],
        [57, 52, 49]]], dtype=uint8)]",4,0,0,34,0.8235294117647058,11.911764705882353,110.8529411764706,0.10745555850358185,Thursday,June,0,0,0,0.0,0.0
3,Y00oQ8ClP54,2023-06-12 21:15:01+00:00,,77,1D stan til I die,,44086,3311,0,7,false,public,"[array([[[47, 55, 44],
        [51, 57, 47],
        [54, 57, 48],
        ...,
        [41, 44, 37],
        [41, 44, 37],
        [41, 44, 37]],

       [[47, 55, 44],
        [51, 57, 47],
        [53, 56, 47],
        ...,
        [41, 44, 37],
        [41, 44, 37],
        [41, 44, 37]],

       [[49, 55, 45],
        [50, 56, 46],
        [53, 55, 44],
        ...,
        [41, 44, 37],
        [41, 44, 37],
        [41, 44, 37]],

       ...,

       [[ 9, 10, 12],
        [ 9, 10, 12],
        [ 9, 10, 12],
        ...,
        [ 9, 10, 12],
        [ 7, 11, 12],
        [ 7, 11, 12]],

       [[10, 11, 13],
        [10, 11, 13],
        [10, 11, 13],
        ...,
        [ 9, 10, 12],
        [ 6, 10, 11],
        [ 6, 10, 11]],

       [[10, 11, 13],
        [10, 11, 13],
        [10, 11, 13],
        ...,
        [ 9, 10, 12],
        [ 6, 10, 11],
        [ 6, 10, 11]]], dtype=uint8)]",5,0,0,37,2.081081081081081,89.48648648648648,1191.5135135135135,0.07510320736741823,Monday,June,0,1,0,-0.5994,-0.5994
4,5-oGW8JuktE,2023-06-12 02:15:00+00:00,,236,Sorry I forgot to show emotions on my face,,216494,20885,0,9,false,public,"[array([[[32, 18,  7],
        [32, 18,  7],
        [32, 18,  7],
        ...,
        [43, 25, 11],
        [42, 24, 10],
        [41, 23,  9]],

       [[31, 17,  8],
        [31, 17,  8],
        [31, 17,  8],
        ...,
        [41, 25, 12],
        [40, 24, 11],
        [39, 23, 10]],

       [[28, 14,  5],
        [28, 14,  5],
        [29, 15,  6],
        ...,
        [39, 23, 10],
        [38, 22,  9],
        [37, 21,  8]],

       ...,

       [[32, 23, 16],
        [32, 23, 16],
        [27, 18, 11],
        ...,
        [37, 23, 20],
        [30, 16, 13],
        [34, 20, 17]],

       [[33, 24, 17],
        [29, 20, 13],
        [30, 21, 14],
        ...,
        [35, 21, 18],
        [38, 23, 20],
        [31, 16, 13]],

       [[33, 24, 17],
        [29, 20, 13],
        [30, 21, 14],
        ...,
        [37, 22, 19],
        [40, 25, 22],
        [34, 19, 16]]], dtype=uint8)]",9,0,0,38,6.2105263157894735,549.6052631578947,5697.210526315789,0.09646918621301283,Monday,June,0,0,0,-0.0772,-0.0772
5,RShvtvdqHkI,2023-06-10 02:30:17+00:00,,95,:),,47263,4840,0,50,false,public,"[array([[[31, 10, 15],
        [31, 10, 15],
        [31, 10, 15],
        ...,
        [37, 22, 19],
        [33, 15, 13],
        [32, 14, 12]],

       [[34, 13, 18],
        [34, 13, 18],
        [34, 13, 18],
        ...,
        [35, 20, 17],
        [33, 15, 13],
        [32, 14, 12]],

       [[36, 15, 20],
        [36, 15, 20],
        [36, 15, 20],
        ...,
        [32, 17, 14],
        [33, 15, 13],
        [32, 14, 12]],

       ...,

       [[15,  9, 11],
        [16, 10, 12],
        [15, 11, 12],
        ...,
        [19, 15,  4],
        [22, 20,  8],
        [23, 24, 10]],

       [[18,  9, 12],
        [16, 10, 12],
        [15, 11, 12],
        ...,
        [21, 17,  6],
        [18, 19,  5],
        [17, 19,  5]],

       [[18,  9, 12],
        [16, 10, 12],
        [16, 10, 12],
        ...,
        [20, 18,  6],
        [17, 19,  5],
        [15, 19,  4]]], dtype=uint8)]",1,0,0,40,2.375,121.0,1181.575,0.10240568732412246,Saturday,June,0,0,0,0.4588,0.4588
6,lwHNmkV35Yw,2023-06-06 07:15:01+00:00,,145,Some of the jobs I've had,,49137,6926,0,38,false,public,"[array([[[ 4,  0,  0],
        [ 3,  0,  0],
        [ 3,  0,  0],
        ...,
        [13,  7,  7],
        [13,  7,  7],
        [20, 15, 12]],

       [[ 5,  1,  0],
        [ 6,  2,  1],
        [ 6,  2,  1],
        ...,
        [13,  7,  7],
        [15,  9,  9],
        [19, 14, 11]],

       [[ 8,  4,  3],
        [11,  7,  6],
        [12,  8,  7],
        ...,
        [13,  7,  7],
        [18, 12, 12],
        [18, 13, 10]],

       ...,

       [[23, 12,  8],
        [24, 13,  9],
        [26, 15, 11],
        ...,
        [35, 22, 16],
        [39, 26, 20],
        [36, 23, 15]],

       [[20,  9,  5],
        [20,  9,  5],
        [22, 11,  7],
        ...,
        [31, 18, 12],
        [40, 27, 21],
        [40, 27, 19]],

       [[20,  9,  5],
        [20,  9,  5],
        [22, 11,  7],
        ...,
        [31, 18, 12],
        [40, 27, 21],
        [40, 27, 19]]], dtype=uint8)]",6,0,0,44,3.2954545454545454,157.4090909090909,1116.75,0.140952846124102,Tuesday,June,0,0,0,0.0,0.0
7,97n_yCZF5IM,2023-06-02 14:00:06+00:00,,46,GRWM while I talk about Heartbreak High,,6453,753,0,151,false,public,"[array([[[55, 25, 23],
        [66, 40, 39],
        [77, 59, 55],
        ...,
        [50, 46, 43],
        [48, 47, 43],
        [48, 47, 43]],

       [[53, 25, 24],
        [68, 44, 42],
        [76, 61, 58],
        ...,
        [41, 37, 34],
        [39, 38, 34],
        [39, 38, 34]],

       [[51, 27, 25],
        [71, 51, 50],
        [77, 63, 60],
        ...,
        [41, 37, 34],
        [38, 37, 33],
        [38, 37, 33]],

       ...,

       [[49, 30, 26],
        [60, 42, 40],
        [78, 67, 63],
        ...,
        [33, 23, 14],
        [68, 55, 46],
        [61, 48, 39]],

       [[46, 28, 26],
        [67, 52, 49],
        [72, 61, 59],
        ...,
        [58, 48, 39],
        [57, 47, 37],
        [41, 28, 19]],

       [[61, 43, 43],
        [79, 65, 64],
        [81, 71, 69],
        ...,
        [46, 36, 27],
        [58, 48, 38],
        [51, 38, 29]]], dtype=uint8)]",7,0,0,48,0.9583333333333334,15.6875,134.4375,0.11668991166899116,Friday,June,0,0,0,-0.5719,-0.5719
8,Cwk4R8-nU4s,2023-05-31 20:15:00+00:00,,95,One thing about me,,9187,1239,0,149,false,public,"[array([[[36, 32, 29],
        [36, 32, 29],
        [36, 32, 31],
        ...,
        [38, 28, 19],
        [38, 28, 19],
        [35, 25, 16]],

       [[36, 32, 29],
        [36, 32, 29],
        [36, 32, 31],
        ...,
        [38, 28, 19],
        [37, 27, 18],
        [34, 24, 15]],

       [[36, 32, 29],
        [36, 32, 29],
        [36, 32, 29],
        ...,
        [36, 26, 17],
        [35, 25, 16],
        [31, 21, 12]],

       ...,

       [[30, 25, 19],
        [33, 28, 22],
        [29, 24, 18],
        ...,
        [76, 64, 52],
        [77, 65, 53],
        [77, 65, 53]],

       [[30, 25, 19],
        [30, 25, 19],
        [31, 26, 20],
        ...,
        [75, 63, 51],
        [75, 63, 51],
        [75, 63, 51]],

       [[30, 25, 19],
        [30, 25, 19],
        [31, 26, 20],
        ...,
        [75, 63, 51],
        [75, 63, 51],
        [75, 63, 51]]], dtype=uint8)]",4,0,0,49,1.9387755102040816,25.285714285714285,187.48979591836735,0.134864482420812,Wednesday,May,0,0,0,0.0,0.0
9,Ylmm96MiXVE,2023-05-30 05:15:01+00:00,,111,I bought my first house :),,61869,7112,0,29,false,public,"[array([[[ 8, 12, 11],
        [15, 19, 18],
        [10, 14, 13],
        ...,
        [68, 69, 71],
        [81, 82, 84],
        [52, 52, 54]],

       [[20, 24, 23],
        [18, 22, 21],
        [10, 14, 13],
        ...,
        [63, 65, 64],
        [67, 67, 67],
        [61, 61, 61]],

       [[13, 17, 16],
        [13, 17, 16],
        [15, 19, 18],
        ...,
        [57, 59, 58],
        [62, 62, 62],
        [62, 62, 62]],

       ...,

       [[32, 22, 21],
        [27, 19, 17],
        [27, 19, 17],
        ...,
        [24, 18, 18],
        [19, 13, 13],
        [14,  8,  8]],

       [[25, 15, 14],
        [29, 19, 18],
        [25, 15, 14],
        ...,
        [22, 16, 18],
        [20, 14, 16],
        [17, 11, 13]],

       [[24, 14, 13],
        [29, 19, 18],
        [25, 15, 14],
        ...,
        [22, 16, 18],
        [20, 14, 16],
        [17, 11, 13]]], dtype=uint8)]",6,0,0,51,2.176470588235294,139.45098039215685,1213.1176470588234,0.11495256105642568,Tuesday,May,0,0,0,0.4588,0.4588
