,video ids,publish date,tags,comment count,title,description,times_viewed,times_liked,times_faved,duration in seconds,caption,privacy_status,thumbnail,localizations.en-GB.title,localizations.en-GB.description,title length,description length,tag count,days live,comment count/days live,times liked/days live,times viewed/days live,likes per view,Publish Day,Publish Month,tags in title,title emoji count,description emoji count,VADER sentiment - title,VADER sentiment - description
0,KQsNQ0kFImk,2023-07-26 23:00:09+00:00,"['Lions Prep', 'Eat Holy', 'meal prep', 'takeaway', 'healthy', 'delicious', 'nutritious', 'vegan', 'vegetarian', 'food', 'cooking', 'life', 'delivery', 'fresh', 'fruit', 'vegetables', 'weightloss', 'weight gain', 'exercise', 'gym', 'london']",0,Lions Prep Unboxing Review,"Check out Lions Prep here https://www.lionsprep.co.uk/

Want a discount? Use my code SAMARA43496 for 30% off your first order and 15% off of the following 3 orders.",81,2,0,430,false,public,"[array([[[0, 2, 0],
        [0, 2, 0],
        [0, 2, 0],
        ...,
        [1, 0, 2],
        [1, 0, 2],
        [1, 0, 2]],

       [[0, 1, 0],
        [0, 1, 0],
        [0, 1, 0],
        ...,
        [0, 0, 4],
        [0, 0, 4],
        [0, 0, 4]],

       [[0, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [0, 0, 4],
        [0, 0, 4],
        [0, 0, 4]],

       ...,

       [[0, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]],

       [[0, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]],

       [[0, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]]], dtype=uint8)]",,,4,27,21,9,0.0,0.2222222222222222,9.0,0.024691358024691357,Wednesday,July,1,0,10,0.0,0.0772
1,zfm2x0ej8yc,2023-07-14 13:49:37+00:00,"['autistictyla', 'tylagrant']",0,Simple meals for autistic adults | Cereal #actuallyautistic,"#autistic #adhd #aspergers #neurodivergent #neurodiverse 

What you'll need:

Any cereal of your choice 
2 servings of fruit of your choice
A serving of nuts and seeds of your choice
Milk of choice

Method:

Put the cereal, nuts, seeds and fruit into a bowl. Pour the milk into the bowl. Enjoy.",35,1,0,175,false,public,"[array([[[3, 0, 0],
        [3, 0, 2],
        [3, 0, 4],
        ...,
        [0, 0, 4],
        [0, 0, 4],
        [0, 0, 4]],

       [[0, 1, 0],
        [0, 1, 0],
        [0, 1, 0],
        ...,
        [0, 1, 0],
        [0, 1, 0],
        [0, 1, 0]],

       [[0, 2, 0],
        [0, 2, 0],
        [0, 2, 0],
        ...,
        [0, 1, 0],
        [0, 1, 0],
        [0, 1, 0]],

       ...,

       [[0, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]],

       [[0, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]],

       [[0, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]]], dtype=uint8)]",,,8,50,2,21,0.0,0.047619047619047616,1.6666666666666667,0.02857142857142857,Friday,July,0,1,6,0.0,-0.1027
2,VeSh3yw4tHU,2023-07-08 22:25:55+00:00,"['Autistictyla', 'tylagrant', 'autism', 'aspergers', 'adhd', 'neurodiversity', 'how to tell if im autistic', 'on the spectrum', 'diagnosis']",0,You don't have to have the same struggles to be Autistic (and not all of your traits are...,"... because you're Autistic)

#autism #aspergers #adhd #neurodivergent #neurodiverse #neurospicy #audhd",58,3,0,646,false,public,"[array([[[0, 1, 0],
        [0, 1, 0],
        [0, 1, 0],
        ...,
        [1, 0, 0],
        [1, 0, 0],
        [1, 0, 0]],

       [[0, 1, 0],
        [0, 1, 0],
        [0, 1, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]],

       [[0, 1, 0],
        [0, 1, 0],
        [0, 1, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]],

       ...,

       [[0, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]],

       [[0, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]],

       [[0, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]]], dtype=uint8)]",,,18,11,9,27,0.0,0.1111111111111111,2.1481481481481484,0.05172413793103448,Saturday,July,0,0,7,-0.3612,0.0
3,gGJ1jz1foxg,2023-06-27 13:22:04+00:00,"['Simple meals', 'Autistic meals', 'easy meals', 'meals you dont have to cook', 'vegan', 'cheap', 'tasty', 'healthy', '10 minute meals', 'black autistic', 'tylagrant', 'autistictyla']",4,Simple meals for autistic adults | Pasta bolognese #actuallyautistic,"#autistic #adhd #aspergers #neurodivergent #neurodiverse 

What you'll need:

Pasta of choice 
2+ vegetables (fresh, tinned and/or frozen)
Protein of choice 
1 litre of water (or enough to cover the pasta)
Bolognese sauce
Salt and pepper to taste (optional)
Grated cheese (optional) 
Nutritional yeast flakes (optional) 

Method:

Bring the pot of water to the boil.
When it's reached boiling point, add the pasta and cook for the allocated time.
While the pasta is cooking, heat a pan for your protein source and veggies. 
Add a tablespoon of oil to the pan, allow it to heat for a minute and then add your protein and veggies. 
Fry the mixture for a few minutes/until cooked. 
Once cooked, add the pasta bolognese sauce to the pan and heat gently for 2 minutes. 
When the pasta is done, take it off the heat and drain it. 
Serve the pasta and the bolognese sauce.
Optionally, add your cheese and/or nutritional yeast flakes on top.",51,2,0,177,false,public,"[array([[[0, 6, 4],
        [0, 5, 4],
        [0, 4, 2],
        ...,
        [1, 0, 2],
        [0, 0, 2],
        [0, 0, 2]],

       [[0, 2, 4],
        [0, 1, 4],
        [0, 2, 2],
        ...,
        [1, 0, 2],
        [0, 0, 2],
        [0, 0, 2]],

       [[3, 0, 5],
        [3, 0, 4],
        [3, 0, 4],
        ...,
        [1, 0, 2],
        [1, 0, 2],
        [0, 0, 2]],

       ...,

       [[0, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]],

       [[0, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]],

       [[0, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]]], dtype=uint8)]",,,9,158,12,38,0.10526315789473684,0.05263157894736842,1.3421052631578947,0.0392156862745098,Tuesday,June,1,1,8,0.0,0.7269
4,zwgPex-Gb8M,2023-06-09 16:03:44+00:00,"['autism', 'adhd', 'neurodiverse', 'neurodivergent', 'assesment', 'diagnosis', 'special', 'tylagrant', 'autistictyla']",6,🤔 How did I know I was on the spectrum? (self-diagnosis),#neurodivergent #neurodiverse #aspergers #autism #adhd #actuallyautistic,68,3,0,185,false,public,"[array([[[76, 76, 74],
        [76, 76, 74],
        [76, 76, 74],
        ...,
        [80, 79, 77],
        [78, 77, 75],
        [74, 73, 71]],

       [[76, 76, 74],
        [76, 76, 74],
        [76, 76, 74],
        ...,
        [77, 76, 74],
        [81, 80, 78],
        [81, 80, 78]],

       [[76, 76, 74],
        [76, 76, 74],
        [76, 76, 74],
        ...,
        [79, 78, 76],
        [78, 77, 75],
        [76, 75, 73]],

       ...,

       [[64, 52, 52],
        [64, 52, 52],
        [63, 51, 51],
        ...,
        [37, 32, 29],
        [37, 27, 25],
        [33, 24, 19]],

       [[63, 51, 51],
        [63, 51, 51],
        [63, 51, 51],
        ...,
        [36, 31, 28],
        [38, 28, 26],
        [41, 32, 27]],

       [[63, 51, 51],
        [63, 51, 51],
        [63, 51, 51],
        ...,
        [35, 30, 27],
        [36, 26, 24],
        [39, 30, 25]]], dtype=uint8)]",,,11,6,9,56,0.10714285714285714,0.05357142857142857,1.2142857142857142,0.04411764705882353,Friday,June,1,1,6,0.0,0.0
5,8fP_igbx92I,2023-06-07 18:23:50+00:00,"['depression', 'anxiety', 'dating', 'relationships', 'love', 'breakups', 'sex', 'divorce', 'marriage', 'advice', 'halloween', 'lip filler', 'surgery', 'vegan', 'animals']",1,"❓Answering your ANONYMOUS questions (cheating, dating, lip filler and more)","EP6

- TIMESTAMPS -

0:00 Intro 
0:16 Any advice or tips to get out of a bad mood? 
2:05 'Once a cheater always a cheater' what do you think about that? 
4:45 What do you usually wear on halloween? 
5:58 Do you think being patient is important? 
6:31 Reaction when someone says they miss you? 
7:04 Are you afraid of dating? why? 
8:18 Before a first date, do you stalk the person? 
9:06 Opinion on girls with lip fillers? 
10:49 What was the last present you made someone? 
11:26 What do you think about vegans? 
13:13 Outro

 Submit your questions or confessions here: https://tellonym.me/IndigoChina",46,2,0,808,false,public,"[array([[[0, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]],

       [[0, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]],

       [[0, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]],

       ...,

       [[0, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]],

       [[0, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]],

       [[0, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]]], dtype=uint8)]",,,10,104,15,58,0.017241379310344827,0.034482758620689655,0.7931034482758621,0.043478260869565216,Wednesday,June,2,1,40,0.0,-0.9054
6,1GnesiV2etc,2023-05-29 17:16:42+00:00,"['Simple meals', 'Autistic meals', 'easy meals', 'meals you dont have to cook', 'vegan', 'cheap', 'tasty', 'healthy', '10 minute meals', 'black autistic', 'cooking', 'hot dog', 'fries', 'autistictyla', 'tylagrant']",2,Simple meals for autistic adults | Hot dogs #actuallyautistic,"#autistic #adhd #aspergers #neurodivergent #neurodiverse 

Timestamps: 

0:00 Intro
0:11 Ingredients 
1:15 Hotdogs talk-through
3:45 Always refrigerate or freeze your leftovers! 
4:02 Outro

What you'll need:

Hotdogs
Hotdog buns
Onions
Gherkins
Tomatoes
Cheese (optional)
Optional sides (fries, chips, wedges, salad etc)
Condiments (ketchup, bbq sauce, mustard and/or other condiments)

*omit the condiments and/or other toppings if you don't like using them or they're too much for your senses. No shame in a naked hotdog.  

Method:

If you're making fries or chips as a side, put these in the oven and follow the cooking instructions on the packaging. 

Bring a pot of water to the boil. Once boiled, add your hotdogs to the water to cook for the time stated on your packaging. If your hotdogs have different cooking instructions, please follow them. 

If you're making a salad as a side, now would be the best time to chop your salad items and place them in a bowl. Add dressing if desired. 

When the hotdogs have finished cooking, remove them from the pot and place them onto a plate.

Assemble your hot dog buns with the hotdogs, onions, gherkins, tomatoes and/or any other food items you choose to use. 

Optionally, top with cheese and place your assembled hotdogs into the oven to grill for a minute or two/until the cheese has melted.",51,1,0,270,false,public,"[array([[[1, 2, 0],
        [1, 2, 0],
        [1, 0, 0],
        ...,
        [0, 0, 2],
        [0, 0, 2],
        [0, 0, 2]],

       [[1, 1, 0],
        [1, 1, 0],
        [1, 0, 0],
        ...,
        [0, 0, 2],
        [0, 0, 2],
        [0, 0, 2]],

       [[0, 1, 0],
        [0, 1, 0],
        [0, 1, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]],

       ...,

       [[0, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]],

       [[0, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]],

       [[0, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]]], dtype=uint8)]",,,9,220,15,67,0.029850746268656716,0.014925373134328358,0.7611940298507462,0.0196078431372549,Monday,May,1,1,21,0.0,0.5396
7,u3bIERDlNOk,2023-05-03 00:25:42+00:00,"['Simple meals', 'Autistic meals', 'easy meals', 'meals you dont have to cook', 'vegan', 'cheap', 'tasty', 'healthy', '10 minute meals', 'black autistic', 'autistictyla', 'tylagrant']",0,Simple meals for autistic adults | Ramen noodles #actuallyautistic,"#autistic #adhd #aspergers #neurodivergent #neurodiverse 

Timestamps: 

00:00 Intro
02:04 Ramen noodles
03:20 Cooking the veggies
04:29 Suggestions of other veg you can use with ramen noodles
06:42 How to save time when cooking
08:07 Suggestions of other food items you can pair with ramen noodles
10:04 Cooking the ramen noodles 
12:50 The logic behind washing up before you eat
12:19 Taste test 
13:32 Outro 

What you'll need:

Ramen noodles (with seasoning packet)
2 vegetables (fresh, tinned and/or frozen)
500ml water (use slightly more depending on your preference)

Method:

If using fresh vegetables that take a while to cook, boil them for a few minutes first and then add in the ramen noodles half way through cooking.

If using tinned vegetables, boil the ramen noodles first for a few minutes and then add the tinned vegetables in half way through cooking. 

If using frozen vegetables, add the frozen vegetables into the pot with the ramen noodles and boil everything at the same time. 

Choose whichever method you prefer. If the texture of food doesn't bother you, then no matter whether you use fresh, tinned or frozen, you can just add everything into the pot at the same time and boil it for 5 minutes or however long it says to boil the your ramen noodles for.",94,6,0,885,false,public,"[array([[[1, 0, 0],
        [1, 0, 0],
        [1, 0, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]],

       [[0, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [0, 1, 0],
        [0, 1, 0],
        [0, 1, 0]],

       [[0, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [0, 1, 0],
        [0, 1, 0],
        [0, 1, 0]],

       ...,

       [[0, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]],

       [[0, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]],

       [[0, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]]], dtype=uint8)]",Simple meals for autistic adults | Ramen noodles #actuallyautistic,"#autistic #adhd #aspergers #neurodivergent #neurodiverse 

Timestamps: 

00:00 Intro
02:04 Ramen noodles
03:20 Cooking the veggies
04:29 Suggestions of other veg you can use with ramen noodles
06:42 How to save time when cooking
08:07 Suggestions of other food items you can pair with ramen noodles
10:04 Cooking the ramen noodles 
12:50 The logic behind washing up before you eat
12:19 Taste test 
13:32 Outro 

What you'll need:

Ramen noodles (with seasoning packet)
2 vegetables (fresh, tinned and/or frozen)
500ml water (use slightly more depending on your preference)

Method:

If using fresh vegetables that take a while to cook, boil them for a few minutes first and then add in the ramen noodles half way through cooking.

If using tinned vegetables, boil the ramen noodles first for a few minutes and then add the tinned vegetables in half way through cooking. 

If using frozen vegetables, add the frozen vegetables into the pot with the ramen noodles and boil everything at the same time. 

Choose whichever method you prefer. If the texture of food doesn't bother you, then no matter whether you use fresh, tinned or frozen, you can just add everything into the pot at the same time and boil it for 5 minutes or however long it says to boil the your ramen noodles for.",9,215,12,94,0.0,0.06382978723404255,1.0,0.06382978723404255,Wednesday,May,1,1,50,0.0,0.7741
8,Hy9ga3HgzEU,2023-04-27 21:30:23+00:00,"['Boody', 'Bamboo underwear', 'sensory friendly underwear', 'autism friendly underwear', 'vegan', 'sustainable', 'natural', 'organic', 'black autistic', 'neurodiverse', 'tylagrant', 'autistictyla']",0,Sensory friendly / autism friendly underwear #actuallyautistic,"#autistic #adhd #aspergers #neurodivergent #neurodiverse #sensory

Boody underwear is made from soft, sustainable, natural and organic bamboo. It has a label that was made to be removed with a quick tug so that you don't have to worry about or deal with that annoying, itchy tag at the back of your underwear. The soft Bamboo material regulates your body temperature too so that you don't get hot. Boody makes underwear for both men and women in a large range of sizes and styles, so I'd definitely recommend them.

Check them out here: 

UK - https://boody.co.uk
USA - https://boody.com 
AUSTRALIA - https://www.boody.com.au

For a major discount, I purchased my Boodys' from here: https://www.secretsales.com/search/shop-by/q/boody/

Disclaimer: This video is not sponsored and all views and opinions held are my own.",38,2,0,497,false,public,"[array([[[0, 2, 0],
        [0, 2, 0],
        [0, 2, 0],
        ...,
        [1, 0, 0],
        [1, 0, 0],
        [1, 0, 0]],

       [[0, 2, 0],
        [0, 2, 0],
        [0, 1, 0],
        ...,
        [1, 0, 0],
        [1, 0, 0],
        [1, 0, 0]],

       [[0, 1, 0],
        [0, 1, 0],
        [0, 1, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]],

       ...,

       [[0, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]],

       [[0, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]],

       [[0, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]]], dtype=uint8)]",,,7,127,12,99,0.0,0.020202020202020204,0.3838383838383838,0.05263157894736842,Thursday,April,1,1,6,0.7506,0.7048
9,f7D3c5W56-0,2023-04-21 20:19:24+00:00,"['Xero shoes', 'prio', 'trail z sandals', 'minimalist shoe review', 'wide toe box', 'zero drop', 'vegan']",0,Xero shoes after 4 years (minimalist footwear review) #barefootshoes,"I adore my Prios' and wanted to show you what they looked like after 4 years of heavy daily use.

Music sound effect by Gaming Sound FX. No copyright infringement intended. 

Disclaimer: This video is not sponsored and all thoughts and opinions shared are my own.",38,0,0,653,false,public,"[array([[[3, 0, 0],
        [3, 0, 0],
        [3, 0, 0],
        ...,
        [3, 0, 0],
        [3, 0, 0],
        [3, 0, 0]],

       [[1, 0, 0],
        [1, 0, 0],
        [1, 0, 0],
        ...,
        [1, 0, 0],
        [1, 0, 0],
        [1, 0, 0]],

       [[1, 0, 0],
        [1, 0, 0],
        [1, 0, 0],
        ...,
        [1, 0, 2],
        [1, 0, 2],
        [1, 0, 2]],

       ...,

       [[0, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]],

       [[0, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]],

       [[0, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]]], dtype=uint8)]",,,9,46,7,105,0.0,0.0,0.3619047619047619,0.0,Friday,April,1,2,1,0.0,0.4939
