,video ids,publish date,tags,comment count,title,description,times_viewed,times_liked,times_faved,duration in seconds,caption,privacy_status,thumbnail,title length,description length,tag count,days live,comment count/days live,times liked/days live,times viewed/days live,likes per view,Publish Day,Publish Month,tags in title,title emoji count,description emoji count,VADER sentiment - title,VADER sentiment - description
0,AqJS5XAAlVc,2023-06-23 19:45:45+00:00,,7,My accidental song Part 2. Sun Rise- by Jennifer Msumba #songwriter #songwriting #autisticartist,,800,80,0,61,false,public,"[array([[[19, 18, 16],
        [19, 18, 16],
        [19, 18, 16],
        ...,
        [75, 74, 72],
        [75, 74, 72],
        [75, 74, 72]],

       [[20, 19, 17],
        [20, 19, 17],
        [19, 18, 16],
        ...,
        [75, 74, 72],
        [75, 74, 72],
        [75, 74, 72]],

       [[20, 19, 17],
        [20, 19, 17],
        [20, 19, 17],
        ...,
        [75, 74, 72],
        [75, 74, 72],
        [75, 74, 72]],

       ...,

       [[50, 49, 47],
        [49, 48, 46],
        [47, 46, 44],
        ...,
        [ 9,  8,  6],
        [13, 12, 10],
        [14, 13, 11]],

       [[48, 47, 45],
        [49, 48, 46],
        [50, 49, 47],
        ...,
        [12, 11,  9],
        [17, 16, 14],
        [13, 12, 10]],

       [[48, 47, 45],
        [49, 48, 46],
        [50, 49, 47],
        ...,
        [12, 10, 11],
        [17, 15, 16],
        [13, 11, 12]]], dtype=uint8)]",13,0,0,42,0.16666666666666666,1.9047619047619047,19.047619047619047,0.1,Friday,June,0,4,0,-0.0772,-0.0772
1,NqAd6PHFMQU,2023-06-23 13:26:50+00:00,,4,I had an accident and it might be good #songwriter #songwriting,,1770,130,0,39,false,public,"[array([[[ 8,  7,  3],
        [ 7,  6,  2],
        [ 5,  6,  1],
        ...,
        [60, 59, 57],
        [55, 54, 52],
        [46, 45, 43]],

       [[ 8,  7,  3],
        [ 7,  6,  2],
        [ 5,  6,  1],
        ...,
        [59, 58, 56],
        [56, 55, 53],
        [50, 49, 47]],

       [[ 8,  7,  3],
        [ 8,  7,  3],
        [ 6,  7,  2],
        ...,
        [58, 57, 55],
        [56, 55, 53],
        [53, 52, 50]],

       ...,

       [[44, 38, 42],
        [47, 41, 45],
        [51, 45, 47],
        ...,
        [16, 12,  9],
        [28, 24, 21],
        [56, 52, 49]],

       [[44, 38, 42],
        [48, 42, 46],
        [49, 43, 45],
        ...,
        [24, 23, 19],
        [20, 16, 13],
        [43, 39, 36]],

       [[49, 43, 47],
        [51, 45, 49],
        [48, 42, 44],
        ...,
        [25, 24, 20],
        [18, 17, 13],
        [43, 39, 36]]], dtype=uint8)]",11,0,0,42,0.09523809523809523,3.0952380952380953,42.142857142857146,0.07344632768361582,Friday,June,0,2,0,-0.0516,-0.0516
2,YxaDBxTcUoU,2023-06-04 23:31:06+00:00,,51,Guilty! I Love the Smell of Books,"Let's catch up! 
Support/Posters, trading cards and other souvenirs: https://ko-fi.com/jennifermsumba/shop

Website: https://jennifermsumba.bandzoogle.com...
Instagram:@jennifermsumba   
TikTok: @jennifermsumba  
YouTube Music Channel: @JenMsumbaMusic",1207,179,0,1006,false,public,"[array([[[ 0,  0,  0],
        [ 0,  0,  9],
        [ 0,  0, 18],
        ...,
        [ 0,  0,  0],
        [ 0,  0,  0],
        [ 0,  0,  0]],

       [[ 1,  0,  0],
        [ 0,  0,  4],
        [ 0,  0, 12],
        ...,
        [ 0,  0,  0],
        [ 0,  0,  0],
        [ 0,  0,  0]],

       [[ 3,  1,  0],
        [ 1,  0,  0],
        [ 0,  0,  7],
        ...,
        [ 0,  0,  0],
        [ 0,  0,  0],
        [ 0,  0,  0]],

       ...,

       [[ 0,  0,  0],
        [ 0,  0,  0],
        [ 0,  0,  0],
        ...,
        [ 0,  0,  0],
        [ 0,  0,  0],
        [ 0,  0,  0]],

       [[ 0,  0,  0],
        [ 0,  0,  0],
        [ 0,  0,  0],
        ...,
        [ 0,  0,  0],
        [ 0,  0,  0],
        [ 0,  0,  0]],

       [[ 0,  0,  0],
        [ 0,  0,  0],
        [ 0,  0,  0],
        ...,
        [ 0,  0,  0],
        [ 0,  0,  0],
        [ 0,  0,  0]]], dtype=uint8)]",7,19,0,61,0.8360655737704918,2.9344262295081966,19.78688524590164,0.14830157415078707,Sunday,June,0,0,0,0.4003,0.0
3,obhxSIiDJoQ,2023-05-18 21:17:34+00:00,,45,Mixtapes and Terrible Pet Drawings,"I was unable to finish the Lego Up house for the vlog because my support person that is good at building things was not here today. Lemonade does not like my new fidget toys and my garden is doing well-ish.
Visit my Ko-fi page for memorabilia, commissioned work and more: https://ko-fi.com/jennifermsumba

Website: https://jennifermsumba.bandzoogle.com/home
Instagram:@jennifermsumba   
TikTok: @jennifermsumba  
YouTube Music Channel: https://www.youtube.com/@JenMsumbaMusic",1085,128,0,1276,false,public,"[array([[[10,  0,  0],
        [ 8,  0,  0],
        [ 4,  0,  0],
        ...,
        [ 0,  1,  0],
        [ 0,  1,  0],
        [ 0,  1,  0]],

       [[ 6,  0,  0],
        [ 4,  0,  0],
        [ 1,  0,  0],
        ...,
        [ 0,  1,  0],
        [ 0,  1,  0],
        [ 0,  1,  0]],

       [[ 0,  0,  2],
        [ 0,  0,  2],
        [ 0,  0,  2],
        ...,
        [ 0,  0,  0],
        [ 0,  1,  0],
        [ 0,  1,  0]],

       ...,

       [[ 0,  0,  0],
        [ 0,  0,  0],
        [ 0,  0,  0],
        ...,
        [ 0,  0,  0],
        [ 0,  0,  0],
        [ 0,  0,  0]],

       [[ 0,  0,  0],
        [ 0,  0,  0],
        [ 0,  0,  0],
        ...,
        [ 0,  0,  0],
        [ 0,  0,  0],
        [ 0,  0,  0]],

       [[ 0,  0,  0],
        [ 0,  0,  0],
        [ 0,  0,  0],
        ...,
        [ 0,  0,  0],
        [ 0,  0,  0],
        [ 0,  0,  0]]], dtype=uint8)]",5,60,0,78,0.5769230769230769,1.641025641025641,13.91025641025641,0.11797235023041475,Thursday,May,0,0,0,-0.4767,0.5408
4,AmDUoTpc1mA,2023-05-18 13:59:56+00:00,,4,Assembling the Lego house from Up,"Tonight I will be live, putting together the Lego Up house that my mom got me for my birthday!",895,93,0,8805,false,public,"[array([[[0, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [1, 0, 0],
        [1, 0, 0],
        [1, 0, 0]],

       [[1, 0, 0],
        [1, 0, 0],
        [1, 0, 0],
        ...,
        [1, 0, 0],
        [1, 0, 0],
        [1, 0, 0]],

       [[3, 0, 0],
        [3, 0, 0],
        [3, 0, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [1, 0, 0]],

       ...,

       [[0, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]],

       [[0, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]],

       [[0, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]]], dtype=uint8)]",6,19,0,78,0.05128205128205128,1.1923076923076923,11.474358974358974,0.10391061452513967,Thursday,May,0,0,0,0.0,0.0
5,ZidvHP5Sn-s,2023-05-17 14:05:40+00:00,,6,Live Concert (Gasparilla Music Festival Setlist),"Hi all! Tonight I just wanted to have some fun and connect with everyone. I know it's been a while. I was not allowed to go play my gig at the Gasparilla Music Festival because the place where I live would not allow me (long story) So I am going to play it tonight...why the heck not? I am also trying to raise some money for my second book, a graphic novel titled Girls School. You will see a meter at the top of the screen. On that site I also have mixtapes for sale, both physical CD's and digital ""mystery"" tapes. I also have commissioned drawings, poetry and more! So check it out, it's going to be a fun site whether you can support or not, there is something for everyone. Link: https://ko-fi.com/jennifermsumba",783,105,0,5110,false,public,"[array([[[0, 0, 2],
        [0, 0, 2],
        [0, 0, 2],
        ...,
        [3, 1, 0],
        [4, 0, 0],
        [4, 0, 0]],

       [[0, 0, 2],
        [0, 0, 2],
        [0, 0, 2],
        ...,
        [3, 0, 0],
        [3, 0, 0],
        [3, 0, 0]],

       [[0, 1, 0],
        [0, 1, 0],
        [0, 1, 0],
        ...,
        [1, 0, 2],
        [1, 0, 2],
        [1, 0, 4]],

       ...,

       [[0, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]],

       [[0, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]],

       [[0, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]]], dtype=uint8)]",6,134,0,79,0.0759493670886076,1.3291139240506329,9.91139240506329,0.13409961685823754,Wednesday,May,0,0,0,0.4939,0.9602
6,yZn1TK0klWo,2023-04-07 23:14:06+00:00,,6,WATCH THIS BEFORE you upgrade your DISTROKID account!,,852,45,0,57,false,public,"[array([[[56, 55, 53],
        [54, 53, 51],
        [67, 66, 64],
        ...,
        [61, 60, 58],
        [61, 60, 58],
        [61, 60, 58]],

       [[63, 62, 60],
        [61, 60, 58],
        [63, 62, 60],
        ...,
        [61, 60, 58],
        [61, 60, 58],
        [61, 60, 58]],

       [[56, 55, 53],
        [64, 63, 61],
        [62, 61, 59],
        ...,
        [61, 60, 58],
        [61, 60, 58],
        [61, 60, 58]],

       ...,

       [[37, 36, 32],
        [37, 36, 32],
        [38, 37, 33],
        ...,
        [48, 47, 43],
        [49, 48, 44],
        [49, 48, 44]],

       [[42, 41, 37],
        [40, 39, 35],
        [38, 37, 33],
        ...,
        [48, 47, 43],
        [49, 48, 44],
        [50, 49, 45]],

       [[42, 41, 37],
        [40, 39, 35],
        [38, 37, 33],
        ...,
        [48, 47, 43],
        [49, 48, 44],
        [50, 49, 45]]], dtype=uint8)]",8,0,0,119,0.05042016806722689,0.37815126050420167,7.159663865546219,0.0528169014084507,Friday,April,0,0,0,0.0,0.0
7,o9n0QVUJZo8,2023-04-07 17:05:07+00:00,,88,New Things,"New hair, new film, new book. Spring has sprung!

Watch Safe Place: https://youtu.be/eKCm10q417Q

Stay tuned for Safe Place link April 8th, 2023!
Support my NEW book, Girl's School, a YA Graphic Novel here (and get cool perks including signed copies) https://igg.me/at/girlsschool/x/33106679#/

My book Shouting At Leaves: https://amzn.to/3k48uqk

Official Instagram: @jennifermsumba

Website: https://www.jennifermsumba.com/
    
My music channel: https://www.youtube.com/c/ThePianoGirl",2427,308,0,660,false,public,"[array([[[1, 3, 0],
        [4, 0, 0],
        [6, 0, 5],
        ...,
        [1, 0, 0],
        [1, 0, 0],
        [1, 0, 0]],

       [[1, 3, 0],
        [4, 0, 0],
        [6, 0, 2],
        ...,
        [1, 0, 0],
        [1, 0, 0],
        [1, 0, 0]],

       [[1, 3, 0],
        [4, 0, 0],
        [4, 0, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]],

       ...,

       [[0, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]],

       [[0, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]],

       [[0, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]]], dtype=uint8)]",2,56,0,119,0.7394957983193278,2.588235294117647,20.394957983193276,0.126905644829007,Friday,April,0,0,22,0.0,0.9133
8,KZoO9aPKvcI,2023-04-06 20:56:48+00:00,,0,How to open Super Mario Bros. Movie Van Mini Play Set.,How to open the Super Mario Bros. Movie Van Mini Play Set.,566,42,0,29,false,public,"[array([[[26, 28, 25],
        [28, 30, 27],
        [31, 33, 30],
        ...,
        [62, 54, 43],
        [67, 57, 45],
        [65, 53, 39]],

       [[36, 38, 35],
        [39, 41, 38],
        [45, 47, 44],
        ...,
        [65, 55, 45],
        [69, 59, 47],
        [67, 55, 43]],

       [[54, 56, 53],
        [55, 57, 54],
        [56, 58, 55],
        ...,
        [66, 56, 47],
        [71, 58, 49],
        [69, 55, 46]],

       ...,

       [[42, 41, 39],
        [42, 41, 39],
        [43, 42, 40],
        ...,
        [46, 46, 44],
        [46, 46, 44],
        [46, 46, 44]],

       [[43, 42, 40],
        [43, 42, 40],
        [44, 43, 41],
        ...,
        [43, 43, 41],
        [46, 46, 44],
        [49, 49, 47]],

       [[43, 42, 40],
        [43, 42, 40],
        [44, 43, 41],
        ...,
        [43, 43, 41],
        [46, 46, 44],
        [49, 49, 47]]], dtype=uint8)]",11,12,0,120,0.0,0.35,4.716666666666667,0.07420494699646643,Thursday,April,0,0,0,0.743,0.743
9,1XpHz-czBLI,2023-03-25 18:56:17+00:00,,114,Here We Go Again,"It's that time of year again for the @TheDisabilityFilmChallenge !! My team and I are gearing up for the competition to start this coming Tuesday March 28. We have so many surprises!
Also, I have finished the script for my second book. It is a graphic novel called Girl's School. Consider it Girl, Interrupted meets Lord of the Flies. It is already taking shape and my artists are hard at work. Find out more, how you can help AND get signed copies of the book, posters and digital trading cards here: https://igg.me/at/girlsschool/x/33106679#/",2426,296,0,855,false,public,"[array([[[0, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [1, 0, 0],
        [1, 0, 0],
        [0, 0, 0]],

       [[0, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [1, 0, 0],
        [0, 0, 0],
        [0, 0, 0]],

       [[0, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [1, 0, 0],
        [0, 0, 0],
        [0, 0, 0]],

       ...,

       [[0, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]],

       [[0, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]],

       [[0, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]]], dtype=uint8)]",4,92,0,132,0.8636363636363636,2.242424242424242,18.37878787878788,0.12201154163231658,Saturday,March,0,0,11,0.0,0.6656
