,video ids,publish date,tags,comment count,title,description,times_viewed,times_liked,times_faved,duration in seconds,caption,privacy_status,thumbnail,title length,description length,tag count,days live,comment count/days live,times liked/days live,times viewed/days live,likes per view,Publish Day,Publish Month,tags in title,title emoji count,description emoji count,VADER sentiment - title,VADER sentiment - description
0,y5uT-l_Uo_I,2023-06-24 14:57:01+00:00,"['MaxiAspie', 'Max', 'Green', 'MaxiBlog', 'MaxiGames', 'Autism', 'Asperges', 'ASD', 'OCD', 'ADHD', 'Epilepsy', 'MaxJGreen', 'first date dos and donts', 'cheap date ideas', '3 first date tips', 'perfect first date ideas', 'best first date tips', 'date tips', 'tips for the 1st date', 'first date tips', 'best first date ideas', 'best first date tips for men', 'first date ideas', 'date ideas', 'first date tips for men', 'first date advice', 'first date tips for guys', 'first date advice for men', 'dating coach', 'dating hacks', 'ace your first date']",3,Up To Date! Now What? | MaxiAspie,"In This Video Now I Am All Up To Date And I Talk About The Future Of The Channel and Plans Coming Up. 

#Autism #Break #ADHD 

If You Read This Comment 
""I Will Be Back""

My Links! 
MY WEBSITE: https://www.maxjgreen.com/
Facebook: http://www.facebook.com/MaxiJGreen?sk...
Twitter: https://twitter.com/MaxJGreen
Instagram: https://www.instagram.com/maxijgreen/
Linked In: https://www.linkedin.com/in/max-j-green-759229123/",23,1,0,233,false,public,"[array([[[0, 2, 0],
        [0, 2, 0],
        [0, 2, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]],

       [[0, 2, 0],
        [0, 2, 0],
        [0, 2, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]],

       [[0, 2, 2],
        [0, 1, 2],
        [0, 1, 2],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]],

       ...,

       [[0, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]],

       [[0, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]],

       [[0, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]]], dtype=uint8)]",7,49,31,26,0.11538461538461539,0.038461538461538464,0.8846153846153846,0.043478260869565216,Saturday,June,2,0,12,0.0,0.0
1,6tx9z_WK9OI,2023-06-24 14:56:56+00:00,"['MaxiAspie', 'Max', 'Green', 'MaxiBlog', 'MaxiGames', 'Autism', 'Asperges', 'ASD', 'OCD', 'ADHD', 'Epilepsy', 'MaxJGreen', 'signs that you could be autistic', 'are you autistic', 'autistic kid', 'autistic social groups', 'positive autism traits', 'autistic', 'autistic traits in adults', 'autistic traits test', 'autistiktok', 'autistic traits in men', 'autistic traits that apply to you', 'autistic traits in women', 'autistok', 'what is autism', 'autistic masking in adults', 'autism in girls', 'autism mom', 'autism awareness', 'autism test for adults']",1,Why I Love Autistic People | MaxiAspie,"In This Video I Talk About Why I Love Autistic People, I Talk About The Qualities that Autistic People Have And Why They Are Overlooked By People. 
 
#Autism #Love #ADHD 

If You Read This Comment 
""I LOVE YOU""

My Links! 
MY WEBSITE: https://www.maxjgreen.com/
Facebook: http://www.facebook.com/MaxiJGreen?sk...
Twitter: https://twitter.com/MaxJGreen
Instagram: https://www.instagram.com/maxijgreen/
Linked In: https://www.linkedin.com/in/max-j-green-759229123/",12,2,0,319,false,public,"[array([[[0, 2, 0],
        [0, 2, 0],
        [0, 2, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]],

       [[0, 2, 0],
        [0, 2, 0],
        [0, 2, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]],

       [[0, 2, 2],
        [0, 1, 2],
        [0, 1, 2],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]],

       ...,

       [[0, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]],

       [[0, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]],

       [[0, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]]], dtype=uint8)]",7,52,31,26,0.038461538461538464,0.07692307692307693,0.46153846153846156,0.16666666666666666,Saturday,June,2,0,12,0.6369,0.8622
2,GEb84DGInzI,2023-06-24 14:56:52+00:00,"['MaxiAspie', 'Max', 'Green', 'MaxiBlog', 'MaxiGames', 'Autism', 'Asperges', 'ASD', 'OCD', 'ADHD', 'Epilepsy', 'MaxJGreen', 'how to interview well', 'how to interview someone', 'how to interview', 'how to interview for a job', 'how to interview someone for a job', 'how to conduct a job interview as an employer', 'how to conduct a job interview effectively', 'how to conduct a job interview sample questions', 'how to hire employees', 'how to hire people for your business', 'social interaction', 'how to hire', 'Autism and Work', 'neurodivergent']",0,How To Interview People | MaxiAspie,"In This Video I Talk About How To Interview People and what are the best tips when doing so, this video is off the back of a question I was asked at The Service Desk Institution Show

#Autism #JobInterview #ADHD 

If You Read This Comment 
""Interview Everybody Like They Are Neurodivergent""

My Links! 
MY WEBSITE: https://www.maxjgreen.com/
Facebook: http://www.facebook.com/MaxiJGreen?sk...
Twitter: https://twitter.com/MaxJGreen
Instagram: https://www.instagram.com/maxijgreen/
Linked In: https://www.linkedin.com/in/max-j-green-759229123/",7,1,0,343,false,public,"[array([[[0, 2, 0],
        [0, 2, 0],
        [0, 2, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]],

       [[0, 2, 0],
        [0, 2, 0],
        [0, 2, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]],

       [[0, 2, 2],
        [0, 1, 2],
        [0, 1, 2],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]],

       ...,

       [[0, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]],

       [[0, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]],

       [[0, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]]], dtype=uint8)]",6,65,26,26,0.0,0.038461538461538464,0.2692307692307692,0.14285714285714285,Saturday,June,2,0,12,0.0,0.7901
3,EJNLe6YbRtE,2023-06-23 18:27:44+00:00,"['MaxiAspie', 'Max', 'Green', 'MaxiBlog', 'MaxiGames', 'Autism', 'Asperges', 'ASD', 'OCD', 'ADHD', 'Epilepsy', 'MaxJGreen', 'autism health care', 'autism spectrum disorder', 'autism healthcare', 'autism', 'autistic adults', 'center for autism services and transition', 'adults with autism', 'neuroscience', 'ohio state medical center', 'osu medical center', 'the-reveal', 'wexner medical center', 'ohio state wexner medical center', 'ohio state university wexner medical center', 'watch-utility', 'investigations', 'osu wexner medical center', 'brain', 'keeping', 'asd']",0,Autism Then Vs Now | MaxiAspie,"In This Video I Talk About Autism Then Vs Now, I Talk About How It Affected Me as a Child and How It Affects Me Now. 

#Autism #AutismThenVsNow #ADHD 

If You Read This Comment 
""Autistic and Proud""

My Links! 
MY WEBSITE: https://www.maxjgreen.com/
Facebook: http://www.facebook.com/MaxiJGreen?sk...
Twitter: https://twitter.com/MaxJGreen
Instagram: https://www.instagram.com/maxijgreen/
Linked In: https://www.linkedin.com/in/max-j-green-759229123/",10,1,0,337,false,public,"[array([[[0, 2, 0],
        [0, 2, 0],
        [0, 2, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]],

       [[0, 2, 0],
        [0, 2, 0],
        [0, 1, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]],

       [[0, 2, 2],
        [0, 1, 2],
        [0, 1, 2],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]],

       ...,

       [[0, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]],

       [[0, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]],

       [[0, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]]], dtype=uint8)]",6,51,32,27,0.0,0.037037037037037035,0.37037037037037035,0.1,Friday,June,3,0,12,0.0,0.4199
4,ab-YF6sonHY,2023-06-23 18:27:27+00:00,"['MaxiAspie', 'Max', 'Green', 'MaxiBlog', 'MaxiGames', 'Autism', 'Asperges', 'ASD', 'OCD', 'ADHD', 'Epilepsy', 'MaxJGreen', 'ocd', 'nathan peterson', 'urgency and ocd', 'the truth about ocd', 'ocd seems real', 'ocd feels real', 'mental illness', 'why is ocd real', 'licensed clinical social worker', 'what ocd looks like', 'what ocd feels like', 'ocd is real', 'act therapy', 'ocd treatment', 'perfectionism', 'hocd', 'lcsw', 'pandas', 'treatment for ocd', 'obsessive compulsive disorder', 'intrusive thoughts', 'reassurance seeking', 'exposure and response prevention']",0,OCD Then Vs Now | MaxiAspie,"In This Video I Talk About OCD Then Vs Now and How It Affected Me as A Child and How It Affects Me Now. 

#OCD #OCDThenVsNow #Autism

If You Read This Comment 
""BAD Thoughts But Not Logical""

My Links! 
MY WEBSITE: https://www.maxjgreen.com/
Facebook: http://www.facebook.com/MaxiJGreen?sk...
Twitter: https://twitter.com/MaxJGreen
Instagram: https://www.instagram.com/maxijgreen/
Linked In: https://www.linkedin.com/in/max-j-green-759229123/",7,1,0,370,false,public,"[array([[[0, 2, 0],
        [0, 2, 0],
        [0, 2, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]],

       [[0, 2, 0],
        [0, 2, 0],
        [0, 2, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]],

       [[0, 2, 2],
        [0, 1, 2],
        [0, 1, 2],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]],

       ...,

       [[0, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]],

       [[0, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]],

       [[0, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]]], dtype=uint8)]",6,51,35,27,0.0,0.037037037037037035,0.25925925925925924,0.14285714285714285,Friday,June,3,0,12,0.0,-0.4295
5,082swPRhMIg,2023-06-23 18:27:12+00:00,"['MaxiAspie', 'Max', 'Green', 'MaxiBlog', 'MaxiGames', 'Autism', 'Asperges', 'ASD', 'OCD', 'ADHD', 'Epilepsy', 'MaxJGreen', 'adhd symptoms', 'trouble learning in school', 'what is adhd', ""can't concentrate in school"", 'adhd in girls', 'adhd in adults', 'do i have adhd', 'adhd medications', 'bbc news', 'adhd test', 'attention deficit disorder', 'adhd types', 'adhd symptoms in kids', 'mental health', 'adhd symptoms in adults', 'help', 'adhd diagnosis', 'news', 'adhd treatment', ""can't concentrate"", 'attention deficit hyperactivity disorder']",1,ADHD Then Vs Now | MaxiAspie,"In This Video I Talk About How ADHD Affected Me Then Vs Now, I talk about how it affected me as a child and how it affects me as an Adult. 

#ADHD #`ADHDThenVsThen #Autism

If You Read This Comment 
""Physical Now Mental""

My Links! 
MY WEBSITE: https://www.maxjgreen.com/
Facebook: http://www.facebook.com/MaxiJGreen?sk...
Twitter: https://twitter.com/MaxJGreen
Instagram: https://www.instagram.com/maxijgreen/
Linked In: https://www.linkedin.com/in/max-j-green-759229123/",10,4,0,360,false,public,"[array([[[0, 2, 0],
        [0, 2, 0],
        [0, 2, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]],

       [[0, 2, 0],
        [0, 2, 0],
        [0, 2, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]],

       [[0, 2, 2],
        [0, 1, 2],
        [0, 1, 2],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]],

       ...,

       [[0, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]],

       [[0, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]],

       [[0, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]]], dtype=uint8)]",6,56,33,27,0.037037037037037035,0.14814814814814814,0.37037037037037035,0.4,Friday,June,3,0,12,0.0,-0.3595
6,nYYxOndLpjE,2023-06-23 18:26:31+00:00,"['MaxiAspie', 'Max', 'Green', 'MaxiBlog', 'MaxiGames', 'Autism', 'Asperges', 'ASD', 'OCD', 'ADHD', 'Epilepsy', 'MaxJGreen', 'technical support script', 'tech support', 'call center vocabulary', 'call center words', 'call center', 'little book of big conversations', 'elaine crowley', 'inbound', 'though customer', 'soporte tecnico', 'mental wellbeing', 'wellbeing', 'teacher resources', 'elaine and maggie crowley', 'call center call examples', 'servicio al cliente', 'mental health', 'child mental wellbeing', 'agent', 'agente', 'vocabulario de call center']",1,Talking About Support | MaxiAspie,"In This Video I Talk About Support and What it is and what it means, I talk about things that parliament and government should be doing and how Autistic People are being let down. 

#Autism #Epilepsy #SupportEachOther 

If You Read This Comment 
""SupportEachOther

My Links! 
MY WEBSITE: https://www.maxjgreen.com/
Facebook: http://www.facebook.com/MaxiJGreen?sk...
Twitter: https://twitter.com/MaxJGreen
Instagram: https://www.instagram.com/maxijgreen/
Linked In: https://www.linkedin.com/in/max-j-green-759229123/",25,4,0,425,false,public,"[array([[[0, 2, 0],
        [0, 2, 0],
        [0, 2, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]],

       [[0, 2, 0],
        [0, 2, 0],
        [0, 2, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]],

       [[0, 2, 2],
        [0, 1, 2],
        [0, 1, 2],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]],

       ...,

       [[0, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]],

       [[0, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]],

       [[0, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]]], dtype=uint8)]",5,57,33,27,0.037037037037037035,0.14814814814814814,0.9259259259259259,0.16,Friday,June,2,0,12,0.4019,0.4574
7,_ifPzPqqixc,2023-06-23 18:26:14+00:00,"['MaxiAspie', 'Max', 'Green', 'MaxiBlog', 'MaxiGames', 'Autism', 'Asperges', 'ASD', 'OCD', 'ADHD', 'Epilepsy', 'MaxJGreen', 'lvl 100 speech', 'speech', 'memes', 'in a nutshell', 'charisma', 'return', 'elba', 'skyrim', 'napoleon', 'gay pride', 'aspergers', 'vintage style', 'am i autistic', 'lesbian pride', 'female autism', 'autism spectrum academy', 'what is autism', 'trans', 'autism in girls', 'actually autistic', 'ableism', 'autistic', 'untapped', 'ted talks', 'tedx talks', 'loren snow', 'autistic child', 'autism academy', 'autism education', 'autistic children', 'gay', 'ted talk']",1,Over 100 Speeches! | MaxiAspie,"In This Video I Talk About How I have Now Done Over 100 Speeches! I want to thank every single person who has supported me and ever listened to me talk it means the world. 
   
#Autism #100Speeches #ADHD 

If You Read This Comment 
""TALK FOR ENGLAND!""

My Links! 
MY WEBSITE: https://www.maxjgreen.com/
Facebook: http://www.facebook.com/MaxiJGreen?sk...
Twitter: https://twitter.com/MaxJGreen
Instagram: https://www.instagram.com/maxijgreen/
Linked In: https://www.linkedin.com/in/max-j-green-759229123/",13,3,0,198,false,public,"[array([[[0, 2, 0],
        [0, 2, 0],
        [0, 2, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]],

       [[0, 2, 0],
        [0, 2, 0],
        [0, 2, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]],

       [[0, 2, 2],
        [0, 1, 2],
        [0, 1, 2],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]],

       ...,

       [[0, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]],

       [[0, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]],

       [[0, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]]], dtype=uint8)]",5,60,44,27,0.037037037037037035,0.1111111111111111,0.48148148148148145,0.23076923076923078,Friday,June,2,3,18,0.0,0.7163
8,9SqsxyjyAIc,2023-06-22 17:36:08+00:00,"['MaxiAspie', 'Max', 'Green', 'MaxiBlog', 'MaxiGames', 'Autism', 'Asperges', 'ASD', 'OCD', 'ADHD', 'Epilepsy', 'MaxJGreen', 'autism signs', 'autism self care', 'autism in adults', 'autism burnout', 'autism spectrum', 'autism mental health', 'autism compensation', 'autism emotional intelligence', 'autism communication', 'autism', 'how to identify autism in newborns', 'coping strategies aspergers', ""checks my body can't cash"", 'real life aspergers', 'how to identify autism in a baby', 'what is autism?', 'signs of autism', 'identify autism', 'aspergers']",1,Autism and Pressure | MaxiAspie,"In This Video I Talk About Autism and Pressure, I talk about some tips and advice which will help you with Autism and Pressure. 

#Autism #AutismAndPressure #ADHD 

If You Read This Comment 
""Under Pressure""

My Links! 
MY WEBSITE: https://www.maxjgreen.com/
Facebook: http://www.facebook.com/MaxiJGreen?sk...
Twitter: https://twitter.com/MaxJGreen
Instagram: https://www.instagram.com/maxijgreen/
Linked In: https://www.linkedin.com/in/max-j-green-759229123/",7,2,0,484,false,public,"[array([[[0, 2, 0],
        [0, 2, 0],
        [0, 2, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]],

       [[0, 2, 0],
        [0, 2, 0],
        [0, 2, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]],

       [[0, 2, 2],
        [0, 1, 2],
        [0, 1, 2],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]],

       ...,

       [[0, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]],

       [[0, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]],

       [[0, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]]], dtype=uint8)]",5,48,31,28,0.03571428571428571,0.07142857142857142,0.25,0.2857142857142857,Thursday,June,3,0,12,-0.296,-0.4926
9,qzU3f4gU1wE,2023-06-22 17:32:01+00:00,"['MaxiAspie', 'Max', 'Green', 'MaxiBlog', 'MaxiGames', 'Autism', 'Asperges', 'ASD', 'OCD', 'ADHD', 'Epilepsy', 'MaxJGreen', 'autism and independent living', 'autism awareness', 'responsibility and autism', 'autism symptoms', 'autism signs', 'autism speaks controversy', 'autism speaks', 'autism and change in adults', 'autism speaks criticism', 'autism spectrum', 'autism speaks commercial', 'i am autism autism speaks', 'autism in adults', 'autism speaks harmful', 'autism speaks eugenics', 'autism speaks problems', 'why autism speaks is harmful']",1,Autism and Responsibility | MaxiAspie,"In This Video I Talk About Autism and Responsibility and Give some Tips on how to cope and combat the anxiety that comes with Responsibility.

#Autism #AutismAndResponsibilty #ADHD 

If You Read This Comment 
""Great Tips""

My Links! 
MY WEBSITE: https://www.maxjgreen.com/
Facebook: http://www.facebook.com/MaxiJGreen?sk...
Twitter: https://twitter.com/MaxJGreen
Instagram: https://www.instagram.com/maxijgreen/
Linked In: https://www.linkedin.com/in/max-j-green-759229123/",7,2,0,350,false,public,"[array([[[0, 1, 0],
        [0, 1, 0],
        [0, 1, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]],

       [[0, 1, 0],
        [0, 1, 0],
        [0, 1, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]],

       [[0, 0, 2],
        [0, 0, 2],
        [0, 0, 2],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]],

       ...,

       [[0, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]],

       [[0, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]],

       [[0, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]]], dtype=uint8)]",5,49,29,28,0.03571428571428571,0.07142857142857142,0.25,0.2857142857142857,Thursday,June,3,0,12,0.0,0.3164
