,video ids,publish date,tags,comment count,title,description,times_viewed,times_liked,times_faved,duration in seconds,caption,privacy_status,thumbnail,title length,description length,tag count,days live,comment count/days live,times liked/days live,times viewed/days live,likes per view,Publish Day,Publish Month,tags in title,title emoji count,description emoji count,VADER sentiment - title,VADER sentiment - description
0,yLoaWtb5gd0,2023-08-06 19:00:24+00:00,"['autism', 'asd', 'autistic', 'autism spectrum disorder', 'olivia hops', 'autistically me', 'actually autistic']",108,How Discontinuing Products Hurt Autistic People,"I'm Olivia Hops and welcome to my channel! I talk about all things Autistic, mostly focusing on women and adults.

In today's video, I talk about how discontinuing products, whether it's soap, laundry detergent, food, toilet paper- anything, can hurt autistic people. 

Why does it hurt us? Often times, autistic people are extremely highly sensitive and change is very difficult for us. Scents of products can be very overpowering for our brains and cause us to have meltdowns, so if we find one product we like and then it suddenly disappears, it can be very hard for us because one, it's a change, and two, because we may not be able to find another scent we like. Same goes for food and anything else.

I know talking about this makes me sound like a big pain in the butt and very entitled, but I have no control over my brain's response to these things. If I could deal with any product just fine, I WOULD! Because who would choose to have meltdowns over their soap being discontinued on purpose?!

Thank you for all of your support! Please like and subscribe! God Bless!

⭐️ LAST WEEK'S VIDEO: https://www.youtube.com/watch?v=feetWrZTJGk
🖥️ WEBSITE: OliviaHops.org

#OliviaHops #ActuallyAutistic",1435,286,0,632,false,public,"[array([[[0, 0, 2],
        [0, 0, 2],
        [0, 0, 2],
        ...,
        [0, 0, 2],
        [0, 0, 2],
        [0, 0, 2]],

       [[0, 0, 2],
        [0, 0, 2],
        [0, 0, 2],
        ...,
        [1, 0, 0],
        [1, 0, 0],
        [1, 0, 0]],

       [[0, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [3, 0, 0],
        [3, 0, 0],
        [3, 0, 0]],

       ...,

       [[0, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]],

       [[0, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]],

       [[0, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]]], dtype=uint8)]",6,202,7,1,108.0,286.0,1435.0,0.19930313588850174,Sunday,August,0,0,4,-0.5267,0.9578
1,vRpspdj0OWo,2023-07-25 23:54:18+00:00,,16,Dumb things people say about Autism: Part 3 #actuallyautistic,,2323,258,0,61,false,public,"[array([[[73, 73, 73],
        [73, 73, 73],
        [73, 73, 73],
        ...,
        [73, 73, 73],
        [73, 73, 73],
        [73, 73, 73]],

       [[73, 73, 73],
        [73, 73, 73],
        [73, 73, 73],
        ...,
        [73, 73, 73],
        [73, 73, 73],
        [73, 73, 73]],

       [[73, 73, 73],
        [73, 73, 73],
        [73, 73, 73],
        ...,
        [73, 73, 73],
        [73, 73, 73],
        [73, 73, 73]],

       ...,

       [[19, 13, 13],
        [19, 13, 13],
        [19, 13, 13],
        ...,
        [76, 76, 76],
        [78, 78, 78],
        [78, 78, 78]],

       [[18, 12, 12],
        [20, 14, 14],
        [23, 17, 17],
        ...,
        [76, 76, 76],
        [76, 76, 76],
        [77, 77, 77]],

       [[18, 12, 12],
        [20, 14, 14],
        [23, 17, 17],
        ...,
        [76, 76, 76],
        [76, 76, 76],
        [77, 77, 77]]], dtype=uint8)]",9,0,0,12,1.3333333333333333,21.5,193.58333333333334,0.11106328024106758,Tuesday,July,0,2,0,-0.5106,-0.5106
2,feetWrZTJGk,2023-07-23 18:58:34+00:00,"['adult autism diagnosis', 'late autism diagnosis', 'autism', 'asd', 'autism spectrum disorder', 'autistic', 'actually autistic', 'olivia hops', 'autism traits', 'girl autism traits', 'girl autism symptoms', 'female autism traits', 'female autism symptoms', 'female autism', 'adult autism', 'autistic adult', 'autistic female', 'autistic woman', 'autism awareness', 'autism advocate', 'adhd', 'adhd autism', 'olivia hops autism', 'autistically me', 'wired differently', 'autism acceptance', 'autism diagnosis', 'adult autism traits']",79,What it's like to be Late Diagnosed Autistic as an Adult,#OliviaHops #ActuallyAutistic,3852,420,0,998,false,public,"[array([[[0, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [0, 1, 7],
        [0, 1, 7],
        [0, 1, 7]],

       [[0, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [0, 0, 2],
        [0, 0, 2],
        [0, 0, 2]],

       [[0, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [6, 0, 0],
        [6, 0, 0],
        [6, 0, 0]],

       ...,

       [[0, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]],

       [[0, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]],

       [[0, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]]], dtype=uint8)]",11,2,28,15,5.266666666666667,28.0,256.8,0.10903426791277258,Sunday,July,0,0,2,0.3612,0.0
3,ha3lnfygqsg,2023-07-16 19:36:47+00:00,"['autism', 'asd', 'autism spectrum disorder', 'autistic', 'actually autistic', 'olivia hops', 'olivia hops autism', 'autistic adult', 'autistic female', 'autistic girl', 'autism in girls', 'autism in females', 'autism in women', 'autistic women', 'girl autism traits', 'girl autism symptoms', 'autism vaccines', 'vaccines and autism', 'autism awareness', 'autism advocate', 'autism acceptance', 'autistic traits', 'autism diagnosis', 'adult autism diagnosis']",96,Do Vaccines Cause Autism? | AUTISM MYTHS,"Hey guys, it's Olivia! Thank you so much for tuning into another video of mine. Please be respectful in the comments are I will turn them off. 

This video talks all about Autism and vaccines. After seeing an ignorant post on Instagram correlating the increase in vaccines to the increase in Autism, I just had to make a video on the subject. Vaccines do NOT cause Autism! This is a myth. I go over where this myth came from and then talk about why it's false in this video. 

Correlation does not equal causation. 

God Bless! 🩵 

🎥 PREVIOUS UPLOAD: https://www.youtube.com/watch?v=vZ34xDgJofo&t=3s 

⭐️ MOST POPULAR UPLOAD: https://www.youtube.com/watch?v=n4Ce3rYkuEQ 

🖥️ WEBSITE: OliviaHops.org

#OliviaHops #ActuallyAutistic",2072,259,0,1209,false,public,"[array([[[0, 1, 0],
        [0, 1, 0],
        [0, 1, 0],
        ...,
        [0, 1, 4],
        [0, 1, 4],
        [0, 1, 4]],

       [[0, 1, 0],
        [0, 1, 0],
        [0, 1, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]],

       [[0, 1, 0],
        [0, 1, 0],
        [0, 1, 0],
        ...,
        [3, 0, 0],
        [3, 0, 0],
        [3, 0, 0]],

       ...,

       [[0, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]],

       [[0, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]],

       [[0, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]]], dtype=uint8)]",7,111,24,22,4.363636363636363,11.772727272727273,94.18181818181819,0.125,Sunday,July,0,0,10,0.0,0.9394
4,vZ34xDgJofo,2023-05-28 19:00:07+00:00,"['autism', 'asd', 'autism spectrum disorder', 'olivia hops', 'betterhelp', 'better help', 'actually autistic', 'autistic adult', 'autistic female', 'autistic girl', 'autistic woman', 'autistically me', 'olivia hops autism', 'girl autism traits', 'girl autism symptoms', 'adult autism diagnosis', 'adult autism traits', 'adult autism symptoms', 'hyper focus', 'autism hyper focus', 'autistic', 'autism acceptance', 'autism awareness', 'autism super power']",81,"Autism + Hyper Focus: The good (and the bad) of this Autistic ""Super Power""","Thanks to BetterHelp for sponsoring this video! Sign Up for BetterHelp here: https://betterhelp.com/oliviahops and receive 10% off your first month!

It's been a while, y'all! Sorry about that! I've been busy with various things and just haven't made time to film a video. I hope you enjoy this video all about Autism and Autistic people's ability to ""hyper-focus"" on things, usually our special interests.

Thank you all for all of your love and support!!

#OliviaHops #ActuallyAutistic",3879,383,0,1171,false,public,"[array([[[1, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [0, 0, 2],
        [0, 0, 2],
        [0, 0, 2]],

       [[1, 0, 0],
        [1, 0, 0],
        [0, 0, 0],
        ...,
        [1, 0, 0],
        [1, 0, 0],
        [1, 0, 0]],

       [[1, 0, 0],
        [1, 0, 0],
        [1, 0, 0],
        ...,
        [3, 0, 0],
        [3, 0, 0],
        [3, 0, 0]],

       ...,

       [[0, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]],

       [[0, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]],

       [[0, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]]], dtype=uint8)]",14,76,24,71,1.1408450704225352,5.394366197183099,54.63380281690141,0.09873678783191545,Sunday,May,0,0,4,0.7783,0.9758
5,9aOagON4fow,2023-02-05 22:01:04+00:00,,205,I Have a Big Mouth | AUTISM + RUDENESS,Go to my partner https://mintmobile.com/olivia to get premium wireless for as low as $15 a month - make the switch today and start saving money without sacrificing quality!,8855,743,0,1278,false,public,"[array([[[0, 4, 0],
        [0, 3, 0],
        [0, 2, 0],
        ...,
        [0, 1, 0],
        [0, 1, 0],
        [0, 1, 0]],

       [[0, 3, 0],
        [0, 2, 0],
        [0, 1, 0],
        ...,
        [0, 1, 0],
        [0, 1, 0],
        [0, 1, 0]],

       [[0, 1, 0],
        [0, 1, 0],
        [0, 1, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]],

       ...,

       [[0, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]],

       [[0, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]],

       [[0, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]]], dtype=uint8)]",9,28,0,182,1.1263736263736264,4.082417582417582,48.65384615384615,0.08390739695087521,Sunday,February,0,0,2,-0.3612,-0.3382
6,_bam3aaKm-4,2023-01-29 20:00:12+00:00,"['autism', 'olivia hops', 'autistic', 'asd', 'autism spectrum disorder', 'growing up autistic', 'autistic girl', 'autistic woman', 'autistic adult', 'girl autism', 'girl autism traits', 'girl autism symptoms', 'autistically me', 'autistic sister', 'sisters', 'adult autism test', 'adult autism diagnosis', 'women autistic traits', 'girl autistic traits', 'nordvpn', 'actually autistic', 'actually autistic adult', 'autism awareness', 'autism acceptance']",77,Being a Big Sister While (Unknowingly) Autistic,"Get the exclusive NordVPN deal here: https://nordvpn.com/oliviahops. It’s risk free with Nord’s 30 day money-back guarantee! Thanks to NordVPN for sponsoring this video.

In this video, I talk about how bad of a big sister I was while growing up (unknowingly) autistic.

Other ...While (Unknowingly) Autistic videos:
1️⃣ https://youtu.be/ID7lO1l45vE
2️⃣ https://youtu.be/VKlq7oh4FoM
3️⃣ https://youtu.be/oC2J7LGt2xY

Thanks for all of your support!

Follow me on Instagram: @OliviaHops

#ActuallyAutistic #OliviaHops",6069,507,0,1212,false,public,"[array([[[0, 0, 7],
        [0, 0, 7],
        [0, 0, 5],
        ...,
        [0, 0, 2],
        [0, 0, 2],
        [0, 0, 2]],

       [[0, 0, 7],
        [0, 0, 5],
        [0, 0, 5],
        ...,
        [1, 0, 0],
        [1, 0, 0],
        [1, 0, 0]],

       [[0, 0, 5],
        [0, 0, 5],
        [0, 0, 4],
        ...,
        [3, 0, 0],
        [3, 0, 0],
        [3, 0, 0]],

       ...,

       [[0, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]],

       [[0, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]],

       [[0, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]]], dtype=uint8)]",7,66,24,190,0.4052631578947368,2.668421052631579,31.942105263157895,0.08353929807217005,Sunday,January,0,0,16,0.0,0.8745
7,jHjWSqDcMHU,2022-12-18 20:01:24+00:00,"['autism disability', 'olivia hops', 'autism', 'asd', 'autistic', 'autism spectrum disorder', 'olivia hops asd', 'olivia hops autism', 'autisticallyme', 'autism jobs', 'jobs for autistic people', 'autism and working', 'working while autistic', 'autism awareness', 'autistic adult', 'autistic female', 'autistic girl', 'autism in girls', 'autistic traits female', 'autistic traits girls', 'autism symptoms girls', 'female autism symptoms', 'adult autism diagnosis', 'autism diagnosis', 'skillshare', 'actuallyautistic', 'autism disorder']",308,Is Autism Really a Disorder? | AUTISM IN ADULTS,"The first 1,000 people to use the link will get a 1 month free trial of Skillshare: https://skl.sh/oliviahops12221  


#OliviaHops #ActuallyAutistic #SkillShare",6636,686,0,999,false,public,"[array([[[0, 4, 2],
        [0, 3, 2],
        [0, 2, 2],
        ...,
        [0, 1, 2],
        [0, 0, 2],
        [0, 0, 2]],

       [[0, 3, 0],
        [0, 2, 0],
        [0, 1, 2],
        ...,
        [0, 1, 0],
        [0, 1, 0],
        [0, 1, 0]],

       [[0, 1, 0],
        [0, 1, 0],
        [0, 0, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]],

       ...,

       [[0, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]],

       [[0, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]],

       [[0, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]]], dtype=uint8)]",9,21,27,232,1.3275862068965518,2.956896551724138,28.603448275862068,0.10337552742616034,Sunday,December,0,0,13,-0.4576,0.5106
8,9jo5U61gZkU,2022-11-27 19:29:18+00:00,"['olivia hops', 'autism', 'asd', 'autistic', 'autism spectrum disorder', 'olivia hops asd', 'olivia hops autism', 'autisticallyme', 'autism jobs', 'jobs for autistic people', 'autism and working', 'working while autistic', 'autism awareness', 'autistic adult', 'autistic female', 'autistic girl', 'autism in girls', 'autistic traits female', 'autistic traits girls', 'autism symptoms girls', 'female autism symptoms', 'adult autism diagnosis', 'autism diagnosis', 'skillshare', 'actuallyautistic']",718,Good Jobs for Autistic People | AUTISM IN ADULTS,"The first 1,000 people to use the link will get a 1 month free trial of Skillshare: https://skl.sh/oliviahops11221  



#OliviaHops #SkillShare #ActuallyAutistic",87828,4749,0,1143,false,public,"[array([[[0, 4, 4],
        [0, 4, 4],
        [0, 3, 4],
        ...,
        [0, 3, 2],
        [0, 3, 2],
        [0, 3, 2]],

       [[0, 4, 4],
        [0, 3, 4],
        [0, 2, 4],
        ...,
        [0, 1, 0],
        [0, 1, 0],
        [0, 1, 0]],

       [[0, 3, 2],
        [0, 2, 2],
        [0, 1, 2],
        ...,
        [3, 0, 0],
        [3, 0, 0],
        [3, 0, 0]],

       ...,

       [[0, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]],

       [[0, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]],

       [[0, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]]], dtype=uint8)]",9,21,25,253,2.8379446640316206,18.770750988142293,347.14624505928856,0.054071594480120236,Sunday,November,0,0,13,0.4404,0.5106
9,6y4h32H0iVE,2022-10-16 00:56:25+00:00,"['autism', 'asd', 'autism in girls', 'female autism traits', 'girl autism traits', 'girl autism symptoms', 'female autism symptoms', 'women autism', 'woman autism', 'adult autism', 'olivia hops', 'skillshare', 'autistically me', 'olivia hops autism', 'autism spectrum disorder', 'actually autistic', 'aspergers', 'aspergers traits', 'girl aspergers traits', 'yo samdy sam', 'chloe hayden', 'autism cure', 'autistic', 'autistic girl', 'autistic adult', 'autistic female', 'autistic woman']",114,"Italy ""cures"" my Autism (+ LIFE UPDATE)","The first 1,000 people to use the link will get a 1 month free trial of Skillshare: https://skl.sh/oliviahops10221 

#OliviaHops #ActuallyAutistic #SkillShare",10184,806,0,989,false,public,"[array([[[0, 8, 2],
        [0, 5, 2],
        [0, 2, 2],
        ...,
        [0, 1, 0],
        [0, 0, 2],
        [0, 0, 2]],

       [[0, 7, 2],
        [0, 5, 2],
        [0, 1, 2],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 2]],

       [[0, 5, 0],
        [0, 4, 0],
        [0, 1, 0],
        ...,
        [3, 0, 0],
        [3, 0, 0],
        [3, 0, 0]],

       ...,

       [[0, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]],

       [[0, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]],

       [[0, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]]], dtype=uint8)]",7,21,27,295,0.3864406779661017,2.7322033898305085,34.52203389830508,0.07914375490966222,Sunday,October,0,0,13,0.0,0.5106
