,video ids,publish date,tags,comment count,title,description,times_viewed,times_liked,times_faved,duration in seconds,caption,privacy_status,thumbnail,title length,description length,tag count,days live,comment count/days live,times liked/days live,times viewed/days live,likes per view,Publish Day,Publish Month,tags in title,title emoji count,description emoji count,VADER sentiment - title,VADER sentiment - description
0,ekjK1Ziy0tQ,2023-07-14 20:00:11+00:00,"['autism', 'autism diagnosis', 'Paige layle', 'paigelayle', 'paigelayle tiktok', 'tiktok videos', 'autistic', 'autistiktok', 'autistok', 'autism spectrum disorder', 'Aspergers', 'Aspergers syndrome', 'autism in girls', 'dsm', 'autistic kid', 'autism mom', 'autism family', 'autism speaks', 'autism awareness', 'autism acceptance']",137,We Need To Talk About The Ultimatum Queer Love. Why Has No One Mentioned This?!,"The first 1,000 people to use this link will get a 1 month free trial of Skillshare: https://skl.sh/paigelayle07231 (https://skl.sh/paigelayle07231)

~~CONNECT WITH ME~~
PAYPAL: https://www.paypal.me/PaigeHennekam
CAMEO: https://www.cameo.com/paigelayle
INSTAGRAM: https://www.instagram.com/paigelayle/...
TIKTOK: https://www.tiktok.com/@paigelayle?la...
TWITTER: https://twitter.com/paigehennekam?ref...

For business purposes, email MGMT@PAIGELAYLE.CA

Send me stuff!
Paige Hennekam
46 Kent St W. 
ROYALE TOWN & COUNTRY REALTY
Lindsay, ON Canada
K9V 2Y2

Do you have a topic/ subject you want me to talk about?
If so, fill out the form below and I will have a look!  

https://docs.google.com/forms/d/e/1FAIpQLSf1IVcim9i-UHJ0Cn-ibls67lMxPbkis3WoSseZmoDP_MVPlg/viewform?usp=sf_link

Related: autism, autism diagnosis, Paige layle, paigelayle, paigelayle tiktok, tiktok videos, autistic, autistiktok, autistok, autism spectrum disorder, Aspergers, Aspergers syndrome, autism in girls, dsm, autistic kid, autism mom, autism family, autism speaks, autism awareness, autism acceptance",9299,696,0,2957,false,public,"[array([[[0, 0, 5],
        [0, 0, 5],
        [0, 0, 5],
        ...,
        [0, 0, 5],
        [0, 0, 5],
        [0, 0, 5]],

       [[0, 0, 2],
        [0, 0, 2],
        [0, 0, 2],
        ...,
        [0, 0, 2],
        [0, 0, 2],
        [0, 0, 2]],

       [[0, 1, 0],
        [0, 1, 0],
        [0, 1, 0],
        ...,
        [0, 1, 0],
        [0, 1, 0],
        [0, 1, 0]],

       ...,

       [[0, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]],

       [[0, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]],

       [[0, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]]], dtype=uint8)]",15,118,20,5,27.4,139.2,1859.8,0.07484675771588342,Friday,July,0,0,27,0.5093,0.7539
1,sdCMtsLuS9c,2023-07-10 20:00:12+00:00,"['autism', 'autism diagnosis', 'Paige layle', 'paigelayle', 'paigelayle tiktok', 'tiktok videos', 'autistic', 'autistiktok', 'autistok', 'autism spectrum disorder', 'Aspergers', 'Aspergers syndrome', 'autism in girls', 'dsm', 'autistic kid', 'autism mom', 'autism family', 'autism speaks', 'autism awareness', 'autism acceptance']",198,Autistic Self Confidence Pep Talk | How to Not Care About What Other People Think of You,"To find a sense of peace and improve your sleep, get started with Aura today for free. The first 500 people to use my link will also get 25% off + free trial to the Aura membership: https://aurahealth.io/paigelayle

~~CONNECT WITH ME~~
PAYPAL: https://www.paypal.me/PaigeHennekam
CAMEO: https://www.cameo.com/paigelayle
INSTAGRAM: https://www.instagram.com/paigelayle/...
TIKTOK: https://www.tiktok.com/@paigelayle?la...
TWITTER: https://twitter.com/paigehennekam?ref...

For business purposes, email MGMT@PAIGELAYLE.CA

Send me stuff!
Paige Hennekam
46 Kent St W. 
ROYALE TOWN & COUNTRY REALTY
Lindsay, ON Canada
K9V 2Y2

Do you have a topic/ subject you want me to talk about?
If so, fill out the form below and I will have a look!  

https://docs.google.com/forms/d/e/1FAIpQLSf1IVcim9i-UHJ0Cn-ibls67lMxPbkis3WoSseZmoDP_MVPlg/viewform?usp=sf_link

Related: autism, autism diagnosis, Paige layle, paigelayle, paigelayle tiktok, tiktok videos, autistic, autistiktok, autistok, autism spectrum disorder, Aspergers, Aspergers syndrome, autism in girls, dsm, autistic kid, autism mom, autism family, autism speaks, autism awareness, autism acceptance",11450,1437,0,1007,false,public,"[array([[[3, 0, 0],
        [3, 0, 0],
        [3, 0, 0],
        ...,
        [3, 0, 0],
        [3, 0, 0],
        [3, 0, 0]],

       [[1, 0, 0],
        [1, 0, 0],
        [1, 0, 0],
        ...,
        [1, 0, 0],
        [1, 0, 0],
        [1, 0, 0]],

       [[0, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]],

       ...,

       [[0, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]],

       [[0, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]],

       [[0, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]]], dtype=uint8)]",17,137,20,9,22.0,159.66666666666666,1272.2222222222222,0.12550218340611355,Monday,July,0,0,17,0.171,0.9446
2,brf5qK1jRPk,2023-06-24 21:15:01+00:00,"['autism', 'autism diagnosis', 'Paige layle', 'paigelayle', 'paigelayle tiktok', 'tiktok videos', 'autistic', 'autistiktok', 'autistok', 'autism spectrum disorder', 'Aspergers', 'Aspergers syndrome', 'autism in girls', 'dsm', 'autistic kid', 'autism mom', 'autism family', 'autism speaks', 'autism awareness', 'autism acceptance']",364,An Undiagnosed Autistic Girl Pipeline | 0-12 Yrs Old | The Childhood of Many Lost Autistic Girls,"The first 1,000 people to use this link will get a 1 month free trial of Skillshare: https://skl.sh/paigelayle06231 (https://skl.sh/paigelayle06231)

~~CONNECT WITH ME~~
PAYPAL: https://www.paypal.me/PaigeHennekam
CAMEO: https://www.cameo.com/paigelayle
INSTAGRAM: https://www.instagram.com/paigelayle/...
TIKTOK: https://www.tiktok.com/@paigelayle?la...
TWITTER: https://twitter.com/paigehennekam?ref...

#skillshare 

For business purposes, email MGMT@PAIGELAYLE.CA

Send me stuff!
Paige Hennekam
46 Kent St W. 
ROYALE TOWN & COUNTRY REALTY
Lindsay, ON Canada
K9V 2Y2

Do you have a topic/ subject you want me to talk about?
If so, fill out the form below and I will have a look!  

https://docs.google.com/forms/d/e/1FAIpQLSf1IVcim9i-UHJ0Cn-ibls67lMxPbkis3WoSseZmoDP_MVPlg/viewform?usp=sf_link

Related: autism, autism diagnosis, Paige layle, paigelayle, paigelayle tiktok, tiktok videos, autistic, autistiktok, autistok, autism spectrum disorder, Aspergers, Aspergers syndrome, autism in girls, dsm, autistic kid, autism mom, autism family, autism speaks, autism awareness, autism acceptance",25079,2171,0,1707,false,public,"[array([[[0, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [0, 0, 0],
        [1, 0, 0],
        [1, 0, 0]],

       [[0, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [1, 0, 0]],

       [[0, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [0, 0, 2],
        [0, 0, 0],
        [0, 0, 0]],

       ...,

       [[0, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]],

       [[0, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]],

       [[0, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]]], dtype=uint8)]",17,119,20,25,14.56,86.84,1003.16,0.0865664500179433,Saturday,June,0,3,28,-0.3182,0.7539
3,pYu0U_AtmJo,2023-06-14 12:33:48+00:00,"['autism', 'autism diagnosis', 'Paige layle', 'paigelayle', 'paigelayle tiktok', 'tiktok videos', 'autistic', 'autistiktok', 'autistok', 'autism spectrum disorder', 'Aspergers', 'Aspergers syndrome', 'autism in girls', 'dsm', 'autistic kid', 'autism mom', 'autism family', 'autism speaks', 'autism awareness', 'autism acceptance']",192,I Went To An Autism Conference and Met Autism Organizations Across Canada,"Save  20% on your first Native purchase! Click here https://bit.ly/nativelayle4 and use my code LAYLE4 #AD

AIDE Canada website; https://aidecanada.ca/
The Impossible Conference Research Collection; https://aidecanada.ca/resources/learn/asd-id-core-knowledge/impossible-conference-research-collection


~~CONNECT WITH ME~~
PAYPAL: https://www.paypal.me/PaigeHennekam
CAMEO: https://www.cameo.com/paigelayle
INSTAGRAM: https://www.instagram.com/paigelayle/...
TIKTOK: https://www.tiktok.com/@paigelayle?la...
TWITTER: https://twitter.com/paigehennekam?ref...

NATIVE DEODORANT REVIEW #NativePartner #Deodorant #AluminumFree 

For business purposes, email MGMT@PAIGELAYLE.CA

Send me stuff!
Paige Layle
46 Kent St W. 
ROYALE TOWN & COUNTRY REALTY
Lindsay, ON Canada
K9V 2Y2

Do you have a topic/ subject you want me to talk about?
If so, fill out the form below and I will have a look!  

https://docs.google.com/forms/d/e/1FAIpQLSf1IVcim9i-UHJ0Cn-ibls67lMxPbkis3WoSseZmoDP_MVPlg/viewform?usp=sf_link

Related: autism, autism diagnosis, Paige layle, paigelayle, paigelayle tiktok, tiktok videos, autistic, autistiktok, autistok, autism spectrum disorder, Aspergers, Aspergers syndrome, autism in girls, dsm, autistic kid, autism mom, autism family, autism speaks, autism awareness, autism acceptance",19209,1514,0,1186,false,public,"[array([[[0, 1, 7],
        [0, 1, 7],
        [0, 1, 7],
        ...,
        [0, 1, 7],
        [0, 1, 7],
        [0, 1, 7]],

       [[0, 0, 2],
        [0, 0, 2],
        [0, 0, 2],
        ...,
        [0, 0, 2],
        [0, 0, 2],
        [0, 0, 2]],

       [[3, 0, 0],
        [3, 0, 0],
        [3, 0, 0],
        ...,
        [3, 0, 0],
        [3, 0, 0],
        [3, 0, 0]],

       ...,

       [[0, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]],

       [[0, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]],

       [[0, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]]], dtype=uint8)]",12,131,20,36,5.333333333333333,42.05555555555556,533.5833333333334,0.07881722109427872,Wednesday,June,0,0,20,0.0,0.7674
4,yHKOUcLFsXY,2023-06-07 18:33:54+00:00,"['autism', 'autism diagnosis', 'Paige layle', 'paigelayle', 'paigelayle tiktok', 'tiktok videos', 'autistic', 'autistiktok', 'autistok', 'autism spectrum disorder', 'Aspergers', 'Aspergers syndrome', 'autism in girls', 'dsm', 'autistic kid', 'autism mom', 'autism family', 'autism speaks', 'autism awareness', 'autism acceptance']",1157,Autistic Daughter Melted Into Living Room Couch | Lacey Fletcher and the Parents that Killed Her,"Download Love & Pies here https://pixly.go2cloud.org/SH3om 
Thanks to Love & Pies for sponsoring!

~~CONNECT WITH ME~~
PAYPAL: https://www.paypal.me/PaigeHennekam
CAMEO: https://www.cameo.com/paigelayle
INSTAGRAM: https://www.instagram.com/paigelayle/...
TIKTOK: https://www.tiktok.com/@paigelayle?la...
TWITTER: https://twitter.com/paigehennekam?ref...

For business purposes, email MGMT@PAIGELAYLE.CA

Send me stuff!
Paige Layle
46 Kent St W. 
ROYALE TOWN & COUNTRY REALTY
Lindsay, ON Canada
K9V 2Y2

Do you have a topic/ subject you want me to talk about?
If so, fill out the form below and I will have a look!  

https://docs.google.com/forms/d/e/1FAIpQLSf1IVcim9i-UHJ0Cn-ibls67lMxPbkis3WoSseZmoDP_MVPlg/viewform?usp=sf_link

Related: autism, autism diagnosis, Paige layle, paigelayle, paigelayle tiktok, tiktok videos, autistic, autistiktok, autistok, autism spectrum disorder, Aspergers, Aspergers syndrome, autism in girls, dsm, autistic kid, autism mom, autism family, autism speaks, autism awareness, autism acceptance",171081,9899,0,1396,false,public,"[array([[[1, 0, 0],
        [1, 0, 0],
        [1, 0, 0],
        ...,
        [1, 1, 0],
        [1, 1, 0],
        [1, 1, 0]],

       [[0, 0, 2],
        [0, 0, 2],
        [0, 0, 2],
        ...,
        [0, 1, 0],
        [0, 1, 0],
        [0, 1, 0]],

       [[0, 1, 4],
        [0, 1, 4],
        [0, 1, 4],
        ...,
        [0, 1, 2],
        [0, 1, 2],
        [0, 1, 2]],

       ...,

       [[0, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]],

       [[0, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]],

       [[0, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]]], dtype=uint8)]",16,112,20,42,27.547619047619047,235.6904761904762,4073.3571428571427,0.05786148081902724,Wednesday,June,0,0,14,-0.6705,0.9407
5,iz1xiuuA8AY,2023-05-25 19:00:19+00:00,"['autism', 'autism diagnosis', 'Paige layle', 'paigelayle', 'paigelayle tiktok', 'tiktok videos', 'autistic', 'autistiktok', 'autistok', 'autism spectrum disorder', 'Aspergers', 'Aspergers syndrome', 'autism in girls', 'dsm', 'autistic kid', 'autism mom', 'autism family', 'autism speaks', 'autism awareness', 'autism acceptance']",1100,"""I Am A Stalker"" Men Being Autistic .. Let's Talk About Autistic Men and Stalking","Click here https://bit.ly/3L6dDdp  to take the quiz and use my code PAIGELAYLE for 50% off your first order - I absolutely love Care/of and I know you will too!

i want to clarify that autistic people are more frequently the victim than the perpetrator. this is not to villianize autistic men or boys. its just to point out this pattern that is specifically in autistic men and boys that we need to talk about- and ofc it's weird and uncomfy to talk about so ill do it lo and handle the repercussions from ppl misunderstanding me/ my miscommunication etc. 


~~CONNECT WITH ME~~
PAYPAL: https://www.paypal.me/PaigeHennekam
CAMEO: https://www.cameo.com/paigelayle
INSTAGRAM: https://www.instagram.com/paigelayle/...
TIKTOK: https://www.tiktok.com/@paigelayle?la...
TWITTER: https://twitter.com/paigehennekam?ref...

For business purposes, email MGMT@PAIGELAYLE.CA

Care/of works hard to recommend supplements based on scientific research and your personal goals. As a friendly reminder, supplements aren’t intended to diagnose, treat, cure, or prevent any disease.

Send me stuff!
Paige Layle
46 Kent St W. 
ROYALE TOWN & COUNTRY REALTY
Lindsay, ON Canada
K9V 2Y2

Do you have a topic/ subject you want me to talk about?
If so, fill out the form below and I will have a look!  

https://docs.google.com/forms/d/e/1FAIpQLSf1IVcim9i-UHJ0Cn-ibls67lMxPbkis3WoSseZmoDP_MVPlg/viewform?usp=sf_link

Related: i am a stalker, autism in boys, autistic men, autism, autism diagnosis, Paige layle, paigelayle, paigelayle tiktok, tiktok videos, autistic, autistiktok, autistok, autism spectrum disorder, Aspergers, Aspergers syndrome, autism in girls, dsm, autistic kid, autism mom, autism family, autism speaks, autism awareness, autism acceptance",53126,4129,0,1536,false,public,"[array([[[0, 0, 2],
        [0, 0, 2],
        [0, 0, 2],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]],

       [[0, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]],

       [[1, 0, 0],
        [1, 0, 0],
        [1, 0, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]],

       ...,

       [[0, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]],

       [[0, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]],

       [[0, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]]], dtype=uint8)]",15,236,20,55,20.0,75.07272727272728,965.9272727272727,0.0777208899597184,Thursday,May,0,0,16,0.0,0.5646
6,ngEXv3bsWP0,2023-04-14 21:48:24+00:00,"['autism', 'autism diagnosis', 'Paige layle', 'paigelayle', 'paigelayle tiktok', 'tiktok videos', 'autistic', 'autistiktok', 'autistok', 'autism spectrum disorder', 'Aspergers', 'Aspergers syndrome', 'autism in girls', 'dsm', 'autistic kid', 'autism mom', 'autism family', 'autism speaks', 'autism awareness', 'autism acceptance', 'dominican republic', 'punta cana', 'punta cana domincan', 'travel vlog', 'tropical travel', 'best friends travel']",143,TRAVEL WITH ME TO PUNTA CANA | One Week With My Bestie... What Can We Get Up To?,"Save 20% on your first Native purchase! Click here https://bit.ly/nativelayle3 and use my code LAYLE3 #AD

yes, the ending me saying ""something special stay tuned"" whatever is STILL TRUE AND YES I STILL CANt SAY ANYTHING LOL

also sorry no end of video song ugh gimme a minute ily 

THIS WAS THE THUMBNAIL YT CAME UP FOR ME!! RIGHT!?? good job youtube 

NATIVE DEODORANT REVIEW #NativePartner #Deodorant #AluminumFree

~~CONNECT WITH ME~~
PAYPAL: https://www.paypal.me/PaigeHennekam
CAMEO: https://www.cameo.com/paigelayle
INSTAGRAM: https://www.instagram.com/paigelayle/...
TIKTOK: https://www.tiktok.com/@paigelayle?la...
TWITTER: https://twitter.com/paigehennekam?ref...

For business purposes, email MGMT@PAIGELAYLE.CA

Send me stuff!
Paige Hennekam
46 Kent St W. 
ROYALE TOWN & COUNTRY REALTY
Lindsay, ON Canada
K9V 2Y2

Do you have a topic/ subject you want me to talk about?
If so, fill out the form below and I will have a look!  

https://docs.google.com/forms/d/e/1FAIpQLSf1IVcim9i-UHJ0Cn-ibls67lMxPbkis3WoSseZmoDP_MVPlg/viewform?usp=sf_link


Related: autism, autism diagnosis, Paige layle, paigelayle, paigelayle tiktok, tiktok videos, autistic, autistiktok, autistok, autism spectrum disorder, Aspergers, Aspergers syndrome, autism in girls, dsm, autistic kid, autism mom, autism family, autism speaks, autism awareness, autism acceptance",12316,652,0,1124,false,public,"[array([[[0, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [3, 0, 0],
        [3, 0, 0],
        [3, 0, 0]],

       [[0, 1, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [1, 0, 0],
        [1, 0, 0],
        [1, 0, 0]],

       [[0, 0, 2],
        [0, 0, 2],
        [0, 0, 2],
        ...,
        [0, 0, 4],
        [0, 0, 4],
        [0, 0, 4]],

       ...,

       [[0, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]],

       [[0, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]],

       [[0, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]]], dtype=uint8)]",18,167,26,96,1.4895833333333333,6.791666666666667,128.29166666666666,0.052939265995453066,Friday,April,0,0,20,0.0,0.9552
7,Hk_OajxNna4,2023-04-11 21:09:21+00:00,['iMovie'],365,i have smarter conversations with kids than with adults,"The first 1,000 people to use the link will get a 1 month free trial of Skillshare https://skl.sh/paigelayle04231 (https://skl.sh/paigelayle04231)  For a Limited Time (now through April 30, 2023), Skillshare is offering 40% off your first year of membership - one of their best offers out there! https://skl.sh/paigelayle40 (https://skl.sh/paigelayle40) 

~~CONNECT WITH ME~~
PAYPAL: https://www.paypal.me/PaigeHennekam
CAMEO: https://www.cameo.com/paigelayle
INSTAGRAM: https://www.instagram.com/paigelayle/...
TIKTOK: https://www.tiktok.com/@paigelayle?la...
TWITTER: https://twitter.com/paigehennekam?ref...

For business purposes, email MGMT@PAIGELAYLE.CA

Send me stuff!
Paige Hennekam
46 Kent St W. 
ROYALE TOWN & COUNTRY REALTY
Lindsay, ON Canada
K9V 2Y2

Do you have a topic/ subject you want me to talk about?
If so, fill out the form below and I will have a look!  

https://docs.google.com/forms/d/e/1FAIpQLSf1IVcim9i-UHJ0Cn-ibls67lMxPbkis3WoSseZmoDP_MVPlg/viewform?usp=sf_link

Related: autism, autism diagnosis, Paige layle, paigelayle, paigelayle tiktok, tiktok videos, autistic, autistiktok, autistok, autism spectrum disorder, Aspergers, Aspergers syndrome, autism in girls, dsm, autistic kid, autism mom, autism family, autism speaks, autism awareness, autism acceptance",16926,1860,0,840,false,public,"[array([[[0, 1, 2],
        [0, 1, 2],
        [0, 1, 2],
        ...,
        [1, 0, 2],
        [1, 0, 2],
        [1, 0, 2]],

       [[0, 1, 2],
        [0, 1, 2],
        [0, 1, 2],
        ...,
        [1, 0, 0],
        [1, 0, 0],
        [1, 0, 0]],

       [[0, 1, 0],
        [0, 1, 0],
        [0, 1, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]],

       ...,

       [[0, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]],

       [[0, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]],

       [[0, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]]], dtype=uint8)]",9,147,1,99,3.686868686868687,18.78787878787879,170.96969696969697,0.10989010989010989,Tuesday,April,0,0,39,0.4588,0.876
8,PunIxpw68KI,2023-03-30 13:03:38+00:00,"['autism', 'autism diagnosis', 'Paige layle', 'paigelayle', 'paigelayle tiktok', 'tiktok videos', 'autistic', 'autistiktok', 'autistok', 'autism spectrum disorder', 'Aspergers', 'Aspergers syndrome', 'autism in girls', 'dsm', 'autistic kid', 'autism mom', 'autism family', 'autism speaks', 'autism awareness', 'autism acceptance']",1167,Traits I’ve noticed amongst 50 year old shop dads that I think are a result of undiagnosed autism,"The first 1,000 people to use the link will get a 1 month free trial of Skillshare https://skl.sh/paigelayle03231 (https://skl.sh/paigelayle03231)  For a Limited Time (now through April 30, 2023), Skillshare is offering 40% off your first year of membership - one of their best offers out there! https://skl.sh/paigelayle40 (https://skl.sh/paigelayle40) 

~~CONNECT WITH ME~~
PAYPAL: https://www.paypal.me/PaigeHennekam
CAMEO: https://www.cameo.com/paigelayle
INSTAGRAM: https://www.instagram.com/paigelayle/...
TIKTOK: https://www.tiktok.com/@paigelayle?la...
TWITTER: https://twitter.com/paigehennekam?ref...

For business purposes, email MGMT@PAIGELAYLE.CA

Send me stuff!
Paige Hennekam
46 Kent St W. 
ROYALE TOWN & COUNTRY REALTY
Lindsay, ON Canada
K9V 2Y2

Do you have a topic/ subject you want me to talk about?
If so, fill out the form below and I will have a look!  

https://docs.google.com/forms/d/e/1FAIpQLSf1IVcim9i-UHJ0Cn-ibls67lMxPbkis3WoSseZmoDP_MVPlg/viewform?usp=sf_link

Related: autism, autism diagnosis, Paige layle, paigelayle, paigelayle tiktok, tiktok videos, autistic, autistiktok, autistok, autism spectrum disorder, Aspergers, Aspergers syndrome, autism in girls, dsm, autistic kid, autism mom, autism family, autism speaks, autism awareness, autism acceptance",69527,5139,0,814,false,public,"[array([[[1, 0, 4],
        [1, 0, 4],
        [1, 0, 4],
        ...,
        [1, 0, 4],
        [1, 0, 4],
        [1, 0, 4]],

       [[1, 0, 0],
        [1, 0, 0],
        [1, 0, 0],
        ...,
        [1, 0, 0],
        [1, 0, 0],
        [1, 0, 0]],

       [[0, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]],

       ...,

       [[0, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]],

       [[0, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]],

       [[0, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]]], dtype=uint8)]",18,147,20,112,10.419642857142858,45.88392857142857,620.7767857142857,0.07391373135616379,Thursday,March,1,2,39,0.0,0.876
9,uQQ-0YVSw20,2022-12-22 03:25:03+00:00,"['autism', 'autism diagnosis', 'Paige layle', 'paigelayle', 'paigelayle tiktok', 'tiktok videos', 'autistic', 'autistiktok', 'autistok', 'autism spectrum disorder', 'Aspergers', 'Aspergers syndrome', 'autism in girls', 'dsm', 'autistic kid', 'autism mom', 'autism family', 'autism speaks', 'autism awareness', 'autism acceptance']",389,People Are Getting DEPORTED and DENIED IMMIGRATION For Being AUTISTIC...,"CASETiFY's Bounce Cases and Clear Cases are available at casetify.com! Go to http://casetify.com/paigelayle today to get 15% off your order! Thanks to Casetify for sponsoring this video!

~~CONNECT WITH ME~~
PAYPAL: https://www.paypal.me/PaigeHennekam
CAMEO: https://www.cameo.com/paigelayle
INSTAGRAM: https://www.instagram.com/paigelayle/...
TIKTOK: https://www.tiktok.com/@paigelayle?la...
TWITTER: https://twitter.com/paigehennekam?ref...

For business purposes, email 
mgmt@paigelayle.ca

Title: Paige Layle 

Send me stuff!
Paige Hennekam
46 Kent St W. 
ROYALE TOWN & COUNTRY REALTY
Lindsay, ON Canada
K9V 2Y2

Do you have a topic/ subject you want me to talk about?
If so, fill out the form below and I will have a look!  

https://docs.google.com/forms/d/e/1FAIpQLSf1IVcim9i-UHJ0Cn-ibls67lMxPbkis3WoSseZmoDP_MVPlg/viewform?usp=sf_link

Related: autism, autism diagnosis, Paige layle, paigelayle, paigelayle tiktok, tiktok videos, autistic, autistiktok, autistok, autism spectrum disorder, Aspergers, Aspergers syndrome, autism in girls, dsm, autistic kid, autism mom, autism family, autism speaks, autism awareness, autism acceptance",23490,1805,0,426,false,public,"[array([[[0, 1, 0],
        [0, 1, 0],
        [0, 1, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]],

       [[0, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [1, 0, 0],
        [1, 0, 0],
        [1, 0, 0]],

       [[0, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [3, 0, 0],
        [3, 0, 0],
        [3, 0, 0]],

       ...,

       [[0, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]],

       [[0, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]],

       [[0, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]]], dtype=uint8)]",10,129,20,210,1.8523809523809525,8.595238095238095,111.85714285714286,0.07684120902511707,Thursday,December,0,0,14,-0.4404,0.8492
