,video ids,publish date,tags,comment count,title,description,times_viewed,times_liked,times_faved,duration in seconds,caption,privacy_status,thumbnail,title length,description length,tag count,days live,comment count/days live,times liked/days live,times viewed/days live,likes per view,Publish Day,Publish Month,tags in title,title emoji count,description emoji count,VADER sentiment - title,VADER sentiment - description
0,6F0l0naBx0M,2023-08-04 16:30:01+00:00,"['The Algarve', 'Portugal', 'Vlogging', 'Travel Vlog', 'Disabled travel', 'autistic vlogger', 'disabled vlogger', 'Jessica kelgren fozzard', 'autistic adult', 'adhd adult', 'disabled lifestyle']",24,The Algarve Portugal Vlog (Disabled Travel),"The Algarve Portugal Vlog (Disabled Travel)

I visited The Algarve with my family, I have autism, ADHD and Ehlers Danlos Syndrome and have three neurodivergent children.

 Travel has been difficult for us in the past, but with careful planning and support we had an amazing holiday. 

I hope you enjoy my vlog. 


Join this channel to get access to perks:
YouTube - https://www.youtube.com/channel/UCzske-KMAJYQn84rz6oD_yA/join
Patreon - patreon.com/purpleella

My link tree including tip jar
https://direct.me/purpleella",1159,137,0,1185,false,public,"[array([[[1, 0, 2],
        [1, 0, 2],
        [1, 0, 2],
        ...,
        [1, 0, 0],
        [1, 0, 0],
        [0, 0, 0]],

       [[1, 0, 2],
        [1, 0, 2],
        [1, 0, 2],
        ...,
        [1, 0, 0],
        [0, 0, 0],
        [0, 0, 0]],

       [[0, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]],

       ...,

       [[0, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]],

       [[0, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]],

       [[0, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]]], dtype=uint8)]",6,73,11,4,6.0,34.25,289.75,0.1182053494391717,Friday,August,2,0,3,0.0,0.9761
1,-Kz3a3aiJeo,2023-08-01 17:00:00+00:00,,17,God Invents ADHD #adhd #funny,,2517,286,0,55,false,public,"[array([[[48, 52, 51],
        [47, 51, 50],
        [46, 50, 49],
        ...,
        [49, 57, 59],
        [49, 57, 59],
        [49, 57, 59]],

       [[48, 52, 51],
        [47, 51, 50],
        [45, 49, 48],
        ...,
        [51, 56, 59],
        [50, 55, 58],
        [50, 55, 58]],

       [[49, 54, 50],
        [48, 53, 49],
        [45, 50, 46],
        ...,
        [50, 55, 58],
        [50, 55, 58],
        [50, 55, 58]],

       ...,

       [[44, 51, 20],
        [44, 51, 20],
        [45, 51, 23],
        ...,
        [ 7, 10, 15],
        [ 7, 10, 15],
        [ 7, 10, 15]],

       [[44, 51, 20],
        [46, 52, 24],
        [48, 54, 28],
        ...,
        [ 7, 10, 15],
        [ 7, 10, 15],
        [ 7, 10, 15]],

       [[44, 51, 20],
        [46, 52, 24],
        [48, 54, 28],
        ...,
        [ 7, 10, 15],
        [ 7, 10, 15],
        [ 7, 10, 15]]], dtype=uint8)]",5,0,0,7,2.4285714285714284,40.857142857142854,359.57142857142856,0.11362733412793008,Tuesday,August,0,2,0,0.2732,0.2732
2,krI9wRicELQ,2023-07-28 16:00:40+00:00,"['Autism', 'Parody', 'neurodiversity']",41,Parenting Non Autistic Children #autism #funny #parody #shortswithcamilla,Parody of ‘autism Mum’s’,3329,363,0,60,false,public,"[array([[[54, 53, 48],
        [55, 54, 49],
        [55, 54, 49],
        ...,
        [54, 53, 49],
        [54, 53, 49],
        [54, 53, 49]],

       [[54, 53, 48],
        [54, 53, 48],
        [55, 54, 49],
        ...,
        [54, 53, 49],
        [54, 53, 49],
        [54, 53, 49]],

       [[52, 51, 46],
        [53, 52, 47],
        [54, 53, 48],
        ...,
        [54, 53, 49],
        [54, 53, 49],
        [54, 53, 49]],

       ...,

       [[58, 43, 36],
        [60, 45, 38],
        [63, 48, 41],
        ...,
        [11,  2,  3],
        [12,  3,  4],
        [12,  3,  4]],

       [[61, 46, 39],
        [62, 47, 40],
        [63, 48, 41],
        ...,
        [10,  1,  2],
        [10,  1,  2],
        [10,  1,  2]],

       [[61, 46, 39],
        [62, 47, 40],
        [63, 48, 41],
        ...,
        [11,  1,  2],
        [11,  1,  2],
        [11,  1,  2]]], dtype=uint8)]",8,4,3,11,3.727272727272727,33.0,302.6363636363636,0.10904175428056473,Friday,July,0,4,0,0.0,0.0
3,tOFl1Ar4odQ,2023-07-21 16:30:09+00:00,"['vlog', 'week in the life', 'vlogging', 'disabled adult', 'autistic adult', 'adhd adult', 'Molly burke']",26,"Week In The Life Vlog (Horses, Lego and Self Care)","A week in the life vlog where I attempt to function 😂 seriously though, as an autistic, ADHD disabled creator things are never boring. I hope you enjoy my vlog. 

Join this channel to get access to perks:
YouTube - https://www.youtube.com/channel/UCzske-KMAJYQn84rz6oD_yA/join
Patreon - patreon.com/purpleella

My link tree including tip jar
https://direct.me/purpleella",2026,191,0,1770,false,public,"[array([[[ 0,  0, 12],
        [ 0,  0, 12],
        [ 0,  0, 11],
        ...,
        [ 3,  0,  5],
        [ 1,  0,  5],
        [ 1,  0,  4]],

       [[ 0,  0,  5],
        [ 0,  0,  5],
        [ 0,  0,  4],
        ...,
        [ 1,  0,  2],
        [ 1,  0,  2],
        [ 1,  0,  2]],

       [[ 0,  1,  0],
        [ 0,  1,  0],
        [ 0,  1,  0],
        ...,
        [ 0,  1,  0],
        [ 0,  1,  0],
        [ 0,  1,  0]],

       ...,

       [[ 0,  0,  0],
        [ 0,  0,  0],
        [ 0,  0,  0],
        ...,
        [ 0,  0,  0],
        [ 0,  0,  0],
        [ 0,  0,  0]],

       [[ 0,  0,  0],
        [ 0,  0,  0],
        [ 0,  0,  0],
        ...,
        [ 0,  0,  0],
        [ 0,  0,  0],
        [ 0,  0,  0]],

       [[ 0,  0,  0],
        [ 0,  0,  0],
        [ 0,  0,  0],
        ...,
        [ 0,  0,  0],
        [ 0,  0,  0],
        [ 0,  0,  0]]], dtype=uint8)]",10,51,7,18,1.4444444444444444,10.61111111111111,112.55555555555556,0.09427443237907206,Friday,July,0,0,4,0.0,0.5033
4,2Wy_2d8-Uho,2023-07-18 16:00:02+00:00,,60,Autism & Friendships #autism,,3672,576,0,54,false,public,"[array([[[57, 48, 39],
        [65, 55, 46],
        [71, 61, 52],
        ...,
        [29, 16, 10],
        [29, 16, 10],
        [27, 16, 10]],

       [[61, 52, 43],
        [61, 51, 42],
        [55, 45, 36],
        ...,
        [29, 16, 10],
        [29, 16, 10],
        [27, 16, 10]],

       [[61, 52, 43],
        [54, 44, 35],
        [41, 31, 22],
        ...,
        [29, 16, 10],
        [30, 17, 11],
        [28, 17, 11]],

       ...,

       [[69, 59, 49],
        [68, 58, 48],
        [69, 56, 48],
        ...,
        [52, 39, 31],
        [50, 37, 29],
        [47, 37, 28]],

       [[68, 58, 49],
        [70, 57, 49],
        [69, 56, 48],
        ...,
        [51, 38, 30],
        [49, 36, 28],
        [46, 36, 27]],

       [[70, 57, 49],
        [70, 57, 49],
        [69, 56, 48],
        ...,
        [51, 38, 30],
        [49, 36, 28],
        [46, 36, 27]]], dtype=uint8)]",4,0,0,21,2.857142857142857,27.428571428571427,174.85714285714286,0.1568627450980392,Tuesday,July,0,1,0,0.3818,0.3818
5,LIH9HkjMass,2023-07-14 16:30:02+00:00,"['is ADHD different for girls', 'ADHD in women', 'ADHD afab', 'ADHD symptoms', 'How To ADHD']",32,Is ADHD Different For Girls? #adhd,"Is ADHD different for women and girls? 

In this video I'm discussing the differing experiences that women, girls and those afab might have with ADHD. Including;
- how hormones can impact ADHD 
- negative outcomes due to late diagnosis of ADHD
- quieter presentation of ADHD symptoms

Join this channel to get access to perks:
YouTube - https://www.youtube.com/channel/UCzske-KMAJYQn84rz6oD_yA/join
Patreon - patreon.com/purpleella

My link tree including tip jar
https://direct.me/purpleella",1812,245,0,336,false,public,"[array([[[ 1,  0,  2],
        [ 1,  0,  0],
        [ 1,  2,  0],
        ...,
        [ 1,  0,  4],
        [ 1,  0, 14],
        [ 1,  0, 21]],

       [[ 0,  0, 12],
        [ 0,  0,  7],
        [ 0,  1,  0],
        ...,
        [ 0,  1,  0],
        [ 0,  0,  5],
        [ 0,  0, 12]],

       [[ 0,  0, 19],
        [ 0,  0, 16],
        [ 0,  0, 11],
        ...,
        [ 0,  3,  0],
        [ 0,  1,  0],
        [ 0,  0,  2]],

       ...,

       [[ 0,  0,  0],
        [ 0,  0,  0],
        [ 0,  0,  0],
        ...,
        [ 0,  0,  0],
        [ 0,  0,  0],
        [ 0,  0,  0]],

       [[ 0,  0,  0],
        [ 0,  0,  0],
        [ 0,  0,  0],
        ...,
        [ 0,  0,  0],
        [ 0,  0,  0],
        [ 0,  0,  0]],

       [[ 0,  0,  0],
        [ 0,  0,  0],
        [ 0,  0,  0],
        ...,
        [ 0,  0,  0],
        [ 0,  0,  0],
        [ 0,  0,  0]]], dtype=uint8)]",6,68,5,25,1.28,9.8,72.48,0.13520971302428256,Friday,July,0,1,3,0.0,-0.3612
6,4XrHt6DZ3wo,2023-07-13 16:00:02+00:00,,7,What is Hyperfocus? #autism #adhd for more information check out the longer video on my channel ☺️,,1809,174,0,13,false,public,"[array([[[61, 59, 62],
        [61, 59, 60],
        [61, 59, 60],
        ...,
        [60, 59, 55],
        [60, 59, 55],
        [60, 59, 55]],

       [[61, 59, 62],
        [61, 59, 60],
        [61, 59, 60],
        ...,
        [60, 59, 55],
        [60, 59, 55],
        [60, 59, 55]],

       [[61, 59, 62],
        [61, 59, 60],
        [61, 59, 60],
        ...,
        [60, 59, 55],
        [60, 59, 55],
        [60, 59, 55]],

       ...,

       [[10, 10, 12],
        [11, 11, 13],
        [ 8,  8, 10],
        ...,
        [15, 16, 20],
        [19, 20, 24],
        [20, 21, 25]],

       [[ 9,  9, 11],
        [ 7,  7,  9],
        [ 4,  4,  6],
        ...,
        [18, 19, 23],
        [18, 19, 23],
        [15, 16, 20]],

       [[ 9,  9, 11],
        [ 7,  7,  9],
        [ 4,  4,  6],
        ...,
        [18, 19, 23],
        [18, 19, 23],
        [15, 16, 20]]], dtype=uint8)]",17,0,0,26,0.2692307692307692,6.6923076923076925,69.57692307692308,0.09618573797678276,Thursday,July,0,3,0,0.0,0.0
7,tUFaDQJODQY,2023-07-11 17:00:35+00:00,,36,There Are No Bad Foods #bodypositivity #bodypositive,,5176,613,0,54,false,public,"[array([[[41, 41, 39],
        [47, 47, 45],
        [49, 49, 47],
        ...,
        [40, 39, 37],
        [42, 41, 39],
        [45, 44, 42]],

       [[35, 35, 33],
        [45, 45, 43],
        [47, 47, 45],
        ...,
        [40, 39, 37],
        [42, 41, 39],
        [44, 43, 41]],

       [[28, 28, 26],
        [46, 46, 44],
        [45, 45, 43],
        ...,
        [40, 39, 37],
        [42, 41, 39],
        [42, 41, 39]],

       ...,

       [[48, 35, 19],
        [48, 34, 21],
        [48, 36, 22],
        ...,
        [47, 41, 29],
        [47, 41, 29],
        [47, 41, 29]],

       [[51, 37, 24],
        [48, 36, 22],
        [48, 36, 22],
        ...,
        [49, 43, 31],
        [50, 44, 32],
        [50, 44, 32]],

       [[50, 38, 24],
        [48, 36, 22],
        [48, 36, 22],
        ...,
        [49, 43, 31],
        [50, 44, 32],
        [50, 44, 32]]], dtype=uint8)]",7,0,0,28,1.2857142857142858,21.892857142857142,184.85714285714286,0.11843122102009274,Tuesday,July,0,2,0,-0.6908,-0.6908
8,A0tkMbjuEmU,2023-07-07 16:30:02+00:00,"['cozy video gaming', 'chill video gaming', 'relaxing video games', 'video games for autism', 'video games for adhd', 'pretty princess magical garden island', 'lemon cake', 'power wash simulator', 'lil gator game', 'cozy k']",19,Super Cozy Video Games #gaming #anxiety,"Super cozy videos games are what I need to be able to enjoy gaming as someone who is anxious due to autism and ADHD. The games I'm sharing have no fighting, no dying and no peril at all. Super chill video games for anxious brains. 

Games in this video
- Lil Gator Game (available on Steam & Switch)
- A Little To The Left (Steam & Switch)
- Powerwash Simulator (Steam)
- Pretty Princess Magical Garden Island (Switch)
- Lemon Cake (Steam & Switch) 

Join this channel to get access to perks:
YouTube - https://www.youtube.com/channel/UCzske-KMAJYQn84rz6oD_yA/join
Patreon - patreon.com/purpleella

My link tree including tip jar
https://direct.me/purpleella",1548,187,0,535,false,public,"[array([[[0, 7, 0],
        [0, 6, 0],
        [0, 6, 0],
        ...,
        [0, 4, 0],
        [0, 4, 0],
        [0, 4, 0]],

       [[0, 4, 0],
        [0, 4, 0],
        [0, 3, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 1, 0]],

       [[0, 1, 7],
        [0, 1, 7],
        [0, 0, 7],
        ...,
        [6, 0, 0],
        [6, 0, 0],
        [6, 0, 0]],

       ...,

       [[0, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]],

       [[0, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]],

       [[0, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]]], dtype=uint8)]",6,105,10,32,0.59375,5.84375,48.375,0.12080103359173126,Friday,July,0,2,3,0.5994,0.7506
9,Td6eAWYV_n0,2023-07-06 17:00:15+00:00,,27,Alexithymia Explained #autism #adhd,,5269,573,0,51,false,public,"[array([[[50, 45, 39],
        [49, 44, 38],
        [49, 44, 38],
        ...,
        [53, 46, 38],
        [53, 46, 38],
        [53, 46, 38]],

       [[52, 47, 41],
        [52, 47, 41],
        [52, 47, 41],
        ...,
        [53, 46, 38],
        [53, 46, 38],
        [53, 46, 38]],

       [[55, 50, 44],
        [55, 50, 44],
        [55, 50, 44],
        ...,
        [54, 47, 39],
        [54, 47, 39],
        [54, 47, 39]],

       ...,

       [[63, 65, 64],
        [60, 62, 61],
        [57, 59, 58],
        ...,
        [66, 66, 66],
        [62, 62, 62],
        [57, 57, 57]],

       [[60, 62, 61],
        [63, 65, 64],
        [55, 57, 56],
        ...,
        [60, 60, 60],
        [57, 57, 57],
        [55, 55, 55]],

       [[60, 62, 61],
        [63, 65, 64],
        [55, 57, 56],
        ...,
        [60, 60, 60],
        [57, 57, 57],
        [55, 55, 55]]], dtype=uint8)]",4,0,0,33,0.8181818181818182,17.363636363636363,159.66666666666666,0.10874928828999811,Thursday,July,0,2,0,0.0,0.0
