,video ids,publish date,tags,comment count,title,description,times_viewed,times_liked,times_faved,duration in seconds,caption,privacy_status,thumbnail,localizations.en-GB.title,localizations.en-GB.description,localizations.pt.title,localizations.pt.description,localizations.fr.title,localizations.fr.description,localizations.es.title,localizations.es.description,localizations.de.title,localizations.de.description,localizations.nl.title,localizations.nl.description,localizations.pl.title,localizations.pl.description,localizations.da.title,localizations.da.description,localizations.ru.title,localizations.ru.description,localizations.it.title,localizations.it.description,localizations.ko.title,localizations.ko.description,localizations.es-419.title,localizations.es-419.description,title length,description length,tag count,days live,comment count/days live,times liked/days live,times viewed/days live,likes per view,Publish Day,Publish Month,tags in title,title emoji count,description emoji count,VADER sentiment - title,VADER sentiment - description
0,zx5EqJCeYrk,2023-06-17 07:25:37+00:00,,8,"Brazilian Workbook Launch of ""So you think you're autistic""","Join Sam as she chats with team member Ana about the Portuguese/Brazilian version of her workbook, how the translation came about and we will play some fun language games where Sam demonstrates her ability to understand Portuguese (i.e. not at all)

UICLAP: https://loja.uiclap.com/titulo/ua32020/
Amazon Brazil: https://www.amazon.com.br/Acho-que-sou-autista-agora/dp/B0C6L33J2L/
Universal link (Amazon worldwide): https://mybook.to/AchoQueSouAutista

Tickets for London event: https://autismexplained.kartra.com/page/qry103
Mailing list sign up: https://subscribepage.com/yosamdysam",2233,114,0,4825,false,public,"[array([[[0, 0, 4],
        [0, 0, 4],
        [0, 0, 4],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]],

       [[0, 0, 2],
        [0, 0, 2],
        [0, 0, 2],
        ...,
        [0, 0, 0],
        [0, 1, 0],
        [0, 1, 0]],

       [[0, 1, 0],
        [0, 1, 0],
        [0, 1, 0],
        ...,
        [0, 1, 0],
        [0, 1, 0],
        [0, 1, 0]],

       ...,

       [[0, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]],

       [[0, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]],

       [[0, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]]], dtype=uint8)]","Brazilian Workbook Launch of ""So you think you're autistic""","Join Sam as she chats with team member Ana about the Portuguese/Brazilian version of her workbook, how the translation came about and we will play some fun language games where Sam demonstrates her ability to understand Portuguese (i.e. not at all)

UICLAP: https://loja.uiclap.com/titulo/ua32020/
Amazon Brazil: https://www.amazon.com.br/Acho-que-sou-autista-agora/dp/B0C6L33J2L/
Universal link (Amazon worldwide): https://mybook.to/AchoQueSouAutista

Tickets for London event: https://autismexplained.kartra.com/page/qry103
Mailing list sign up: https://subscribepage.com/yosamdysam",,,,,,,,,,,,,,,,,,,,,,,9,61,0,49,0.16326530612244897,2.326530612244898,45.57142857142857,0.05105239587998209,Saturday,June,0,0,13,0.0,0.872
1,TbNdF9p7ZFY,2023-06-16 17:00:30+00:00,,5,The Portuguese/Brazilian edition of my workbook is available now!,"""Acho que sou autista. E agora?"", now available on UICLAP, Amazon Brazil and Amazon Worldwide! #autista #actuallyautisticbrasil #autismobr #autismonaotemcara #autismoadulto

UICLAP: https://loja.uiclap.com/titulo/ua32020/
Amazon Brazil: https://www.amazon.com.br/Acho-que-sou-autista-agora/dp/B0C6L33J2L/
Amazon worldwide: https://mybook.to/AchoQueSouAutista",1441,106,0,34,false,public,"[array([[[60, 47, 57],
        [64, 51, 61],
        [84, 68, 79],
        ...,
        [38, 36, 49],
        [33, 31, 45],
        [30, 28, 42]],

       [[51, 38, 48],
        [44, 31, 41],
        [72, 56, 67],
        ...,
        [38, 36, 49],
        [33, 31, 45],
        [30, 28, 42]],

       [[43, 30, 40],
        [46, 33, 43],
        [66, 50, 61],
        ...,
        [38, 36, 49],
        [34, 32, 46],
        [31, 29, 43]],

       ...,

       [[63, 56, 64],
        [64, 57, 65],
        [63, 56, 64],
        ...,
        [29, 25, 42],
        [29, 24, 44],
        [25, 20, 40]],

       [[62, 55, 63],
        [63, 56, 64],
        [66, 59, 67],
        ...,
        [29, 25, 42],
        [27, 22, 42],
        [22, 17, 37]],

       [[62, 55, 63],
        [63, 56, 64],
        [66, 59, 67],
        ...,
        [29, 25, 42],
        [27, 22, 42],
        [22, 17, 37]]], dtype=uint8)]",The Portuguese/Brazilian edition of my workbook is available now!,"""Acho que sou autista. E agora?"", now available on UICLAP, Amazon Brazil and Amazon Worldwide! #autista #actuallyautisticbrasil #autismobr #autismonaotemcara #autismoadulto

UICLAP: https://loja.uiclap.com/titulo/ua32020/
Amazon Brazil: https://www.amazon.com.br/Acho-que-sou-autista-agora/dp/B0C6L33J2L/
Amazon worldwide: https://mybook.to/AchoQueSouAutista",,,,,,,,,,,,,,,,,,,,,,,9,28,0,49,0.10204081632653061,2.163265306122449,29.408163265306122,0.07356002775850104,Friday,June,0,0,15,0.0,0.6239
2,XiYTS435uuk,2023-06-11 10:21:40+00:00,"['sensory play', 'sensory play for toddlers', 'messy play', 'sensory activities', 'sensory play ideas']",99,Autistic adult tests out sensory products,"Join me as I review some exciting sensory products, many of them recommended by an occupational therapist! Sensory play is not just for kids, autistic adults can also benefit from sensory regulation, provided you get the right stuff.

LINKS 🔗
Autistic traits workbook: https://mybook.to/thinkyoureautistic
Sign up for cool e-mails: https://www.subscribepage.com/yosamdysam
Tip jar: https://ko-fi.com/yosamdysam

AFFILIATE LINKS 🔗 (If you make a purchase, I will receive a small commission)
Tray: https://amzn.to/3oOiRU8
Kinetic sand shimmer teal: https://amzn.to/43I5L9P
Mad Mattr: https://amzn.to/42oK5OQ
Thinking Putty: https://amzn.to/43BUGa8
Pluffle: https://amzn.to/43oueBp
Playfoam: https://amzn.to/3qnXDNo
Water beads: https://amzn.to/3MTygKK
Instant snow: https://amzn.to/3qtiwH1
Bath slime: https://amzn.to/3WQZxlF

TIMESTAMPS
00:00 Intro
01:10 The Tray
02:35 Kinetic Sand
04:48 Mad Mattr
07:23 Intelligent Putty
09:10 Pluffle
11:42 Playfoam
13:04 Water beads
14:40 SnoBall Play
16:14 Glibbi Galaxy Bath Slime",6982,673,0,1206,false,public,"[array([[[0, 1, 0],
        [0, 1, 0],
        [0, 1, 0],
        ...,
        [1, 0, 4],
        [1, 0, 4],
        [1, 0, 4]],

       [[0, 0, 0],
        [0, 1, 0],
        [0, 1, 0],
        ...,
        [1, 0, 4],
        [1, 0, 4],
        [1, 0, 4]],

       [[0, 0, 2],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [0, 0, 2],
        [0, 0, 2],
        [0, 0, 2]],

       ...,

       [[0, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]],

       [[0, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]],

       [[0, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]]], dtype=uint8)]",Autistic adult tests out sensory products,"Join me as I review some exciting sensory products, many of them recommended by an occupational therapist! Sensory play is not just for kids, autistic adults can also benefit from sensory regulation, provided you get the right stuff.

LINKS 🔗
Autistic traits workbook: https://mybook.to/thinkyoureautistic
Sign up for cool e-mails: https://www.subscribepage.com/yosamdysam
Tip jar: https://ko-fi.com/yosamdysam

AFFILIATE LINKS 🔗 (If you make a purchase, I will receive a small commission)
Tray: https://amzn.to/3oOiRU8
Kinetic sand shimmer teal: https://amzn.to/43I5L9P
Mad Mattr: https://amzn.to/42oK5OQ
Thinking Putty: https://amzn.to/43BUGa8
Pluffle: https://amzn.to/43oueBp
Playfoam: https://amzn.to/3qnXDNo
Water beads: https://amzn.to/3MTygKK
Instant snow: https://amzn.to/3qtiwH1
Bath slime: https://amzn.to/3WQZxlF

TIMESTAMPS
00:00 Intro
01:10 The Tray
02:35 Kinetic Sand
04:48 Mad Mattr
07:23 Intelligent Putty
09:10 Pluffle
11:42 Playfoam
13:04 Water beads
14:40 SnoBall Play
16:14 Glibbi Galaxy Bath Slime",,,,,,,,,,,,,,,,,,,,,,,6,123,5,55,1.8,12.236363636363636,126.94545454545455,0.09639071899169292,Sunday,June,0,0,61,0.0,0.9041
3,b4CKcXNSNRc,2023-06-05 11:56:35+00:00,,0,Yo Samdy Sam Live Stream,,0,0,0,P0D,false,public,"[array([[[3, 0, 2],
        [3, 0, 2],
        [3, 0, 2],
        ...,
        [4, 0, 0],
        [6, 0, 0],
        [6, 0, 0]],

       [[3, 0, 2],
        [3, 0, 2],
        [3, 0, 2],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [1, 0, 0]],

       [[1, 0, 2],
        [1, 0, 2],
        [1, 0, 2],
        ...,
        [0, 3, 0],
        [0, 3, 0],
        [0, 2, 0]],

       ...,

       [[0, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]],

       [[0, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]],

       [[0, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]]], dtype=uint8)]",Yo Samdy Sam Live Stream,,,,,,,,,,,,,,,,,,,,,,,,5,0,0,60,0.0,0.0,0.0,,Monday,June,0,0,0,0.0,0.0
4,jAOobWqKaPQ,2023-04-10 11:53:45+00:00,,79,How I learned to stop hating exercise (and actually stick to it),Click my CoPilot link https://go.mycopilot.com/Yo-SamdySam to get a FREE TRIAL with your own expert fitness and health coach,8591,759,0,1345,true,public,"[array([[[0, 0, 4],
        [0, 0, 4],
        [0, 0, 4],
        ...,
        [0, 0, 2],
        [0, 0, 2],
        [0, 0, 2]],

       [[0, 0, 2],
        [0, 0, 2],
        [0, 0, 2],
        ...,
        [0, 0, 2],
        [0, 0, 2],
        [0, 0, 2]],

       [[0, 0, 2],
        [0, 0, 2],
        [0, 0, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]],

       ...,

       [[0, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]],

       [[0, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]],

       [[0, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]]], dtype=uint8)]",How I learned to stop hating exercise (and actually stick to it),Click my CoPilot link https://go.mycopilot.com/Yo-SamdySam to get a FREE TRIAL with your own expert fitness and health coach,,,,,,,,,,,,,,,,,,,,,,,12,18,0,116,0.6810344827586207,6.543103448275862,74.0603448275862,0.088348271446863,Monday,April,0,0,0,-0.6705,0.6597
5,yb5ybMem31Y,2023-03-18 10:34:37+00:00,,513,The MOUSE model of autism,"When you read about autism research in the media, you may not realise that a lot of this research is actually conducted on mice. In this video I'm going to be deconstructing the so-called ""Mouse Model of Autism"".

REFERENCES 📄
SciTechDaily article: https://scitechdaily.com/a-drug-that-cures-autism-neuroscience-study-yields-promising-results/
Original study: https://www.nature.com/articles/s41380-023-01959-7
Types of autistic mouse behaviour: https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3087436/
Why studying autism in mice may be doomed to fail: https://www.spectrumnews.org/features/deep-dive/why-studying-autism-in-mice-may-be-doomed-to-fail/

LINKS 🔗
Autistic traits workbook: https://mybook.to/thinkyoureautistic
Sign up for free e-mails and fun: https://www.subscribepage.com/yosamdysam
Tip jar: https://ko-fi.com/yosamdysam

TIMESTAMPS ⌚
00:00 Intro
01:18 The Mouse Model of Autism
05:28 Scientific Validity
06:49 So-called ""autistic"" behaviours in mice
09:15 How did this gain legitimacy?
10:17 The recent study
14:43 Bloopers",36832,3335,0,913,true,public,"[array([[[1, 0, 4],
        [1, 0, 5],
        [3, 0, 5],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]],

       [[0, 1, 0],
        [0, 0, 2],
        [0, 0, 2],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]],

       [[0, 3, 0],
        [0, 2, 0],
        [0, 2, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]],

       ...,

       [[0, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]],

       [[0, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]],

       [[0, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]]], dtype=uint8)]",The MOUSE model of autism,"When you read about autism research in the media, you may not realise that a lot of this research is actually conducted on mice. In this video I'm going to be deconstructing the so-called ""Mouse Model of Autism"".

REFERENCES 📄
SciTechDaily article: https://scitechdaily.com/a-drug-that-cures-autism-neuroscience-study-yields-promising-results/
Original study: https://www.nature.com/articles/s41380-023-01959-7
Types of autistic mouse behaviour: https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3087436/
Why studying autism in mice may be doomed to fail: https://www.spectrumnews.org/features/deep-dive/why-studying-autism-in-mice-may-be-doomed-to-fail/

LINKS 🔗
Autistic traits workbook: https://mybook.to/thinkyoureautistic
Sign up for free e-mails and fun: https://www.subscribepage.com/yosamdysam
Tip jar: https://ko-fi.com/yosamdysam

TIMESTAMPS ⌚
00:00 Intro
01:18 The Mouse Model of Autism
05:28 Scientific Validity
06:49 So-called ""autistic"" behaviours in mice
09:15 How did this gain legitimacy?
10:17 The recent study
14:43 Bloopers",,,,,,,,,,,,,,,,,,,,,,,5,111,0,140,3.664285714285714,23.821428571428573,263.0857142857143,0.09054626411815812,Saturday,March,0,0,52,0.0,0.6369
6,5tPjlkyHJwI,2023-03-04 13:13:11+00:00,,414,Tips for AuDHDers: how to manage your autism & ADHD,"Do you struggle to balance the needs of your autism and ADHD? You're not the only one! Here are a few things I've learned over the last few years about how to cope as an ""AuDHDer""

LINKS 🔗
Autistic traits workbook: https://mybook.to/thinkyoureautistic
Sunday Reset Routine Template: https://www.subscribepage.com/yosamdysam
Tip jar: https://ko-fi.com/yosamdysam

TIMESTAMPS ⏱️
00:00 Intro
01:34 TIP 1: Appease both sides
02:44 Autistic burnout versus ADHD ""bore-out""
09:41 TIP 2: Find ways to be supported by others
12:38 Brief self-promo
13:08 TIP 3: Plan plan plan
14:09 Sunday Reset Routine
16:51 TIP 4: Cultivate self-compassion",44202,3844,0,1222,true,public,"[array([[[3, 0, 2],
        [3, 0, 2],
        [3, 0, 0],
        ...,
        [0, 0, 9],
        [0, 0, 9],
        [0, 0, 9]],

       [[0, 0, 2],
        [0, 0, 2],
        [0, 0, 0],
        ...,
        [0, 0, 7],
        [0, 0, 7],
        [0, 0, 7]],

       [[0, 1, 2],
        [0, 1, 0],
        [0, 1, 0],
        ...,
        [0, 0, 5],
        [0, 0, 5],
        [0, 0, 5]],

       ...,

       [[0, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]],

       [[0, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]],

       [[0, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]]], dtype=uint8)]",Tips for AuDHDers: how to manage your autism & ADHD,"Do you struggle to balance the needs of your autism and ADHD? You're not the only one! Here are a few things I've learned over the last few years about how to cope as an ""AuDHDer""

LINKS 🔗
Autistic traits workbook: https://mybook.to/thinkyoureautistic
Sunday Reset Routine Template: https://www.subscribepage.com/yosamdysam
Tip jar: https://ko-fi.com/yosamdysam

TIMESTAMPS ⏱️
00:00 Intro
01:34 TIP 1: Appease both sides
02:44 Autistic burnout versus ADHD ""bore-out""
09:41 TIP 2: Find ways to be supported by others
12:38 Brief self-promo
13:08 TIP 3: Plan plan plan
14:09 Sunday Reset Routine
16:51 TIP 4: Cultivate self-compassion",,,,,,,,,,,,,,,,,,,,,,,10,94,0,153,2.7058823529411766,25.124183006535947,288.9019607843137,0.0869643907515497,Saturday,March,0,0,38,0.0,0.3382
7,TlTDor_WXEo,2023-02-04 11:55:53+00:00,,580,"No, I don't ""look"" autistic (BUT...)","Many autistic people often hear the microaggression ""you don't look autistic"" after disclosing their condition to friends, family or co-workers. Let's dive a little deeper into this idea of what autism ""looks"" like.

🔗🔗🔗LINKS🔗🔗🔗
Newsletter for fun e-mails and occasional cool stuff
https://www.subscribepage.com/yosamdysam

My autistic traits workbook
https://mybook.to/thinkyoureautistic

Tip jar
https://ko-fi.com/yosamdysam",31906,3243,0,591,true,public,"[array([[[0, 0, 2],
        [0, 0, 2],
        [0, 0, 2],
        ...,
        [0, 1, 0],
        [0, 1, 0],
        [0, 1, 0]],

       [[0, 0, 2],
        [0, 0, 2],
        [0, 0, 2],
        ...,
        [0, 1, 0],
        [0, 1, 0],
        [0, 1, 0]],

       [[0, 0, 2],
        [0, 0, 2],
        [0, 0, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]],

       ...,

       [[0, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]],

       [[0, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]],

       [[0, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]]], dtype=uint8)]","No, I don't ""look"" autistic (BUT...)","Many autistic people often hear the microaggression ""you don't look autistic"" after disclosing their condition to friends, family or co-workers. Let's dive a little deeper into this idea of what autism ""looks"" like.

🔗🔗🔗LINKS🔗🔗🔗
Newsletter for fun e-mails and occasional cool stuff
https://www.subscribepage.com/yosamdysam

My autistic traits workbook
https://mybook.to/thinkyoureautistic

Tip jar
https://ko-fi.com/yosamdysam",,,,,,,,,,,,,,,,,,,,,,,6,51,0,181,3.2044198895027622,17.917127071823206,176.27624309392266,0.10164232432771265,Saturday,February,0,0,6,-0.296,0.8807
8,xnsHAYTNP5Y,2023-01-21 17:36:58+00:00,,84,What autistic girls REALLY need (Interview with Builder Bees founder),"Check out Builder Bees at: https://www.builderbeesla.com/
Or e-mail Orley directly: orley@builderbeesla.com

Autistic traits workbook: https://mybook.to/thinkyoureautistic

Timestamps
0:00 Intro from Sam
1:04 Start of conversation
8:18 Activism and leaning into your strengths
12:36 ""Social skills""
16:22 Where are all the autistic girls?
19:28 Ah ha moments
24:26 Orley's self-diagnosis
28:47 Medical model of autism
36:25 Acceptance
40:44 Family, upbringing and intergenerational trauma
44:23 Being heard
47:49 Talking more about Builder Bees",9818,714,0,3071,false,public,"[array([[[1, 0, 0],
        [1, 0, 0],
        [0, 1, 0],
        ...,
        [0, 0, 2],
        [0, 0, 2],
        [0, 0, 2]],

       [[1, 0, 0],
        [1, 0, 0],
        [0, 0, 0],
        ...,
        [0, 0, 2],
        [0, 0, 2],
        [0, 0, 2]],

       [[1, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]],

       ...,

       [[0, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]],

       [[0, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]],

       [[0, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]]], dtype=uint8)]",What autistic girls REALLY need (Interview with Builder Bees founder),"Check out Builder Bees at: https://www.builderbeesla.com/
Or e-mail Orley directly: orley@builderbeesla.com

Autistic traits workbook: https://mybook.to/thinkyoureautistic

Timestamps
0:00 Intro from Sam
1:04 Start of conversation
8:18 Activism and leaning into your strengths
12:36 ""Social skills""
16:22 Where are all the autistic girls?
19:28 Ah ha moments
24:26 Orley's self-diagnosis
28:47 Medical model of autism
36:25 Acceptance
40:44 Family, upbringing and intergenerational trauma
44:23 Being heard
47:49 Talking more about Builder Bees",,,,,,,,,,,,,,,,,,,,,,,10,70,0,195,0.4307692307692308,3.6615384615384614,50.34871794871795,0.07272356895498065,Saturday,January,0,0,45,0.0,0.6486
9,ojEWbNH0U_4,2022-11-25 16:00:27+00:00,['book launch party'],66,Book launch party!,"So You Think You’re Autistic (A workbook for the confused person who’s just trying to figure things out) is a workbook aimed at those seeking clarity around their autistic traits.

When you first come to the realisation that - gasp! - you might be autistic, it’s a really confusing and lonely time, and there’s not much guidance out there for what to do next.

This workbook aims to hold your hand (metaphorically) and prompt you to think about areas of your life which are relevant to an autism diagnosis, talk you through some of the diagnostic criteria in an easy to understand way, help you think about masking, imposter syndrome and how to talk to other people about all this.

This book won’t diagnose you. But it will help you gain more clarity around your autistic traits, and leave you better prepared for your assessment (if you choose to pursue one), and develop more understanding and compassion towards yourself.

It is available on the following international Amazon marketplaces:

US: https://www.amazon.com/dp/B0BMHPLXK2
UK: https://www.amazon.co.uk/dp/B0BMHPLXK2
Canada: https://www.amazon.ca/dp/B0BMHPLXK2
Australia: https://www.amazon.com.au/dp/B0BMHPLXK2
Germany: https://www.amazon.de/dp/B0BMHPLXK2
France: https://www.amazon.fr/dp/B0BMHPLXK2
Spain: https://www.amazon.es/dp/B0BMHPLXK2
Italy: https://www.amazon.it/dp/B0BMHPLXK2
Netherlands: https://www.amazon.nl/dp/B0BMHPLXK2
Poland: https://www.amazon.pl/dp/B0BMHPLXK2
Sweden: https://www.amazon.se/dp/B0BMHPLXK2
Japan: https://www.amazon.co.jp/dp/B0BMHPLXK2",5119,345,0,3337,false,public,"[array([[[4, 0, 0],
        [6, 0, 0],
        [6, 0, 0],
        ...,
        [0, 0, 2],
        [0, 0, 2],
        [0, 0, 2]],

       [[0, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [0, 0, 2],
        [0, 0, 2],
        [0, 0, 2]],

       [[0, 3, 0],
        [0, 3, 0],
        [0, 3, 0],
        ...,
        [0, 0, 2],
        [0, 0, 2],
        [0, 0, 0]],

       ...,

       [[0, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]],

       [[0, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]],

       [[0, 0, 0],
        [0, 0, 0],
        [0, 0, 0],
        ...,
        [0, 0, 0],
        [0, 0, 0],
        [0, 0, 0]]], dtype=uint8)]",Book launch party!,"So You Think You’re Autistic (A workbook for the confused person who’s just trying to figure things out) is a workbook aimed at those seeking clarity around their autistic traits.

When you first come to the realisation that - gasp! - you might be autistic, it’s a really confusing and lonely time, and there’s not much guidance out there for what to do next.

This workbook aims to hold your hand (metaphorically) and prompt you to think about areas of your life which are relevant to an autism diagnosis, talk you through some of the diagnostic criteria in an easy to understand way, help you think about masking, imposter syndrome and how to talk to other people about all this.

This book won’t diagnose you. But it will help you gain more clarity around your autistic traits, and leave you better prepared for your assessment (if you choose to pursue one), and develop more understanding and compassion towards yourself.

It is available on the following international Amazon marketplaces:

US: https://www.amazon.com/dp/B0BMHPLXK2
UK: https://www.amazon.co.uk/dp/B0BMHPLXK2
Canada: https://www.amazon.ca/dp/B0BMHPLXK2
Australia: https://www.amazon.com.au/dp/B0BMHPLXK2
Germany: https://www.amazon.de/dp/B0BMHPLXK2
France: https://www.amazon.fr/dp/B0BMHPLXK2
Spain: https://www.amazon.es/dp/B0BMHPLXK2
Italy: https://www.amazon.it/dp/B0BMHPLXK2
Netherlands: https://www.amazon.nl/dp/B0BMHPLXK2
Poland: https://www.amazon.pl/dp/B0BMHPLXK2
Sweden: https://www.amazon.se/dp/B0BMHPLXK2
Japan: https://www.amazon.co.jp/dp/B0BMHPLXK2",,,,,,,,,,,,,,,,,,,,,,,3,192,1,252,0.2619047619047619,1.369047619047619,20.313492063492063,0.06739597577651885,Friday,November,0,0,24,0.4574,0.9798
