,C1,C2
0,-5.53303,7.9596004
1,12.470757,6.300847
2,1.4782337,13.4231
3,12.283931,-0.073393315
4,13.795531,-0.7968509
5,-1.9032422,-6.6263523
6,-5.973192,-1.4373641
7,9.833304,10.719009
8,0.93830234,-6.225846
9,-4.42359,2.8242245
10,9.157612,10.487502
11,-0.3219937,-7.655103
12,6.974139,3.1073093
13,4.540938,3.8591204
14,-7.237826,1.7263999
15,6.555081,3.0102456
16,11.331849,5.039118
17,5.360656,15.102951
18,8.506173,10.373016
19,-3.813068,-5.20664
20,0.99856365,-3.939452
21,-5.256943,-1.5763294
22,5.211934,15.106217
23,6.722307,2.2619052
24,9.345515,11.505935
25,-0.29158822,-7.165676
26,4.4410524,9.108609
27,11.473755,-0.878841
28,8.7177725,6.951282
29,9.736002,10.814246
30,1.2991126,-4.07915
31,-0.48018917,-4.407965
32,12.959714,5.330568
33,-9.6787,1.956771
34,12.755335,4.9862933
35,4.9276195,2.440503
36,-1.5826136,-7.3418617
37,4.430678,9.208922
38,-1.815915,-7.301208
39,-0.18571348,-5.942809
40,12.744807,5.325109
41,6.0520964,5.6403522
42,-9.753465,1.5794207
43,-4.344511,1.4566612
44,-4.7155547,3.0134776
45,-5.245849,-0.7632902
46,1.0207264,-4.595297
47,-2.583254,-5.6373277
48,-7.1538086,1.6490405
49,4.2020407,3.6978974
50,10.600983,5.8849773
51,1.1544884,-6.585968
52,-3.583067,1.1767122
53,1.5235068,-7.423446
54,1.2393401,-4.5997763
55,-3.6229987,1.2162387
56,8.24203,11.189659
57,4.4481854,9.117811
58,6.513355,4.029582
59,6.748917,1.5749176
60,6.121387,5.478171
61,8.726909,6.98348
62,-3.3569322,-7.6276193
63,-1.7396395,-7.011673
64,-1.6336774,-7.0559235
65,3.8706174,4.283027
66,10.940413,5.287109
67,-1.6994294,-7.482538
68,-5.5635824,-0.51575285
69,6.4237075,4.0045652
70,9.671665,11.610611
71,9.390068,11.173372
72,-4.252874,2.918906
73,-0.4895885,-4.402859
74,-1.7455406,-6.0665565
75,-5.9215574,-1.6523424
76,2.9135115,4.220658
77,7.4907517,6.637385
78,13.050665,-1.4630885
79,-0.12800607,-6.9913106
80,10.028793,11.307916
81,-6.3246655,0.057525914
82,0.030123936,-6.643049
83,-6.388044,2.3554187
84,4.458464,9.162715
85,0.8029216,-4.3567786
86,-1.5425496,-5.873958
87,-1.7826289,-7.4798355
88,4.2417073,3.6956136
89,-1.6620733,-7.2185574
90,3.7571516,6.5647516
91,9.839765,1.2255473
92,13.686899,0.22059835
93,5.942594,5.505795
94,-0.52433306,-4.351713
95,-3.4231446,-7.4230676
96,4.1857505,9.366273
97,11.753137,0.2734401
98,3.777774,4.553638
99,11.041984,0.29811397
100,-1.064286,11.932331
101,-2.9639122,-7.575653
102,-7.522044,1.320721
103,11.032543,4.9086413
104,5.551872,14.58012
105,-9.37472,1.6801808
106,7.033675,3.263509
107,5.812257,15.509747
108,4.2166,9.276239
109,-5.118362,7.4980783
110,-4.9803305,7.4886703
111,-0.4597103,-4.4503694
112,0.7454017,-6.2298026
113,-5.1489806,7.5151834
114,-5.23114,7.79537
115,-5.0993133,7.514348
116,-5.235548,7.7406063
117,-5.1855397,7.5161734
118,-5.2754474,7.7002573
119,-0.6033244,-5.9904094
120,-5.000117,7.579471
121,0.6391246,-4.0081267
122,-5.4045486,7.490456
123,-5.1934733,7.5120487
124,-4.382668,6.923156
125,-5.502085,7.950538
126,-3.5058498,7.1987333
127,-5.15702,7.529289
128,-5.253675,7.5038896
129,-4.9312143,7.45908
