,n_neighbours,min_dist,n_components,random_state,reconstruction_error,duration
0,5.0,0.05,2.0,42.0,0.056904349845110856,873.7037708759308
1,5.0,0.1,2.0,42.0,0.06280587792462095,837.000040769577
2,5.0,0.15,2.0,42.0,0.061534500964810876,840.2736511230469
3,5.0,0.2,2.0,42.0,0.0651648624973987,855.5694952011108
4,14.0,0.05,2.0,42.0,0.05177705329028735,870.3416767120361
5,14.0,0.1,2.0,42.0,0.05141906187822336,867.6725172996521
6,14.0,0.15,2.0,42.0,0.053807116166235465,847.4426839351654
7,14.0,0.2,2.0,42.0,0.05492947656256514,833.8462584018707
8,15.0,0.05,2.0,42.0,0.04966555372984958,838.141345500946
9,15.0,0.1,2.0,42.0,0.05099894588676225,848.9561531543732
10,15.0,0.15,2.0,42.0,0.05250750075359253,844.1006727218628
11,15.0,0.2,2.0,42.0,0.056871954560468556,866.7026433944702
12,16.0,0.05,2.0,42.0,0.04997694683905397,886.4581048488617
13,16.0,0.1,2.0,42.0,0.05369570909248745,1584.8236100673676
14,16.0,0.15,2.0,42.0,0.057432741042857796,1859.3309671878815
15,16.0,0.2,2.0,42.0,0.05508178031884201,1857.4372124671936
